Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  1000
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    109     91.774      6.334		0.31467949913026405 | 0.7323258087671446
 R   1 G  62    107      96.62      4.248		0.10070556186895041 | 0.051073055627311466

 R   1 G  63    111     96.768      4.096		0.10070556186895041 | 0.041073055627311464

 R   1 G  64    111     96.786      4.061		0.04637110338239737 | 0.036971277103256435

 R   1 G  65    111     96.794      4.016		0.04637110338239737 | 0.036971277103256435

 R   1 G  66    111     96.724      3.949		0.1107055618689504 | 0.051073055627311466

 R   1 G  67    107     96.578      3.952		0.10070556186895041 | 0.041073055627311464

 R   1 G  68    113     96.722      3.933		0.1107055618689504 | 0.051073055627311466

 R   1 G  69    111     96.798      3.987		0.04637110338239737 | 0.036971277103256435

 R   1 G  70    111     96.592      3.919		0.10070556186895041 | 0.06107305562731147

 R   1 G  71    111     96.864      3.898		0.10070556186895041 | 0.06107305562731147

 R   1 G  72    107     96.846      3.839		0.02517965964503765 | 0.013602569974838108

 R   1 G  73    111      96.47      3.943		0.10070556186895041 | 0.051073055627311466

 R   1 G  74    107     96.828      3.893		0.02517965964503765 | 0.013602569974838108

 R   1 G  75    107     96.578      3.846		0.1107055618689504 | 0.051073055627311466

 R   1 G  76    109     96.704      3.815		0.10070556186895041 | 0.051073055627311466

 R   1 G  77    107     96.722      3.902		0.04637110338239737 | 0.036971277103256435

 R   1 G  78    109     96.712      4.028		0.10070556186895041 | 0.06107305562731147

 R   1 G  79    109     96.762      4.016		0.04637110338239737 | 0.036971277103256435

 R   1 G  80    109     96.842      3.934		0.015179659645037646 | 0.013602569974838108

 R   1 G  81    109      96.68      3.886		0.04637110338239737 | 0.036971277103256435

 R   1 G  82    111     96.838      3.939		0.04637110338239737 | 0.036971277103256435

 R   1 G  83    109     96.626      3.955		0.04637110338239737 | 0.036971277103256435

 R   1 G  84    107     96.802      3.821		0.10070556186895041 | 0.051073055627311466

 R   1 G  85    107      96.63      3.791		0.04637110338239737 | 0.036971277103256435

 R   1 G  86    109     96.762      3.832		0.10070556186895041 | 0.051073055627311466

 R   1 G  87    109      96.86      3.926		0.04637110338239737 | 0.036971277103256435

 R   1 G  88    107      96.89      3.925		0.02517965964503765 | 0.013602569974838108

 R   1 G  89    109     96.818      3.886		0.10070556186895041 | 0.051073055627311466

 R   1 G  90    109     96.858      3.886		0.10070556186895041 | 0.051073055627311466

 R   1 G  91    109     96.634      3.802		0.10070556186895041 | 0.051073055627311466

 R   1 G  92    107     96.696      3.868		0.10070556186895041 | 0.051073055627311466

 R   1 G  93    107     96.702      3.726		0.04637110338239737 | 0.036971277103256435

 R   1 G  94    107     96.796       3.72		0.02517965964503765 | 0.013602569974838108

 R   1 G  95    109     96.854      3.836		0.10070556186895041 | 0.051073055627311466

 R   1 G  96    109      96.72      3.717		0.015179659645037646 | 0.013602569974838108

 R   1 G  97    109     96.748      3.747		0.10070556186895041 | 0.051073055627311466

 R   1 G  98    109      96.93      3.831		0.10070556186895041 | 0.051073055627311466

 R   1 G  99    107     96.764      3.761		0.02517965964503765 | 0.02360256997483811

 R   1 G 100    107     96.878      3.879		0.015179659645037646 | 0.02360256997483811

 R   1 G 101    107     96.706      3.738		0.02517965964503765 | 0.013602569974838108

 R   1 G 102    109     96.918      3.628		0.10070556186895041 | 0.051073055627311466

 R   1 G 103    107     96.934      3.683		0.10070556186895041 | 0.041073055627311464

 R   1 G 104    107     96.942      3.803		0.005179659645037646 | 0.02360256997483811

 R   1 G 105    107     96.842      3.837		0.02517965964503765 | 0.013602569974838108

 R   1 G 106    109     96.544      3.956		0.04637110338239737 | 0.04697127710325644

 R   1 G 107    111     96.778      3.946		0.04637110338239737 | 0.036971277103256435

 R   1 G 108    109     96.722      3.755		0.02517965964503765 | 0.013602569974838108

 R   1 G 109    107     96.812      3.844		0.04637110338239737 | 0.036971277103256435

 R   1 G 110    107     96.868      3.892		0.005179659645037646 | 0.013602569974838108

 R   1 G 111    109     96.914      3.799		0.02517965964503765 | 0.013602569974838108

 R   1 G 112    113     97.168      3.904		0.10070556186895041 | 0.051073055627311466

 R   1 G 113    107     96.786      3.646		0.015179659645037646 | 0.013602569974838108

 R   1 G 114    107     96.906      3.925		0.0 | 0.02360256997483811

 R   1 G 115    107      96.75      3.651		0.02517965964503765 | 0.013602569974838108

 R   1 G 116    107     96.866      3.645		0.0 | 0.013602569974838108

 R   1 G 117    107       96.6      3.726		0.015179659645037646 | 0.0036025699748381077

 R   1 G 118    107     96.818      3.677		0.015179659645037646 | 0.013602569974838108

 R   1 G 119    107     96.974      3.607		0.0 | 0.02360256997483811

 R   1 G 120    109     96.828      3.644		0.02517965964503765 | 0.013602569974838108

 R   1 G 121    107      96.87      3.624		0.005179659645037646 | 0.013602569974838108

 R   1 G 122    107     96.578      3.504		0.02517965964503765 | 0.013602569974838108

 R   1 G 123    105     96.824      3.732		0.02517965964503765 | 0.013602569974838108

 R   1 G 124    109     96.794      3.635		0.02517965964503765 | 0.013602569974838108

 R   1 G 125    107     96.724      3.766		0.0 | 0.02360256997483811

 R   1 G 126    107       96.9       3.66		0.005179659645037646 | 0.0036025699748381077

 R   1 G 127    109     96.938      3.717		0.04637110338239737 | 0.026971277103256433

 R   1 G 128    105     96.832      3.576		0.02517965964503765 | 0.013602569974838108

 R   1 G 129    107     96.914      3.789		0.0 | 0.02360256997483811

 R   1 G 130    107     96.746      3.551		0.0 | 0.02360256997483811

 R   1 G 131    107      96.78      3.684		0.005179659645037646 | 0.013602569974838108

 R   1 G 132    107     96.868      3.538		0.0 | 0.02360256997483811

 R   1 G 133    107     96.886      3.633		0.0 | 0.02360256997483811

 R   1 G 134    107       96.9      3.593		0.0 | 0.013602569974838108

 R   1 G 135    111      96.79      3.642		0.005179659645037646 | 0.013602569974838108

 R   1 G 136    109     96.886      3.751		0.03517965964503765 | 0.013602569974838108

 R   1 G 137    107     96.934      3.761		0.0 | 0.013602569974838108

 R   1 G 138    107      96.75        3.7		0.015179659645037646 | 0.01360256997483811

 R   1 G 139    109      97.02      3.765		0.02517965964503765 | 0.013602569974838108

 R   1 G 140    107     96.778      3.763		0.0 | 0.02360256997483811

 R   1 G 141    107      96.98      3.733		0.02517965964503765 | 0.013602569974838108

 R   1 G 142    107     96.848      3.707		0.005179659645037646 | 0.02360256997483811

 R   1 G 143    107      97.03      3.666		0.005179659645037646 | 0.013602569974838108

 R   1 G 144    107     96.786      3.668		0.0 | 0.02360256997483811

 R   1 G 145    107     96.984      3.623		0.005179659645037646 | 0.013602569974838108

 R   1 G 146    107     96.826      3.712		0.005179659645037646 | 0.013602569974838108

 R   1 G 147    107     96.992      3.695		0.005179659645037646 | 0.013602569974838108

 R   1 G 148    107      96.66      3.627		0.0 | 0.02360256997483811

 R   1 G 149    107     97.108      3.557		0.005179659645037646 | 0.013602569974838108

 R   1 G 150    107     96.996      3.585		0.0 | 0.02360256997483811

 R   1 G 151    111     96.776      3.664		0.0 | 0.02360256997483811

 R   1 G 152    107     96.862      3.764		0.0 | 0.02360256997483811

 R   1 G 153    109     96.762      3.637		0.01 | 0.02360256997483811

 R   1 G 154    107     96.784      3.557		0.005179659645037646 | 0.013602569974838108

 R   1 G 155    111     96.982      3.705		0.03517965964503765 | 0.013602569974838108

 R   1 G 156    107      97.02      3.633		0.0 | 0.01360256997483811

 R   1 G 157    107     97.032      3.612		0.0 | 0.02360256997483811

 R   1 G 158    109     96.792      3.685		0.03517965964503765 | 0.013602569974838108

 R   1 G 159    105      96.94      3.637		0.005179659645037646 | 0.013602569974838108

 R   1 G 160    107     97.052      3.701		0.0 | 0.02360256997483811

 R   1 G 161    111     96.952      3.722		0.0 | 0.03360256997483811

 R   1 G 162    107      97.15      3.703		0.005179659645037646 | 0.013602569974838108

 R   1 G 163    107     96.878      3.632		0.0 | 0.02360256997483811

 R   1 G 164    107     97.034      3.651		0.02 | 0.03360256997483811

 R   1 G 165    107     97.002      3.564		0.005179659645037646 | 0.013602569974838108

 R   1 G 166    107     96.934      3.698		0.005179659645037646 | 0.013602569974838108

 R   1 G 167    107     96.962      3.745		0.01 | 0.03360256997483811

 R   1 G 168    107      96.85      3.656		0.01 | 0.03360256997483811

 R   1 G 169    107     96.982      3.691		0.01 | 0.01360256997483811

 R   1 G 170    107     96.716      3.521		0.005179659645037646 | 0.02360256997483811

 R   1 G 171    107     96.772      3.617		0.0 | 0.01360256997483811

 R   1 G 172    107     96.902      3.676		0.005179659645037646 | 0.02360256997483811

 R   1 G 173    107     97.042      3.549		0.01 | 0.03360256997483811

 R   1 G 174    107     96.866      3.708		0.005179659645037646 | 0.02360256997483811

 R   1 G 175    107      96.94      3.646		0.0 | 0.02360256997483811

 R   1 G 176    107     96.892      3.528		0.015179659645037646 | 0.02360256997483811

 R   1 G 177    113     97.112      3.496		0.01 | 0.01360256997483811

 R   1 G 178    107     96.976       3.56		0.015179659645037646 | 0.02360256997483811

 R   1 G 179    107     97.118      3.661		0.005179659645037646 | 0.02360256997483811

 R   1 G 180    107     97.164      3.608		0.0 | 0.01360256997483811

 R   1 G 181    107     96.812      3.548		0.0 | 0.01360256997483811

 R   1 G 182    107     96.874      3.602		0.0 | 0.01360256997483811

 R   1 G 183    107     97.146       3.56		0.005179659645037646 | 0.013602569974838108

 R   1 G 184    107     97.054      3.582		0.01 | 0.0036025699748381077

 R   1 G 185    107      96.76       3.68		0.005179659645037646 | 0.02360256997483811

 R   1 G 186    107     96.828      3.539		0.0 | 0.02360256997483811

 R   1 G 187    105      96.84      3.567		0.01 | 0.0036025699748381077

 R   1 G 188    109       96.9      3.649		0.03517965964503765 | 0.013602569974838108

 R   1 G 189    107      97.06      3.725		0.015179659645037646 | 0.02360256997483811

 R   1 G 190    107     96.848      3.535		0.01 | 0.013602569974838108

 R   1 G 191    107      96.97       3.52		0.0 | 0.01360256997483811

 R   1 G 192    107     96.856      3.729		0.03517965964503765 | 0.02360256997483811

 R   1 G 193    107      96.97      3.621		0.0 | 0.01360256997483811

 R   1 G 194    107     96.826      3.611		0.0 | 0.01360256997483811

 R   1 G 195    107     96.992      3.679		0.005179659645037646 | 0.02360256997483811

 R   1 G 196    107     96.838      3.697		0.005179659645037646 | 0.013602569974838108

 R   1 G 197    107     96.954      3.592		0.005179659645037646 | 0.013602569974838108

 R   1 G 198    107     96.738      3.591		0.03517965964503765 | 0.013602569974838108

 R   1 G 199    107     96.978      3.539		0.015179659645037646 | 0.013602569974838108

 R   1 G 200    109     97.022       3.64		0.01 | 0.0

 R   1 G 201    107     97.066      3.645		0.0 | 0.01360256997483811

 R   1 G 202    107     96.926      3.684		0.01 | 0.0036025699748381077

 R   1 G 203    105      97.06      3.612		0.01 | 0.0036025699748381077

 R   1 G 204    111      97.05      3.487		0.0 | 0.01360256997483811

 R   1 G 205    107     96.966      3.617		0.0 | 0.01360256997483811

 R   1 G 206    107     97.098      3.528		0.01 | 0.0

 R   1 G 207    107     97.052      3.543		0.0 | 0.01360256997483811

 R   1 G 208    107      96.96      3.641		0.0 | 0.01360256997483811

 R   1 G 209    107     96.884      3.614		0.0 | 0.01360256997483811

 R   1 G 210    107     96.932      3.515		0.005179659645037646 | 0.02360256997483811

 R   1 G 211    107     96.802        3.6		0.0 | 0.0036025699748381077

 R   1 G 212    107     96.848      3.552		0.0 | 0.013602569974838108

 R   1 G 213    107      96.83      3.554		0.005179659645037646 | 0.013602569974838108

 R   1 G 214    107     96.874      3.546		0.0 | 0.01360256997483811

 R   1 G 215    107      97.08      3.615		0.005179659645037646 | 0.03360256997483811

 R   1 G 216    109     96.926      3.594		0.01 | 0.0036025699748381077

 R   1 G 217    107     96.976      3.533		0.01 | 0.0036025699748381077

 R   1 G 218    107     96.944      3.586		0.0 | 0.01360256997483811

 R   1 G 219    107     96.962      3.571		0.0 | 0.01360256997483811

 R   1 G 220    107      96.84      3.531		0.01 | 0.01360256997483811

 R   1 G 221    107     96.892      3.432		0.0 | 0.0036025699748381077

 R   1 G 222    107     96.966      3.593		0.0 | 0.02360256997483811

 R   1 G 223    107     96.944      3.688		0.0 | 0.01360256997483811

 R   1 G 224    107     96.918      3.654		0.0 | 0.01

 R   1 G 225    107      97.22        3.6		0.0 | 0.01360256997483811

 R   1 G 226    111     96.848      3.567		0.0 | 0.01360256997483811

 R   1 G 227    107     96.788      3.581		0.0 | 0.01360256997483811

 R   1 G 228    105      96.93      3.559		0.01 | 0.0

 R   1 G 229    107     96.908      3.417		0.01 | 0.01360256997483811

 R   1 G 230    107     96.964      3.578		0.01 | 0.01360256997483811

 R   1 G 231    107     96.874      3.667		0.005179659645037646 | 0.013602569974838108

 R   1 G 232    105     96.892      3.612		0.01 | 0.013602569974838108

 R   1 G 233    107     97.024      3.703		0.005179659645037646 | 0.013602569974838108

 R   1 G 234    107     97.022      3.466		0.0 | 0.01

 R   1 G 235    107      96.86      3.563		0.0 | 0.02360256997483811

 R   1 G 236    107     97.062      3.621		0.0 | 0.01360256997483811

 R   1 G 237    107     96.938      3.672		0.01 | 0.01

 R   1 G 238    107     96.876      3.521		0.0 | 0.01

 R   1 G 239    107     96.958      3.633		0.0 | 0.01360256997483811

 R   1 G 240    107     97.112      3.635		0.0 | 0.01360256997483811

 R   1 G 241    111     96.942      3.639		0.0 | 0.02360256997483811

 R   1 G 242    107     96.954      3.534		0.01 | 0.01

 R   1 G 243    107       96.9      3.557		0.0 | 0.01360256997483811

 R   1 G 244    107     96.954      3.573		0.0 | 0.01360256997483811

 R   1 G 245    107     96.904      3.563		0.0 | 0.02360256997483811

 R   1 G 246    107      96.96      3.577		0.0 | 0.01360256997483811

 R   1 G 247    107     96.812      3.532		0.01 | 0.0

 R   1 G 248    107     96.846      3.512		0.0 | 0.01360256997483811

 R   1 G 249    107     97.114      3.578		0.0 | 0.01360256997483811

 R   1 G 250    109     97.026      3.676		0.01 | 0.01

 R   1 G 251    107      96.93      3.803		0.01 | 0.0036025699748381077

 R   1 G 252    107     96.906      3.606		0.0 | 0.01360256997483811

 R   1 G 253    107     96.812      3.543		0.01 | 0.01360256997483811

 R   1 G 254    107     96.908      3.719		0.01 | 0.01

 R   1 G 255    107     96.744      3.633		0.01 | 0.01360256997483811

 R   1 G 256    109     96.808      3.638		0.01 | 0.01

 R   1 G 257    109     97.248      3.718		0.01 | 0.01360256997483811

 R   1 G 258    107     96.646      3.559		0.01 | 0.03

 R   1 G 259    107      96.86      3.589		0.01 | 0.01

 R   1 G 260    107     97.156       3.59		0.01 | 0.01

 R   1 G 261    107     96.878      3.619		0.01 | 0.03

 R   1 G 262    107     96.812      3.694		0.01 | 0.01360256997483811

 R   1 G 263    111     96.868      3.706		0.01 | 0.03

 R   1 G 264    107     97.008      3.655		0.0 | 0.01360256997483811

 R   1 G 265    107      96.98      3.708		0.0 | 0.01360256997483811

 R   1 G 266    107     96.862      3.538		0.01 | 0.02360256997483811

 R   1 G 267    107      96.92      3.555		0.0 | 0.01

 R   1 G 268    107     96.918      3.763		0.0 | 0.02360256997483811

 R   1 G 269    111      97.11      3.711		0.01 | 0.04

 R   1 G 270    107     96.938      3.739		0.01 | 0.02

 R   1 G 271    107     96.826      3.642		0.01 | 0.04

 R   1 G 272    107     96.944      3.601		0.0 | 0.01

 R   1 G 273    107     96.838      3.682		0.0 | 0.02360256997483811

 R   1 G 274    111     96.732      3.508		0.02 | 0.01

 R   1 G 275    107     96.872       3.64		0.01 | 0.0

 R   1 G 276    107     96.844      3.684		0.01 | 0.04

 R   1 G 277    107     96.932       3.65		0.01 | 0.02

 R   1 G 278    107     97.036      3.542		0.01 | 0.01

 R   1 G 279    107      96.82      3.522		0.0 | 0.01360256997483811

 R   1 G 280    107      96.97       3.66		0.01 | 0.04

 R   1 G 281    109     97.086      3.568		0.01 | 0.04

 R   1 G 282    107     96.916        3.8		0.01 | 0.0036025699748381095

 R   1 G 283    107      96.91      3.563		0.0 | 0.0036025699748381077

 R   1 G 284    105     96.698      3.705		0.01 | 0.0

 R   1 G 285    107     96.716      3.695		0.01 | 0.02

 R   1 G 286    105      97.03      3.547		0.01 | 0.01

 R   1 G 287    107     96.798      3.662		0.01 | 0.01

 R   1 G 288    107     96.996       3.71		0.01 | 0.01

 R   1 G 289    107     96.718      3.675		0.01 | 0.01

 R   1 G 290    107     96.736      3.744		0.0 | 0.01360256997483811

 R   1 G 291    107     97.014      3.679		0.02 | 0.01

 R   1 G 292    109      97.19      3.613		0.01 | 0.01

 R   1 G 293    109     96.756      3.711		0.03 | 0.01

 R   1 G 294    107     97.074      3.606		0.01 | 0.01

 R   1 G 295    107     97.014      3.723		0.0 | 0.01360256997483811

 R   1 G 296    107     96.954      3.545		0.0 | 0.01360256997483811

 R   1 G 297    107      96.66      3.588		0.01 | 0.01

 R   1 G 298    105     96.902      3.647		0.01 | 0.01

 R   1 G 299    105      96.89      3.595		0.01 | 0.0

 R   1 G 300    107     96.974       3.68		0.01 | 0.0

 R   1 G 301    107     96.742       3.56		0.01 | 0.03

 R   1 G 302    105     96.946       3.48		0.01 | 0.0

 R   1 G 303    107      96.59      3.697		0.01 | 0.0

 R   1 G 304    107     96.976      3.581		0.01 | 0.0

 R   1 G 305    107      96.89      3.564		0.01 | 0.01

 R   1 G 306    107     96.842      3.574		0.01 | 0.0

 R   1 G 307    107     97.104      3.465		0.01 | 0.0036025699748381077

 R   1 G 308    105      96.69      3.529		0.01 | 0.0

 R   1 G 309    107     97.006      3.565		0.0 | 0.01

 R   1 G 310    111     96.918      3.553		0.01 | 0.01

 R   1 G 311    107     96.958      3.344		0.01 | 0.013602569974838108

 R   1 G 312    107      97.02      3.686		0.02 | 0.01

 R   1 G 313    107      97.15      3.518		0.02 | 0.03

 R   1 G 314    107     96.846        3.6		0.01 | 0.0

 R   1 G 315    107     97.166      3.569		0.01 | 0.03

 R   1 G 316    107      96.87      3.544		0.01 | 0.0

 R   1 G 317    107      96.89      3.583		0.01 | 0.01

 R   1 G 318    107     96.814      3.624		0.01 | 0.03

 R   1 G 319    107     97.066      3.596		0.01 | 0.0036025699748381077

 R   1 G 320    109      96.74       3.63		0.01 | 0.01

 R   1 G 321    107     97.106      3.725		0.02 | 0.01

 R   1 G 322    105     96.786      3.575		0.01 | 0.0

 R   1 G 323    107     96.992      3.547		0.0 | 0.01360256997483811

 R   1 G 324    107     96.744      3.584		0.01 | 0.0036025699748381077

 R   1 G 325    107     96.924      3.589		0.0 | 0.01360256997483811

 R   1 G 326    109     96.738      3.604		0.02 | 0.0

 R   1 G 327    107     96.922       3.61		0.01 | 0.0

 R   1 G 328    107     97.122       3.62		0.01 | 0.0

 R   1 G 329    107     97.016      3.543		0.01 | 0.0

 R   1 G 330    107      96.85      3.586		0.01 | 0.0

 R   1 G 331    107     96.934       3.67		0.01 | 0.0

 R   1 G 332    107     96.972      3.481		0.0 | 0.01360256997483811

 R   1 G 333    105     97.094      3.528		0.01 | 0.0

 R   1 G 334    107     97.102      3.627		0.01 | 0.01

 R   1 G 335    107     97.126      3.535		0.0 | 0.0036025699748381077

 R   1 G 336    107     96.854      3.453		0.01 | 0.0

 R   1 G 337    107      97.01      3.653		0.01 | 0.01

 R   1 G 338    107     96.912      3.556		0.0 | 0.01360256997483811

 R   1 G 339    107     96.832      3.574		0.01 | 0.0

 R   1 G 340    105     97.014      3.492		0.01 | 0.0

 R   1 G 341    107     97.048      3.577		0.0 | 0.0036025699748381077

 R   1 G 342    105     97.046      3.496		0.01 | 0.0

 R   1 G 343    107     96.836      3.571		0.01 | 0.0

 R   1 G 344    105     97.252      3.497		0.01 | 0.0

 R   1 G 345    107      97.09      3.593		0.0 | 0.01360256997483811

 R   1 G 346    107       97.1      3.657		0.0 | 0.01360256997483811

 R   1 G 347    107     96.876      3.542		0.01 | 0.01

 R   1 G 348    105     97.114      3.583		0.01 | 0.0

 R   1 G 349    105     97.038      3.547		0.01 | 0.0

 R   1 G 350    107      97.01      3.612		0.01 | 0.0

 R   1 G 351    107     97.096      3.462		0.02 | 0.0

 R   1 G 352    107     96.994      3.499		0.0 | 0.0036025699748381095

 R   1 G 353    107     96.924        3.6		0.01 | 0.0

 R   1 G 354    107     97.054      3.512		0.02 | 0.0

 R   1 G 355    107     96.884      3.669		0.01 | 0.0036025699748381077

 R   1 G 356    107     96.966      3.518		0.01 | 0.02

 R   1 G 357    107      97.05      3.644		0.01 | 0.02

 R   1 G 358    107     96.854      3.574		0.01 | 0.0

 R   1 G 359    107     96.988       3.48		0.01 | 0.02

 R   1 G 360    107      96.86      3.435		0.01 | 0.0

 R   1 G 361    107     96.876      3.567		0.01 | 0.02

 R   1 G 362    109     96.928      3.509		0.01 | 0.0

 R   1 G 363    107     96.848      3.682		0.01 | 0.01360256997483811

 R   1 G 364    107     96.818       3.66		0.0 | 0.01360256997483811

 R   1 G 365    107      96.81      3.792		0.01 | 0.02

 R   1 G 366    107      97.07      3.609		0.01 | 0.02

 R   1 G 367    109      96.99      3.612		0.03 | 0.01

 R   1 G 368    107     97.092      3.567		0.0 | 0.01360256997483811

 R   1 G 369    105      96.82      3.521		0.01 | 0.0

 R   1 G 370    107     96.996      3.694		0.01 | 0.03

 R   1 G 371    109     96.938      3.627		0.03 | 0.01

 R   1 G 372    107     96.818      3.575		0.01 | 0.02

 R   1 G 373    107      96.88      3.505		0.0 | 0.03360256997483811

 R   1 G 374    107      96.89      3.587		0.01 | 0.0

 R   1 G 375    107     96.882       3.66		0.01 | 0.01

 R   1 G 376    107     96.928      3.645		0.03 | 0.01

 R   1 G 377    107     96.854      3.585		0.01 | 0.0

 R   1 G 378    105     97.036      3.505		0.01 | 0.0

