Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  1000
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    109     91.774      6.334		0.31467949913026405 | 0.7323258087671446

 R   1 G   1    113     92.516      6.463		0.017320453056629326 | 0.5023709073921108

 R   1 G   2    113     92.548      6.218		0.3880022578201613 | 0.36359104278881604

 R   1 G   3    109     93.408      5.946		0.44547535983505415 | 0.2591378846379563

 R   1 G   4    113      93.43      5.932		0.12664607760661217 | 0.6723879081937197

 R   1 G   5    111     93.774      5.879		0.04033837145969499 | 0.2592990669449655

 R   1 G   6    119     93.904        6.2		0.3347716857844023 | 0.151431823368136

 R   1 G   7    113     94.522       5.71		0.4597451426702066 | 0.666895819064002

 R   1 G   8    111     94.832      5.548		0.4597451426702066 | 0.666895819064002

 R   1 G   9    111     95.164      5.504		0.04033837145969499 | 0.2592990669449655

 R   1 G  10    117     95.206      5.278		0.3347716857844023 | 0.151431823368136

 R   1 G  11    111     95.454      5.406		0.04033837145969499 | 0.2592990669449655

 R   1 G  12    111     95.458      5.291		0.09361389452589275 | 0.1603986115199807

 R   1 G  13    115     95.576      5.355		0.10070556186895041 | 0.06107305562731147

 R   1 G  14    113     95.686      5.169		0.43059910697644865 | 0.003723690640397459

 R   1 G  15    115     95.354      4.988		0.09361389452589275 | 0.1703986115199807

 R   1 G  16    111     95.724      5.027		0.09361389452589275 | 0.1603986115199807

 R   1 G  17    111     95.664      4.803		0.04033837145969499 | 0.2592990669449655

 R   1 G  18    115     95.896      5.031		0.14245962677633994 | 0.02268027534811956

 R   1 G  19    111     95.586      5.199		0.2597266818290672 | 0.06783189181015248

 R   1 G  20    111     96.138      4.857		0.09361389452589275 | 0.1603986115199807

 R   1 G  21    111     96.084      4.995		0.09361389452589275 | 0.1703986115199807

 R   1 G  22    113     96.034      4.751		0.12062318253875556 | 0.18177029808677936

 R   1 G  23    111      96.15      4.818		0.0306364396152925 | 0.19775582025537264

 R   1 G  24    109      96.01      4.781		0.12062318253875556 | 0.18177029808677936

 R   1 G  25    115      95.87      4.894		0.12062318253875556 | 0.18177029808677936

 R   1 G  26    111     96.058      4.797		0.14245962677633994 | 0.02268027534811956

 R   1 G  27    111      96.14      4.875		0.27341305074933053 | 0.015932635027604225

 R   1 G  28    113     95.968      4.658		0.14245962677633994 | 0.02268027534811956

 R   1 G  29    111     95.986      4.659		0.28341305074933054 | 0.015932635027604225

 R   1 G  30    113     96.134      4.774		0.09361389452589275 | 0.1603986115199807

 R   1 G  31    111      96.07      4.749		0.0306364396152925 | 0.19775582025537264

 R   1 G  32    109     96.308      4.662		0.09361389452589275 | 0.1603986115199807

 R   1 G  33    111     96.376      4.747		0.14245962677633994 | 0.02268027534811956

 R   1 G  34    111     96.274      4.648		0.14245962677633994 | 0.02268027534811956

 R   1 G  35    111     96.306      4.467		0.09070556186895042 | 0.06107305562731147

 R   1 G  36    111     96.124      4.533		0.12062318253875556 | 0.18177029808677936

 R   1 G  37    113      96.39      4.594		0.10070556186895041 | 0.06107305562731147

 R   1 G  38    111     96.494      4.529		0.28341305074933054 | 0.015932635027604225

 R   1 G  39    109     96.484      4.513		0.14245962677633994 | 0.03268027534811956

 R   1 G  40    109     96.096      4.316		0.12062318253875556 | 0.18177029808677936

 R   1 G  41    111      96.24      4.429		0.10070556186895041 | 0.06107305562731147

 R   1 G  42    111     96.416       4.45		0.10070556186895041 | 0.06107305562731147

 R   1 G  43    111      96.52      4.527		0.12062318253875556 | 0.18177029808677936

 R   1 G  44    109     96.388      4.484		0.1107055618689504 | 0.06107305562731147

 R   1 G  45    113     96.336      4.374		0.10070556186895041 | 0.051073055627311466

 R   1 G  46    111     96.308      4.373		0.10070556186895041 | 0.06107305562731147

 R   1 G  47    111     96.398      4.236		0.14245962677633994 | 0.02268027534811956

 R   1 G  48    109     96.466      4.257		0.10070556186895041 | 0.051073055627311466

 R   1 G  49    111      96.39      4.162		0.10070556186895041 | 0.051073055627311466

 R   1 G  50    109     96.652      4.198		0.04637110338239737 | 0.036971277103256435

 R   1 G  51    113      96.46      4.278		0.10070556186895041 | 0.06107305562731147

 R   1 G  52    109     96.598      4.085		0.10070556186895041 | 0.06107305562731147

 R   1 G  53    109     96.688      4.002		0.10070556186895041 | 0.06107305562731147

 R   1 G  54    111     96.742      4.072		0.12062318253875556 | 0.18177029808677936

 R   1 G  55    113     96.928       4.11		0.10070556186895041 | 0.06107305562731147

 R   1 G  56    109     96.714      4.021		0.015179659645037646 | 0.013602569974838108

 R   1 G  57    111     96.764      4.244		0.04637110338239737 | 0.036971277103256435

 R   1 G  58    111     96.502       4.16		0.05637110338239737 | 0.04697127710325644

 R   1 G  59    109     96.766      4.339		0.04637110338239737 | 0.036971277103256435

 R   1 G  60    111      96.74      4.039		0.10070556186895041 | 0.051073055627311466

 R   1 G  61    109     96.654      4.013		0.005179659645037646 | 0.02360256997483811

