Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  1000
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    173     147.29      9.411		0.01879760767170746 | 0.06135201897844156

 R  15 G 374    167    156.768      3.407		0.9852122331200751 | 0.0

 R  15 G 375    169    156.746      3.478		0.9652122331200751 | 0.011331821026522979

 R  15 G 376    167    156.774      3.286		0.9752122331200751 | 0.0

 R  15 G 377    165     156.61       3.39		0.9752122331200751 | 0.0

 R  15 G 378    165    156.538      3.475		0.9852122331200751 | 0.0

 R  15 G 379    167    156.688      3.462		0.9652122331200751 | 0.011331821026522979

 R  15 G 380    167      156.8      3.448		0.9652122331200751 | 0.011331821026522979

 R  15 G 381    165    156.534      3.519		0.98 | 0.0013318210265229787

 R  15 G 382    165    156.634      3.603		0.9952122331200751 | 0.0

 R  15 G 383    167     156.63      3.543		0.9752122331200751 | 0.01

 R  15 G 384    165    156.748      3.469		0.9852122331200751 | 0.0

 R  15 G 385    165    156.634      3.486		0.9852122331200751 | 0.0

 R  15 G 386    165    156.604      3.413		0.9752122331200751 | 0.01

 R  15 G 387    167    156.616      3.543		0.98 | 0.011331821026522979

 R  15 G 388    167    156.792      3.619		0.99 | 0.0013318210265229787

 R  15 G 389    165    156.624      3.591		0.9652122331200751 | 0.011331821026522979

 R  15 G 390    167    156.768      3.462		0.9652122331200751 | 0.02133182102652298

 R  15 G 391    167     156.55      3.544		0.9652122331200751 | 0.011331821026522979

 R  15 G 392    169    156.454      3.675		0.9852122331200751 | 0.0

 R  15 G 393    167      156.6      3.587		0.98 | 0.011331821026522979

 R  15 G 394    165    156.788      3.471		0.9852122331200751 | 0.0

 R  15 G 395    169    156.818      3.333		0.9652122331200751 | 0.011331821026522979

 R  15 G 396    167     156.75      3.469		0.9852122331200751 | 0.0

 R  15 G 397    167    156.654      3.559		0.9852122331200751 | 0.0013318210265229787

 R  15 G 398    165    156.488      3.546		0.99 | 0.011331821026522979

 R  15 G 399    165      156.6      3.509		0.9852122331200751 | 0.0013318210265229787

 R  15 G 400    167    156.788      3.557		0.9752122331200751 | 0.0

 R  15 G 401    165      156.7      3.413		0.9652122331200751 | 0.011331821026522979

 R  15 G 402    165     156.65      3.468		0.9652122331200751 | 0.011331821026522979

 R  15 G 403    165    156.678      3.447		0.9652122331200751 | 0.011331821026522979

 R  15 G 404    165    156.416      3.504		0.9952122331200751 | 0.01

 R  15 G 405    165    156.722      3.386		0.9952122331200751 | 0.0

 R  15 G 406    167    156.664      3.514		0.9652122331200751 | 0.011331821026522979

 R  15 G 407    169    156.582      3.568		0.9652122331200751 | 0.011331821026522979

 R  15 G 408    167    156.716        3.4		0.9652122331200751 | 0.011331821026522979

 R  15 G 409    165    156.652      3.346		0.99 | 0.0

 R  15 G 410    167     156.76      3.355		0.9752122331200751 | 0.0

 R  15 G 411    167    156.656      3.513		0.9652122331200751 | 0.0013318210265229787

 R  15 G 412    165    157.034      3.106		0.9652122331200751 | 0.011331821026522979

 R  15 G 413    165    156.788      3.193		0.9852122331200751 | 0.0

 R  15 G 414    167    156.724      3.382		0.9852122331200751 | 0.0

 R  15 G 415    167     156.85      3.225		0.9652122331200751 | 0.0013318210265229787

 R  15 G 416    165    156.814      3.392		0.99 | 0.011331821026522979

 R  15 G 417    167    156.792      3.272		0.9652122331200751 | 0.0013318210265229787

 R  15 G 418    167    156.776      3.227		0.9652122331200751 | 0.02133182102652298

 R  15 G 419    165    156.802      3.285		0.9952122331200751 | 0.0

 R  15 G 420    165    156.728      3.347		0.9952122331200751 | 0.0

 R  15 G 421    167    156.864      3.335		0.9652122331200751 | 0.0013318210265229787

 R  15 G 422    165    156.786      3.072		0.9652122331200751 | 0.0

 R  15 G 423    165     156.85      3.245		0.9652122331200751 | 0.0013318210265229787

 R  15 G 424    165    156.828      3.157		0.99 | 0.0

 R  15 G 425    165    156.744      3.401		0.9952122331200751 | 0.0

 R  15 G 426    165    156.942      3.139		0.9952122331200751 | 0.0

 R  15 G 427    163     157.06      3.163		0.9952122331200751 | 0.0

 R  15 G 428    165     156.85      3.143		0.9952122331200751 | 0.0

 R  15 G 429    165      156.9      3.147		0.99 | 0.0013318210265229787

 R  15 G 430    165    156.822      3.076		0.9952122331200751 | 0.0

 R  15 G 431    167    156.874      3.137		0.98 | 0.011331821026522979

 R  15 G 432    165    156.874      3.134		0.9952122331200751 | 0.0013318210265229787

 R  15 G 433    165    156.968      3.031		0.9952122331200751 | 0.0

 R  15 G 434    165     156.88      3.027		0.9952122331200751 | 0.0

 R  15 G 435    165    156.944      3.132		0.9952122331200751 | 0.0013318210265229787

 R  15 G 436    167    156.804       3.01		0.99 | 0.0

 R  15 G 437    165    156.762      3.063		0.9952122331200751 | 0.0

 R  15 G 438    165     156.94      3.146		0.9952122331200751 | 0.0

 R  15 G 439    165    156.908       3.11		0.9952122331200751 | 0.0013318210265229787

 R  15 G 440    163    156.766      3.135		0.9952122331200751 | 0.0

 R  15 G 441    165    156.924      3.168		0.9952122331200751 | 0.0

 R  15 G 442    165    157.028      3.007		0.9952122331200751 | 0.0

 R  15 G 443    165    156.808      2.989		0.99 | 0.0

 R  15 G 444    165    156.862      3.122		0.98 | 0.011331821026522979

 R  15 G 445    165    156.934      3.111		0.9952122331200751 | 0.0

 R  15 G 446    169    156.916      3.148		0.98 | 0.011331821026522979

 R  15 G 447    165    156.974      3.085		0.99 | 0.0

 R  15 G 448    165    156.894      3.132		0.99 | 0.0

 R  15 G 449    165    156.682      3.178		0.9952122331200751 | 0.0

 R  15 G 450    165    156.726      3.052		0.9952122331200751 | 0.0

 R  15 G 451    167    156.762      2.981		0.98 | 0.011331821026522979

 R  15 G 452    165    156.902       3.14		0.9952122331200751 | 0.0

 R  15 G 453    165     156.94      3.068		0.98 | 0.011331821026522979

 R  15 G 454    167     156.92      3.083		0.9852122331200751 | 0.01

 R  15 G 455    163    156.826      2.951		0.9952122331200751 | 0.0

 R  15 G 456    165    156.892      2.997		0.98 | 0.011331821026522979

 R  15 G 457    165    156.804      3.015		0.99 | 0.0

 R  15 G 458    165    156.864      3.067		0.9952122331200751 | 0.0

 R  15 G 459    165    156.912      2.985		0.99 | 0.0

 R  15 G 460    165    156.958      2.999		0.98 | 0.011331821026522979

 R  15 G 461    165     156.96      3.119		0.9952122331200751 | 0.0

 R  15 G 462    163      157.0      3.025		0.9952122331200751 | 0.0

 R  15 G 463    167    156.988      3.075		0.99 | 0.0

 R  15 G 464    165    156.976      3.044		0.9952122331200751 | 0.0

 R  15 G 465    163    156.916       3.02		1.0 | 0.0

 R  15 G 466    165    156.982      2.989		0.98 | 0.011331821026522979

 R  15 G 467    165      157.0      2.901		0.9952122331200751 | 0.0

 R  15 G 468    165    156.964       2.98		0.9952122331200751 | 0.0

 R  15 G 469    165    156.962      2.998		0.9952122331200751 | 0.0

 R  15 G 470    163     156.88      2.926		1.0 | 0.0

 R  15 G 471    165    156.998      2.931		0.9952122331200751 | 0.0

 R  15 G 472    165    156.806      2.968		0.99 | 0.0

 R  15 G 473    163    156.936      2.951		0.9952122331200751 | 0.0

 R  15 G 474    163     156.82      3.035		0.9952122331200751 | 0.0

 R  15 G 475    165    156.828      3.065		0.9952122331200751 | 0.0

 R  15 G 476    165    156.912       2.95		0.9952122331200751 | 0.0

 R  15 G 477    163    156.954      2.967		1.0 | 0.0

 R  15 G 478    165    156.804      3.085		0.9952122331200751 | 0.0

 R  15 G 479    165     156.87      2.915		0.9952122331200751 | 0.0

 R  15 G 480    165    156.846      3.031		0.9952122331200751 | 0.0

 R  15 G 481    165    156.864      3.053		0.9752122331200751 | 0.0

 R  15 G 482    163    156.886      2.922		1.0 | 0.0

 R  15 G 483    165    157.026      3.002		0.9952122331200751 | 0.0

 R  15 G 484    165    157.002      3.101		0.9852122331200751 | 0.0

 R  15 G 485    165    157.008      2.894		0.99 | 0.0

 R  15 G 486    165    156.808      3.056		0.9952122331200751 | 0.0

 R  15 G 487    165     156.97      3.013		0.9852122331200751 | 0.0

 R  15 G 488    165    157.034      2.963		0.9952122331200751 | 0.0

 R  15 G 489    163    157.058      2.976		1.0 | 0.01

 R  15 G 490    163    156.758      3.015		0.9952122331200751 | 0.0

 R  15 G 491    163    156.828      2.858		1.0 | 0.0

 R  15 G 492    165      157.0       2.92		0.9952122331200751 | 0.0

 R  15 G 493    165    157.008       2.95		0.9852122331200751 | 0.0

 R  15 G 494    165    156.942      3.029		0.9952122331200751 | 0.0

 R  15 G 495    165    156.994      2.885		0.9952122331200751 | 0.0

 R  15 G 496    165    156.954      2.952		0.9952122331200751 | 0.0

 R  15 G 497    165    156.994      2.999		0.9852122331200751 | 0.0

 R  15 G 498    163    156.878      2.944		1.0 | 0.01

 R  15 G 499    165    156.856      3.005		0.9852122331200751 | 0.0

15     0###################### RawFitness
           0          0          183

 R  16 G   0    171     147.33      9.211		0.517453048357049 | 0.3383758006600831

 R  16 G   1    175    148.102      8.871		0.1850608143061505 | 0.7911510294697047

 R  16 G   2    171    148.086       8.68		0.627504318564721 | 0.17956335377277632

 R  16 G   3    175    149.652      8.085		0.41007545994042427 | 0.20496494151594435

 R  16 G   4    175    150.014      8.192		0.154008633193768 | 0.6156703994622575

 R  16 G   5    177     150.86      7.846		0.2712734138313563 | 0.4312106494715554

 R  16 G   6    175      150.7      8.064		0.5005529886825077 | 0.255374077041732

 R  16 G   7    171    151.706      7.309		0.879949109131854 | 0.3798608099862385

 R  16 G   8    175    152.536       6.88		0.8229903380752387 | 0.04653269977570529

 R  16 G   9    173    153.008      6.745		0.13929308915606708 | 0.4594966731905359

 R  16 G  10    177    152.824      6.563		0.7505716466957958 | 0.36924572102929387

 R  16 G  11    173     153.08      6.789		0.9200434334890872 | 0.11326778178817343

 R  16 G  12    175    153.568      6.273		0.23080689305408741 | 0.28340504172973136

 R  16 G  13    171    153.742      6.008		0.9078959819142374 | 0.299092198384736

 R  16 G  14    173    154.112       5.75		0.5495323353019119 | 0.14643964866521142

 R  16 G  15    175    154.232      5.852		0.7809008819725511 | 0.03183578856143998

 R  16 G  16    177    154.364      5.792		0.6638687700897512 | 0.20314022281644029

 R  16 G  17    171    154.494      5.691		0.6638687700897512 | 0.20314022281644029

 R  16 G  18    169    155.128      5.203		0.9300434334890872 | 0.11326778178817343

 R  16 G  19    171    155.134      5.307		0.9477019963666545 | 0.022815751678193386

 R  16 G  20    171    155.672      5.153		0.9200434334890872 | 0.11326778178817343

 R  16 G  21    171    155.026      5.202		0.7739419279008092 | 0.08412428002303984

 R  16 G  22    169    155.398      4.768		0.9577019963666545 | 0.022815751678193386

 R  16 G  23    169    155.354      5.204		0.9200434334890872 | 0.11326778178817343

 R  16 G  24    169    155.372      4.834		0.9300434334890872 | 0.11326778178817343

 R  16 G  25    167    155.388      4.937		0.9577019963666545 | 0.03281575167819339

 R  16 G  26    169     155.34       4.94		0.9577019963666545 | 0.022815751678193386

 R  16 G  27    171    155.396      4.847		0.7739419279008092 | 0.08412428002303984

 R  16 G  28    169     155.75      4.868		0.9577019963666545 | 0.03281575167819339

 R  16 G  29    169    155.622      4.787		0.9577019963666545 | 0.022815751678193386

 R  16 G  30    169    155.852      4.803		0.9577019963666545 | 0.03281575167819339

 R  16 G  31    167    155.958      4.798		0.9577019963666545 | 0.022815751678193386

 R  16 G  32    169    155.726      4.662		0.9577019963666545 | 0.022815751678193386

 R  16 G  33    169    155.646      4.937		0.9577019963666545 | 0.022815751678193386

 R  16 G  34    169    155.734       4.79		0.9677019963666545 | 0.022815751678193386

 R  16 G  35    169    155.618      4.883		0.9200434334890872 | 0.11326778178817343

 R  16 G  36    169    156.026      4.728		0.9577019963666545 | 0.03281575167819339

 R  16 G  37    167    155.742      4.831		0.9577019963666545 | 0.022815751678193386

 R  16 G  38    167    156.088      4.551		0.9577019963666545 | 0.022815751678193386

 R  16 G  39    169    155.742      4.556		0.9577019963666545 | 0.022815751678193386

 R  16 G  40    171    155.864      4.667		0.9477019963666545 | 0.022815751678193386

 R  16 G  41    167    156.042      4.608		0.9577019963666545 | 0.012815751678193385

 R  16 G  42    169     155.52      4.691		0.9677019963666545 | 0.022815751678193386

 R  16 G  43    167     155.84      4.794		0.9477019963666545 | 0.022815751678193386

 R  16 G  44    167     155.75      4.655		0.9577019963666545 | 0.03281575167819339

 R  16 G  45    167    155.606      4.861		0.9477019963666545 | 0.012815751678193385

 R  16 G  46    167     155.35      4.682		0.9577019963666545 | 0.022815751678193386

 R  16 G  47    169    155.816       5.02		0.9577019963666545 | 0.022815751678193386

 R  16 G  48    169     155.77      4.773		0.9577019963666545 | 0.012815751678193385

 R  16 G  49    171    155.692      4.781		0.9577019963666545 | 0.022815751678193386

 R  16 G  50    169      155.6       4.77		0.9577019963666545 | 0.022815751678193386

 R  16 G  51    169    155.702      4.913		0.9577019963666545 | 0.022815751678193386

 R  16 G  52    165     155.51      4.667		0.9677019963666545 | 0.022815751678193386

 R  16 G  53    173    155.878      4.642		0.9577019963666545 | 0.022815751678193386

 R  16 G  54    169    155.758      4.638		0.9577019963666545 | 0.012815751678193385

 R  16 G  55    169    155.612      4.595		0.9577019963666545 | 0.022815751678193386

 R  16 G  56    171    155.626      4.661		0.9477019963666545 | 0.022815751678193386

 R  16 G  57    167    155.724      4.578		0.9677019963666545 | 0.022815751678193386

 R  16 G  58    169    155.636      4.752		0.9577019963666545 | 0.022815751678193386

 R  16 G  59    167    155.936      4.751		0.9577019963666545 | 0.022815751678193386

 R  16 G  60    169    155.572      5.031		0.9477019963666545 | 0.022815751678193386

 R  16 G  61    171    155.834      4.631		0.9477019963666545 | 0.022815751678193386

 R  16 G  62    167    155.904      4.663		0.9477019963666545 | 0.022815751678193386

 R  16 G  63    169    155.716      4.783		0.9477019963666545 | 0.022815751678193386

 R  16 G  64    169    155.634      4.829		0.9577019963666545 | 0.022815751678193386

 R  16 G  65    169     155.98      4.544		0.9477019963666545 | 0.022815751678193386

 R  16 G  66    169      155.8      4.797		0.9477019963666545 | 0.022815751678193386

 R  16 G  67    167    155.914      4.545		0.9477019963666545 | 0.022815751678193386

 R  16 G  68    169    155.592      4.708		0.9577019963666545 | 0.022815751678193386

 R  16 G  69    169    155.696        4.8		0.9477019963666545 | 0.022815751678193386

 R  16 G  70    169    155.788       4.73		0.9577019963666545 | 0.022815751678193386

 R  16 G  71    169     155.83      4.708		0.9477019963666545 | 0.022815751678193386

 R  16 G  72    167    155.814      4.618		0.9477019963666545 | 0.022815751678193386

 R  16 G  73    171    155.514      4.698		0.9577019963666545 | 0.022815751678193386

 R  16 G  74    173    155.598      4.994		0.9377019963666545 | 0.022815751678193386

 R  16 G  75    171    155.528      4.797		0.9577019963666545 | 0.022815751678193386

 R  16 G  76    171    155.414      4.708		0.9577019963666545 | 0.03281575167819339

 R  16 G  77    169    155.728      4.845		0.9577019963666545 | 0.012815751678193385

 R  16 G  78    169     155.81      4.725		0.9577019963666545 | 0.022815751678193386

 R  16 G  79    167     155.62      4.792		0.9377019963666545 | 0.022815751678193386

 R  16 G  80    169    155.814      4.821		0.9677019963666545 | 0.022815751678193386

 R  16 G  81    171     155.61      4.649		0.9377019963666545 | 0.022815751678193386

 R  16 G  82    167    155.836      4.683		0.9577019963666545 | 0.012815751678193385

 R  16 G  83    167     155.71      4.755		0.9477019963666545 | 0.012815751678193385

 R  16 G  84    167    155.492      4.926		0.9577019963666545 | 0.012815751678193385

 R  16 G  85    171    155.654      4.777		0.9477019963666545 | 0.022815751678193386

 R  16 G  86    167    156.014      4.429		0.9477019963666545 | 0.022815751678193386

 R  16 G  87    169    155.352      4.827		0.9677019963666545 | 0.022815751678193386

 R  16 G  88    167    155.662      4.743		0.9577019963666545 | 0.022815751678193386

 R  16 G  89    169    155.648      4.649		0.9477019963666545 | 0.022815751678193386

 R  16 G  90    167     155.66      4.611		0.9577019963666545 | 0.012815751678193385

 R  16 G  91    169    155.966       4.56		0.9577019963666545 | 0.012815751678193385

 R  16 G  92    167    156.062      4.634		0.9577019963666545 | 0.012815751678193385

 R  16 G  93    169     155.74      4.659		0.9377019963666545 | 0.022815751678193386

 R  16 G  94    169    156.004      4.733		0.9577019963666545 | 0.012815751678193385

 R  16 G  95    169    155.878      4.592		0.9577019963666545 | 0.022815751678193386

 R  16 G  96    167    155.566      4.667		0.9577019963666545 | 0.022815751678193386

 R  16 G  97    167    155.986      4.498		0.9577019963666545 | 0.012815751678193385

 R  16 G  98    167    155.656      4.622		0.9577019963666545 | 0.022815751678193386

 R  16 G  99    169    155.738       4.58		0.9477019963666545 | 0.022815751678193386

 R  16 G 100    171    155.936      4.767		0.9577019963666545 | 0.002815751678193385

 R  16 G 101    169     155.68      4.763		0.9577019963666545 | 0.022815751678193386

 R  16 G 102    169    156.026      4.454		0.9577019963666545 | 0.012815751678193385

 R  16 G 103    169    155.918      4.345		0.9677019963666545 | 0.03281575167819339

 R  16 G 104    169    155.912      4.503		0.9577019963666545 | 0.012815751678193385

 R  16 G 105    167     155.87      4.608		0.9577019963666545 | 0.002815751678193385

 R  16 G 106    167    155.854       4.51		0.9577019963666545 | 0.022815751678193386

 R  16 G 107    167    155.778      4.448		0.9577019963666545 | 0.022815751678193386

 R  16 G 108    169    156.208      4.691		0.9577019963666545 | 0.022815751678193386

 R  16 G 109    167    155.836      4.542		0.9577019963666545 | 0.03281575167819339

 R  16 G 110    167    155.972      4.526		0.9577019963666545 | 0.022815751678193386

 R  16 G 111    169     155.83      4.613		0.9577019963666545 | 0.012815751678193385

 R  16 G 112    167    156.008      4.716		0.9777019963666546 | 0.022815751678193386

 R  16 G 113    169    155.726      4.646		0.9577019963666545 | 0.03281575167819339

 R  16 G 114    171    155.882       4.51		0.9577019963666545 | 0.022815751678193386

 R  16 G 115    169    156.018      4.385		0.9677019963666545 | 0.03281575167819339

 R  16 G 116    167    156.142      4.617		0.9577019963666545 | 0.022815751678193386

 R  16 G 117    167    155.926      4.517		0.9577019963666545 | 0.022815751678193386

 R  16 G 118    169     156.05      4.513		0.9577019963666545 | 0.03281575167819339

 R  16 G 119    167    155.766      4.594		0.9677019963666545 | 0.03281575167819339

 R  16 G 120    167    155.766      4.663		0.9577019963666545 | 0.012815751678193385

 R  16 G 121    167    155.878      4.627		0.9677019963666545 | 0.002815751678193385

 R  16 G 122    169    155.844      4.612		0.9577019963666545 | 0.022815751678193386

 R  16 G 123    167    155.784       4.38		0.9577019963666545 | 0.022815751678193386

 R  16 G 124    169    155.642      4.646		0.9677019963666545 | 0.03281575167819339

 R  16 G 125    167    156.164      4.354		0.9577019963666545 | 0.022815751678193386

 R  16 G 126    169    155.864      4.406		0.9577019963666545 | 0.002815751678193385

 R  16 G 127    169    156.044       4.57		0.9677019963666545 | 0.022815751678193386

 R  16 G 128    169    156.144      4.378		0.9577019963666545 | 0.022815751678193386

 R  16 G 129    167    155.622      4.395		0.9577019963666545 | 0.022815751678193386

 R  16 G 130    169    156.026      4.708		0.9677019963666545 | 0.022815751678193386

 R  16 G 131    167    155.728      4.561		0.9477019963666545 | 0.022815751678193386

 R  16 G 132    167    156.132      4.402		0.9477019963666545 | 0.03281575167819339

 R  16 G 133    167    155.908      4.558		0.9677019963666545 | 0.022815751678193386

 R  16 G 134    167    155.992      4.449		0.9677019963666545 | 0.022815751678193386

 R  16 G 135    169    156.026       4.61		0.9477019963666545 | 0.03281575167819339

 R  16 G 136    167    155.564      4.594		0.9577019963666545 | 0.03281575167819339

 R  16 G 137    169    155.748       4.72		0.9677019963666545 | 0.022815751678193386

 R  16 G 138    167    155.838      4.467		0.9777019963666546 | 0.012815751678193385

 R  16 G 139    169    155.944      4.589		0.9577019963666545 | 0.022815751678193386

 R  16 G 140    169     155.93      4.468		0.9577019963666545 | 0.022815751678193386

 R  16 G 141    171    155.942      4.395		0.9577019963666545 | 0.03281575167819339

 R  16 G 142    171    155.882        4.4		0.9477019963666545 | 0.022815751678193386

 R  16 G 143    169    156.142      4.687		0.9577019963666545 | 0.022815751678193386

 R  16 G 144    171    156.118      4.379		0.9677019963666545 | 0.03281575167819339

 R  16 G 145    167     156.06      4.455		0.9577019963666545 | 0.022815751678193386

 R  16 G 146    167    155.884      4.391		0.9677019963666545 | 0.022815751678193386

 R  16 G 147    169    155.912      4.432		0.9577019963666545 | 0.03281575167819339

 R  16 G 148    169    155.806      4.513		0.9577019963666545 | 0.022815751678193386

 R  16 G 149    169    155.884      4.445		0.9677019963666545 | 0.022815751678193386

 R  16 G 150    167    155.984      4.473		0.9677019963666545 | 0.022815751678193386

 R  16 G 151    167    155.922      4.247		0.9577019963666545 | 0.022815751678193386

 R  16 G 152    167    156.184       4.14		0.9677019963666545 | 0.03281575167819339

 R  16 G 153    169    156.102      4.349		0.9677019963666545 | 0.022815751678193386

 R  16 G 154    165    156.002      4.283		0.9777019963666546 | 0.022815751678193386

 R  16 G 155    171    156.348       4.26		0.9677019963666545 | 0.04281575167819339

 R  16 G 156    167    155.714       4.59		0.9577019963666545 | 0.03281575167819339

 R  16 G 157    167    156.174      4.344		0.9577019963666545 | 0.012815751678193385

 R  16 G 158    167    155.818      4.168		0.9677019963666545 | 0.002815751678193385

 R  16 G 159    167    156.176      4.239		0.9777019963666546 | 0.022815751678193386

 R  16 G 160    165    156.242      4.197		0.9577019963666545 | 0.03281575167819339

 R  16 G 161    167    155.856      4.294		0.9777019963666546 | 0.022815751678193386

 R  16 G 162    167    156.052      4.396		0.9677019963666545 | 0.012815751678193385

 R  16 G 163    169    155.934      4.324		0.9677019963666545 | 0.022815751678193386

 R  16 G 164    167     156.14      4.228		0.9777019963666546 | 0.022815751678193386

 R  16 G 165    169    156.138       4.48		0.9477019963666545 | 0.022815751678193386

 R  16 G 166    167     156.07      4.359		0.9677019963666545 | 0.012815751678193385

 R  16 G 167    169     155.95      4.383		0.9477019963666545 | 0.03281575167819339

 R  16 G 168    169    155.752      4.384		0.9677019963666545 | 0.022815751678193386

 R  16 G 169    167    155.852      4.286		0.9577019963666545 | 0.002815751678193385

 R  16 G 170    167     156.12      4.308		0.9777019963666546 | 0.012815751678193385

 R  16 G 171    169    155.956      4.378		0.9577019963666545 | 0.022815751678193386

 R  16 G 172    169    156.082      4.221		0.9677019963666545 | 0.04281575167819339

 R  16 G 173    167    155.834      4.383		0.9577019963666545 | 0.022815751678193386

 R  16 G 174    167    156.016      4.241		0.9777019963666546 | 0.022815751678193386

 R  16 G 175    167    155.946      4.378		0.9777019963666546 | 0.03281575167819339

 R  16 G 176    169    155.696      4.477		0.9577019963666545 | 0.012815751678193385

 R  16 G 177    167    155.914      4.254		0.9777019963666546 | 0.022815751678193386

 R  16 G 178    167     155.89       4.32		0.9677019963666545 | 0.012815751678193385

 R  16 G 179    167     156.12      4.206		0.9777019963666546 | 0.022815751678193386

 R  16 G 180    169    156.242       4.39		0.9477019963666545 | 0.022815751678193386

 R  16 G 181    167    156.002      4.341		0.9677019963666545 | 0.002815751678193385

 R  16 G 182    169    156.254      4.326		0.9777019963666546 | 0.022815751678193386

 R  16 G 183    169    156.128       4.33		0.9677019963666545 | 0.012815751678193385

 R  16 G 184    169    156.016      4.356		0.9577019963666545 | 0.022815751678193386

 R  16 G 185    167    156.216       4.38		0.9677019963666545 | 0.002815751678193385

 R  16 G 186    167    156.098      4.347		0.9777019963666546 | 0.022815751678193386

 R  16 G 187    171      156.1      4.327		0.9777019963666546 | 0.022815751678193386

 R  16 G 188    169    156.194      4.196		0.9777019963666546 | 0.022815751678193386

 R  16 G 189    167    155.992      4.184		0.9577019963666545 | 0.022815751678193386

 R  16 G 190    167    156.124      4.188		0.9777019963666546 | 0.022815751678193386

 R  16 G 191    167    156.096      4.161		0.9677019963666545 | 0.022815751678193386

 R  16 G 192    167    156.006      4.347		0.9677019963666545 | 0.022815751678193386

 R  16 G 193    169      156.1      4.373		0.9677019963666545 | 0.002815751678193385

 R  16 G 194    167     156.12      4.353		0.9777019963666546 | 0.022815751678193386

 R  16 G 195    167     156.13      4.295		0.9577019963666545 | 0.002815751678193385

 R  16 G 196    167    155.922       4.17		0.9577019963666545 | 0.022815751678193386

 R  16 G 197    167      156.0      4.359		0.9577019963666545 | 0.002815751678193385

 R  16 G 198    167     156.01      4.267		0.9677019963666545 | 0.022815751678193386

 R  16 G 199    169    156.086      4.377		0.9677019963666545 | 0.002815751678193385

 R  16 G 200    167     155.99      4.483		0.9677019963666545 | 0.002815751678193385

 R  16 G 201    167    155.798      4.311		0.9677019963666545 | 0.002815751678193385

 R  16 G 202    167     155.93      4.311		0.9677019963666545 | 0.022815751678193386

 R  16 G 203    167    156.152      4.143		0.9477019963666545 | 0.002815751678193385

 R  16 G 204    167    156.096      4.278		0.9677019963666545 | 0.002815751678193385

 R  16 G 205    167    156.282      4.192		0.9677019963666545 | 0.022815751678193386

 R  16 G 206    169    155.994      4.309		0.9577019963666545 | 0.002815751678193385

 R  16 G 207    169    155.928      4.298		0.9777019963666546 | 0.022815751678193386

 R  16 G 208    169    156.252      4.194		0.9677019963666545 | 0.002815751678193385

 R  16 G 209    167    156.092      3.978		0.9677019963666545 | 0.002815751678193385

 R  16 G 210    169    156.006       4.41		0.9677019963666545 | 0.002815751678193385

 R  16 G 211    167    156.092      4.278		0.9577019963666545 | 0.002815751678193385

 R  16 G 212    169    156.126      4.389		0.9677019963666545 | 0.002815751678193385

 R  16 G 213    165    156.246      4.341		0.9577019963666545 | 0.002815751678193385

 R  16 G 214    169    156.236      4.397		0.9677019963666545 | 0.002815751678193385

 R  16 G 215    171    155.974      4.467		0.9677019963666545 | 0.002815751678193385

 R  16 G 216    169     156.13      4.382		0.9877019963666546 | 0.0

 R  16 G 217    169    156.192       4.23		0.9477019963666545 | 0.002815751678193385

 R  16 G 218    167    156.322      4.121		0.9577019963666545 | 0.002815751678193385

 R  16 G 219    169     155.89      4.254		0.9677019963666545 | 0.002815751678193385

 R  16 G 220    165    156.176      4.348		0.9677019963666545 | 0.002815751678193385

 R  16 G 221    167    156.152      4.448		0.9677019963666545 | 0.002815751678193385

 R  16 G 222    169    156.082      4.246		0.9677019963666545 | 0.002815751678193385

 R  16 G 223    167     155.95      4.392		0.9577019963666545 | 0.022815751678193386

 R  16 G 224    165    156.178      4.434		0.9677019963666545 | 0.002815751678193385

 R  16 G 225    169    156.052      4.389		0.9677019963666545 | 0.002815751678193385

 R  16 G 226    169    156.112      4.244		0.9677019963666545 | 0.022815751678193386

 R  16 G 227    169    156.174      4.466		0.9477019963666545 | 0.002815751678193385

 R  16 G 228    167     156.02      4.245		0.9577019963666545 | 0.002815751678193385

 R  16 G 229    167    156.052      4.266		0.9777019963666546 | 0.022815751678193386

 R  16 G 230    165    155.882      4.314		0.9677019963666545 | 0.002815751678193385

