Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  1000
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    173     147.29      9.411		0.01879760767170746 | 0.06135201897844156

 R   1 G  75    169    155.674      4.854		0.9491336064635693 | 0.048549516035404805

 R   1 G  76    167    155.394      5.026		0.9591336064635693 | 0.048549516035404805

 R   1 G  77    169     155.44      4.913		0.9491336064635693 | 0.048549516035404805

 R   1 G  78    167     155.47      4.784		0.9491336064635693 | 0.048549516035404805

 R   1 G  79    169     155.55      4.814		0.9591336064635693 | 0.0385495160354048

 R   1 G  80    167    155.786      4.502		0.9491336064635693 | 0.05854951603540481

 R   1 G  81    169    155.546      4.746		0.9391336064635692 | 0.048549516035404805

 R   1 G  82    169    155.536      4.669		0.9491336064635693 | 0.048549516035404805

 R   1 G  83    169    155.556       4.69		0.9491336064635693 | 0.05854951603540481

 R   1 G  84    167     155.87      4.455		0.9491336064635693 | 0.0385495160354048

 R   1 G  85    169    155.762      4.613		0.9491336064635693 | 0.048549516035404805

 R   1 G  86    171    156.048      4.313		0.9491336064635693 | 0.0285495160354048

 R   1 G  87    167    155.752       4.36		0.9491336064635693 | 0.048549516035404805

 R   1 G  88    169    156.072      4.388		0.9491336064635693 | 0.048549516035404805

 R   1 G  89    167    155.884      4.396		0.9491336064635693 | 0.048549516035404805

 R   1 G  90    167    156.108       4.23		0.9491336064635693 | 0.0385495160354048

 R   1 G  91    171     155.65      4.267		0.9491336064635693 | 0.048549516035404805

 R   1 G  92    169     155.71      4.082		0.9491336064635693 | 0.048549516035404805

 R   1 G  93    169    155.908       4.18		0.9491336064635693 | 0.048549516035404805

 R   1 G  94    167     155.62      4.396		0.9591336064635693 | 0.048549516035404805

 R   1 G  95    171    156.036      4.167		0.9491336064635693 | 0.048549516035404805

 R   1 G  96    167    155.658      4.444		0.9491336064635693 | 0.0385495160354048

 R   1 G  97    167     155.77      4.441		0.9491336064635693 | 0.048549516035404805

 R   1 G  98    167    155.624      4.356		0.9491336064635693 | 0.048549516035404805

 R   1 G  99    167    155.812      4.375		0.9491336064635693 | 0.048549516035404805

 R   1 G 100    167    155.734      4.322		0.9591336064635693 | 0.048549516035404805

 R   1 G 101    167    156.034      4.291		0.9491336064635693 | 0.0385495160354048

 R   1 G 102    169    155.892      4.094		0.9391336064635692 | 0.0385495160354048

 R   1 G 103    167    155.634      4.276		0.9591336064635693 | 0.048549516035404805

 R   1 G 104    167    155.854      4.474		0.9391336064635692 | 0.048549516035404805

 R   1 G 105    167    155.922      4.476		0.9591336064635693 | 0.048549516035404805

 R   1 G 106    167     155.76       4.35		0.9491336064635693 | 0.048549516035404805

 R   1 G 107    171    155.552      4.513		0.9391336064635692 | 0.048549516035404805

 R   1 G 108    167    155.772      4.327		0.9491336064635693 | 0.0385495160354048

 R   1 G 109    169     155.75      4.433		0.9591336064635693 | 0.048549516035404805

 R   1 G 110    167     155.96      4.318		0.9591336064635693 | 0.048549516035404805

 R   1 G 111    169    155.576      4.504		0.9391336064635692 | 0.048549516035404805

 R   1 G 112    167    155.704      4.463		0.9491336064635693 | 0.048549516035404805

 R   1 G 113    169    155.694      4.519		0.9491336064635693 | 0.0385495160354048

 R   1 G 114    169    155.746       4.32		0.9491336064635693 | 0.0385495160354048

 R   1 G 115    167    155.672      4.315		0.9591336064635693 | 0.048549516035404805

 R   1 G 116    167     155.93      4.104		0.9391336064635692 | 0.048549516035404805

 R   1 G 117    167     155.77      4.226		0.9591336064635693 | 0.048549516035404805

 R   1 G 118    167    156.108       4.07		0.9491336064635693 | 0.0385495160354048

 R   1 G 119    167    155.846      3.939		0.9491336064635693 | 0.0385495160354048

 R   1 G 120    167    155.902      3.987		0.9491336064635693 | 0.0385495160354048

 R   1 G 121    167    156.002       3.96		0.9591336064635693 | 0.048549516035404805

 R   1 G 122    167    155.876      3.889		0.9391336064635692 | 0.048549516035404805

 R   1 G 123    169    156.086      4.003		0.9391336064635692 | 0.048549516035404805

 R   1 G 124    165    156.258      3.802		0.9791336064635693 | 0.048549516035404805

 R   1 G 125    167    155.956      3.862		0.9491336064635693 | 0.048549516035404805

 R   1 G 126    167     155.97      3.957		0.9491336064635693 | 0.0385495160354048

 R   1 G 127    167      156.2      4.045		0.9891336064635693 | 0.05854951603540481

 R   1 G 128    169    155.988      4.022		0.9491336064635693 | 0.05854951603540481

 R   1 G 129    167    156.002      3.978		0.9491336064635693 | 0.048549516035404805

 R   1 G 130    165     156.34      3.878		0.9491336064635693 | 0.0385495160354048

 R   1 G 131    167     156.14      3.965		0.9491336064635693 | 0.0385495160354048

 R   1 G 132    167     155.99      3.661		0.9791336064635693 | 0.048549516035404805

 R   1 G 133    167     156.18       3.78		0.9591336064635693 | 0.048549516035404805

 R   1 G 134    167    156.034      3.851		0.9591336064635693 | 0.0385495160354048

 R   1 G 135    165     156.05      3.609		0.9891336064635693 | 0.048549516035404805

 R   1 G 136    165     156.14      3.676		0.9891336064635693 | 0.048549516035404805

 R   1 G 137    165    156.138      3.678		0.9591336064635693 | 0.0385495160354048

 R   1 G 138    167    156.418       3.63		0.9591336064635693 | 0.05854951603540481

 R   1 G 139    167    155.948      3.648		0.9891336064635693 | 0.048549516035404805

 R   1 G 140    167    156.212      3.758		0.9891336064635693 | 0.048549516035404805

 R   1 G 141    167    156.096      3.762		0.9891336064635693 | 0.048549516035404805

