Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  200
Population Size              :  200
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0   1496    1359.42      51.39		0.8706525965322613 | 0.13296164268902222

 R   5 G 118   1602    1585.88      11.53		1.0 | 0.08257530251360463

 R   5 G 119   1612    1586.13     15.976		1.0 | 0.06257530251360464

 R   5 G 120   1614    1586.88     12.001		1.0 | 0.06257530251360464

 R   5 G 121   1610    1586.34      8.774		1.0 | 0.06257530251360464

 R   5 G 122   1610    1587.26     13.064		1.0 | 0.06257530251360464

 R   5 G 123   1612    1588.02     11.183		1.0 | 0.06257530251360464

 R   5 G 124   1612    1588.51      9.078		1.0 | 0.06257530251360464

 R   5 G 125   1618    1586.87     10.983		1.0 | 0.06257530251360464

 R   5 G 126   1608    1587.94      9.277		1.0 | 0.05257530251360464

 R   5 G 127   1606    1587.57      8.394		1.0 | 0.06257530251360464

 R   5 G 128   1608    1587.81      8.465		1.0 | 0.05257530251360464

 R   5 G 129   1612    1587.74      9.315		1.0 | 0.05257530251360464

 R   5 G 130   1614    1588.38      8.578		1.0 | 0.06257530251360464

 R   5 G 131   1614    1588.55      8.454		1.0 | 0.06257530251360464

 R   5 G 132   1610    1587.97      9.132		1.0 | 0.06257530251360464

 R   5 G 133   1608     1587.7      8.249		1.0 | 0.06257530251360464

 R   5 G 134   1614    1586.91      9.674		1.0 | 0.06257530251360464

 R   5 G 135   1604    1586.87      9.484		1.0 | 0.06257530251360464

 R   5 G 136   1610    1587.45       8.79		1.0 | 0.05257530251360464

 R   5 G 137   1616    1588.51      8.861		1.0 | 0.06257530251360464

 R   5 G 138   1612    1588.89       8.63		1.0 | 0.06257530251360464

 R   5 G 139   1614    1587.75     13.624		1.0 | 0.05257530251360464

 R   5 G 140   1610    1588.81      9.145		1.0 | 0.06257530251360464

 R   5 G 141   1608    1588.98      8.068		1.0 | 0.05257530251360464

 R   5 G 142   1614     1588.2      8.938		1.0 | 0.04257530251360464

 R   5 G 143   1606    1588.12      8.322		1.0 | 0.04257530251360464

 R   5 G 144   1612    1588.93      8.037		1.0 | 0.04257530251360464

 R   5 G 145   1612    1587.71     12.069		1.0 | 0.05257530251360464

 R   5 G 146   1612    1589.77      9.409		1.0 | 0.05257530251360464

 R   5 G 147   1614    1588.47     10.932		1.0 | 0.03257530251360464

 R   5 G 148   1610    1589.41     12.843		1.0 | 0.04257530251360464

 R   5 G 149   1616    1587.64     14.224		1.0 | 0.04257530251360464

 R   5 G 150   1614    1590.15     12.832		1.0 | 0.03257530251360464

 R   5 G 151   1610    1590.99      8.337		1.0 | 0.05257530251360464

 R   5 G 152   1612     1591.3      9.814		1.0 | 0.04257530251360464

 R   5 G 153   1612    1590.77       8.78		1.0 | 0.03257530251360464

 R   5 G 154   1612    1590.21      8.981		1.0 | 0.03257530251360464

 R   5 G 155   1616    1591.52      8.861		1.0 | 0.03257530251360464

 R   5 G 156   1612    1592.34       9.78		1.0 | 0.03257530251360464

 R   5 G 157   1614    1591.63     11.164		1.0 | 0.04257530251360464

 R   5 G 158   1612    1591.26     10.301		1.0 | 0.03257530251360464

 R   5 G 159   1612    1592.64     11.853		1.0 | 0.03257530251360464

 R   5 G 160   1614    1591.68     10.907		1.0 | 0.03257530251360464

 R   5 G 161   1614    1591.54     12.013		1.0 | 0.03257530251360464

 R   5 G 162   1618     1591.4     12.496		1.0 | 0.03257530251360464

 R   5 G 163   1610    1590.95     10.312		1.0 | 0.03257530251360464

 R   5 G 164   1608    1590.94      8.262		1.0 | 0.03257530251360464

 R   5 G 165   1612    1590.92      9.948		1.0 | 0.03257530251360464

 R   5 G 166   1610    1592.34      8.566		1.0 | 0.03257530251360464

 R   5 G 167   1608    1591.66      8.209		1.0 | 0.04257530251360464

 R   5 G 168   1614    1591.07      8.897		1.0 | 0.03257530251360464

 R   5 G 169   1612    1592.53      7.903		1.0 | 0.03257530251360464

 R   5 G 170   1616    1592.38      8.745		1.0 | 0.04257530251360464

 R   5 G 171   1620    1592.73      8.265		1.0 | 0.03257530251360464

 R   5 G 172   1614    1591.18      8.123		1.0 | 0.03257530251360464

 R   5 G 173   1614    1591.15     11.517		1.0 | 0.03257530251360464

 R   5 G 174   1610    1591.66      7.758		1.0 | 0.022575302513604636

 R   5 G 175   1616    1592.53      8.669		1.0 | 0.022575302513604636

 R   5 G 176   1618    1592.54      9.594		1.0 | 0.03257530251360464

 R   5 G 177   1612    1592.34      8.369		1.0 | 0.03257530251360464

 R   5 G 178   1620     1590.5     13.926		1.0 | 0.03257530251360464

 R   5 G 179   1616    1592.76      8.896		1.0 | 0.022575302513604636

 R   5 G 180   1624    1592.18     10.095		1.0 | 0.022575302513604636

 R   5 G 181   1614     1594.0      8.045		1.0 | 0.03257530251360464

 R   5 G 182   1610    1592.33      8.291		1.0 | 0.022575302513604636

 R   5 G 183   1618    1592.39       8.37		1.0 | 0.03257530251360464

 R   5 G 184   1612    1592.65      8.801		1.0 | 0.03257530251360464

 R   5 G 185   1612     1592.6     10.302		1.0 | 0.022575302513604636

 R   5 G 186   1612    1591.71      9.823		1.0 | 0.022575302513604636

 R   5 G 187   1612    1591.65     12.336		1.0 | 0.022575302513604636

 R   5 G 188   1610    1591.09     13.457		1.0 | 0.03257530251360464

 R   5 G 189   1612    1592.42     10.289		1.0 | 0.03257530251360464

 R   5 G 190   1612    1592.24      8.229		1.0 | 0.03257530251360464

 R   5 G 191   1616     1592.5      9.721		1.0 | 0.03257530251360464

 R   5 G 192   1612    1592.74      7.843		1.0 | 0.022575302513604636

 R   5 G 193   1610    1593.71       7.58		1.0 | 0.022575302513604636

 R   5 G 194   1612    1593.56      8.008		1.0 | 0.022575302513604636

 R   5 G 195   1620    1593.42      7.964		1.0 | 0.022575302513604636

 R   5 G 196   1610    1592.87      9.909		1.0 | 0.022575302513604636

 R   5 G 197   1616     1593.3      9.483		1.0 | 0.03257530251360464

 R   5 G 198   1614    1593.02      7.747		1.0 | 0.022575302513604636

 R   5 G 199   1612     1593.3       10.2		1.0 | 0.022575302513604636

5    180        1.0########### RawFitness
           0          0         1624

 R   6 G   0   1592    1359.76     53.284		0.9953794575743364 | 0.0378725439657307

 R   6 G   1   1588    1382.36     55.232		0.9828735838023117 | 0.15897908369544878

 R   6 G   2   1590    1395.03      52.95		0.9953794575743364 | 0.0378725439657307

 R   6 G   3   1608    1413.59     66.664		0.9953794575743364 | 0.0378725439657307

 R   6 G   4   1600     1441.4     73.597		0.9654534378580379 | 0.05007809019085463

 R   6 G   5   1604    1474.33     75.789		0.9953794575743364 | 0.0378725439657307

 R   6 G   6   1610    1516.82     76.705		0.9953794575743364 | 0.0378725439657307

 R   6 G   7   1614    1540.36     64.706		0.9953794575743364 | 0.0378725439657307

 R   6 G   8   1608    1557.25     47.584		0.9953794575743364 | 0.0378725439657307

 R   6 G   9   1616    1569.16     34.233		0.9953794575743364 | 0.0378725439657307

 R   6 G  10   1610    1571.28     32.445		0.9953794575743364 | 0.0378725439657307

 R   6 G  11   1610    1575.67     25.447		0.9953794575743364 | 0.0378725439657307

 R   6 G  12   1612    1569.95      32.95		0.9953794575743364 | 0.0378725439657307

 R   6 G  13   1622    1570.35     29.679		0.9953794575743364 | 0.0378725439657307

 R   6 G  14   1608    1569.89     33.572		0.9953794575743364 | 0.0378725439657307

 R   6 G  15   1614    1572.67     29.062		0.9953794575743364 | 0.0378725439657307

 R   6 G  16   1620     1567.3       35.4		0.9953794575743364 | 0.0378725439657307

 R   6 G  17   1614    1565.47     34.492		0.9953794575743364 | 0.0478725439657307

 R   6 G  18   1612    1575.72     29.926		0.9953794575743364 | 0.0378725439657307

 R   6 G  19   1610    1570.35     33.679		0.9953794575743364 | 0.0378725439657307

 R   6 G  20   1612    1569.42     34.713		0.9953794575743364 | 0.0378725439657307

 R   6 G  21   1616    1576.91     28.376		1.0 | 0.0378725439657307

 R   6 G  22   1616    1577.35     26.094		1.0 | 0.0378725439657307

 R   6 G  23   1620    1578.53      28.91		1.0 | 0.0378725439657307

 R   6 G  24   1614    1581.32     25.205		1.0 | 0.0378725439657307

 R   6 G  25   1610     1578.5     28.195		0.9953794575743364 | 0.0378725439657307

 R   6 G  26   1616    1580.07     28.356		0.9953794575743364 | 0.027872543965730696

 R   6 G  27   1612    1584.55     22.809		1.0 | 0.0378725439657307

 R   6 G  28   1614     1586.9     17.128		0.99 | 0.0378725439657307

 R   6 G  29   1612    1583.12     24.532		1.0 | 0.0378725439657307

 R   6 G  30   1610    1587.71     18.449		0.9953794575743364 | 0.0378725439657307

 R   6 G  31   1616    1587.55     17.781		1.0 | 0.0378725439657307

 R   6 G  32   1616    1590.09      14.68		1.0 | 0.0378725439657307

 R   6 G  33   1614    1590.82     14.198		1.0 | 0.0378725439657307

 R   6 G  34   1612    1589.61     11.208		1.0 | 0.0378725439657307

 R   6 G  35   1610    1591.45      8.127		1.0 | 0.0378725439657307

 R   6 G  36   1610    1591.81      7.785		1.0 | 0.0378725439657307

 R   6 G  37   1614    1590.77      9.942		1.0 | 0.0378725439657307

 R   6 G  38   1608    1590.19      7.911		1.0 | 0.0378725439657307

 R   6 G  39   1612    1591.45      8.339		1.0 | 0.0378725439657307

 R   6 G  40   1612    1591.83      8.712		1.0 | 0.0378725439657307

 R   6 G  41   1610    1591.71      8.319		1.0 | 0.0378725439657307

 R   6 G  42   1608    1590.85      7.813		1.0 | 0.0378725439657307

 R   6 G  43   1614    1590.84      8.118		1.0 | 0.0378725439657307

 R   6 G  44   1610    1591.51     10.324		1.0 | 0.0378725439657307

 R   6 G  45   1612    1590.91      8.215		1.0 | 0.0378725439657307

 R   6 G  46   1612    1591.63       9.72		1.0 | 0.0378725439657307

 R   6 G  47   1612    1591.71      7.879		1.0 | 0.0378725439657307

 R   6 G  48   1618    1591.36      9.049		1.0 | 0.0378725439657307

 R   6 G  49   1616    1592.18      9.691		1.0 | 0.0378725439657307

 R   6 G  50   1610    1590.95      8.411		1.0 | 0.0378725439657307

 R   6 G  51   1612    1590.85      7.948		1.0 | 0.0378725439657307

 R   6 G  52   1610    1592.15      8.062		1.0 | 0.0378725439657307

 R   6 G  53   1614     1590.6     10.021		1.0 | 0.0378725439657307

 R   6 G  54   1616    1591.58      10.69		1.0 | 0.0378725439657307

 R   6 G  55   1614    1591.77      8.422		1.0 | 0.0378725439657307

 R   6 G  56   1610    1591.57       7.85		1.0 | 0.0378725439657307

 R   6 G  57   1608    1591.46     12.197		1.0 | 0.0378725439657307

 R   6 G  58   1612    1591.43      8.217		1.0 | 0.0378725439657307

 R   6 G  59   1614     1591.6      7.638		1.0 | 0.0378725439657307

 R   6 G  60   1616    1591.02     13.254		1.0 | 0.0378725439657307

 R   6 G  61   1616    1590.14     15.335		1.0 | 0.0378725439657307

 R   6 G  62   1614    1591.54      8.815		1.0 | 0.0378725439657307

 R   6 G  63   1618    1590.13        9.1		1.0 | 0.0378725439657307

 R   6 G  64   1612     1590.8     10.298		1.0 | 0.0378725439657307

 R   6 G  65   1614    1590.65      8.913		1.0 | 0.0378725439657307

 R   6 G  66   1616    1591.29      9.613		1.0 | 0.0378725439657307

 R   6 G  67   1612    1592.22     11.256		1.0 | 0.027872543965730696

 R   6 G  68   1616    1591.72      8.996		1.0 | 0.027872543965730696

 R   6 G  69   1616    1590.35     11.277		1.0 | 0.0378725439657307

 R   6 G  70   1614    1591.27     13.464		1.0 | 0.0378725439657307

 R   6 G  71   1614    1589.44     12.719		1.0 | 0.0378725439657307

 R   6 G  72   1616     1592.3      8.463		1.0 | 0.027872543965730696

 R   6 G  73   1618     1591.8      9.009		1.0 | 0.027872543965730696

 R   6 G  74   1618    1592.43      8.351		1.0 | 0.0378725439657307

 R   6 G  75   1614    1592.13      8.519		1.0 | 0.0378725439657307

 R   6 G  76   1614    1592.93      9.686		1.0 | 0.0378725439657307

 R   6 G  77   1612    1592.44      8.292		1.0 | 0.027872543965730696

 R   6 G  78   1618    1592.34       8.57		1.0 | 0.0378725439657307

 R   6 G  79   1614    1592.06      9.406		1.0 | 0.027872543965730696

 R   6 G  80   1614    1591.52      8.802		1.0 | 0.0378725439657307

 R   6 G  81   1616    1593.07      8.087		1.0 | 0.017872543965730694

 R   6 G  82   1620    1593.04      8.551		1.0 | 0.007872543965730694

 R   6 G  83   1618    1593.83      8.122		1.0 | 0.017872543965730694

 R   6 G  84   1612    1593.23      8.894		1.0 | 0.017872543965730694

 R   6 G  85   1614    1591.86     10.002		1.0 | 0.017872543965730694

 R   6 G  86   1612    1592.91      8.114		1.0 | 0.027872543965730696

 R   6 G  87   1618     1592.7      8.191		1.0 | 0.0378725439657307

 R   6 G  88   1618    1591.22     13.972		1.0 | 0.017872543965730694

 R   6 G  89   1616    1593.54      7.161		1.0 | 0.017872543965730694

 R   6 G  90   1614    1594.05      8.086		1.0 | 0.017872543965730694

 R   6 G  91   1622    1593.37      8.293		1.0 | 0.017872543965730694

 R   6 G  92   1616    1593.71      8.708		1.0 | 0.027872543965730696

 R   6 G  93   1616     1591.6      8.053		1.0 | 0.017872543965730694

 R   6 G  94   1610    1592.16      8.613		1.0 | 0.017872543965730694

 R   6 G  95   1618    1594.19      9.444		1.0 | 0.017872543965730694

 R   6 G  96   1616     1594.2      8.107		1.0 | 0.017872543965730694

 R   6 G  97   1616    1595.01      7.871		1.0 | 0.017872543965730694

 R   6 G  98   1612    1594.55      8.264		1.0 | 0.017872543965730694

 R   6 G  99   1612    1593.73     11.258		1.0 | 0.017872543965730694

 R   6 G 100   1612    1594.78      7.783		1.0 | 0.017872543965730694

 R   6 G 101   1614    1594.93      7.635		1.0 | 0.017872543965730694

 R   6 G 102   1612    1593.97      9.476		1.0 | 0.017872543965730694

 R   6 G 103   1618    1593.86      7.864		1.0 | 0.017872543965730694

 R   6 G 104   1616    1594.42      8.131		1.0 | 0.017872543965730694

 R   6 G 105   1620    1594.67      8.488		1.0 | 0.017872543965730694

 R   6 G 106   1616    1595.35      8.267		1.0 | 0.017872543965730694

 R   6 G 107   1614    1593.31      9.632		1.0 | 0.017872543965730694

 R   6 G 108   1620    1593.86       9.33		1.0 | 0.017872543965730694

 R   6 G 109   1616    1593.47     15.645		1.0 | 0.017872543965730694

 R   6 G 110   1614    1593.56     12.499		1.0 | 0.017872543965730694

 R   6 G 111   1616    1593.67      9.378		1.0 | 0.017872543965730694

 R   6 G 112   1618     1594.3     10.205		1.0 | 0.017872543965730694

 R   6 G 113   1614    1594.41      7.609		1.0 | 0.017872543965730694

 R   6 G 114   1620    1593.22     10.626		1.0 | 0.017872543965730694

 R   6 G 115   1616    1594.51      7.566		1.0 | 0.017872543965730694

 R   6 G 116   1616    1593.01     12.208		1.0 | 0.017872543965730694

 R   6 G 117   1614    1594.25      8.213		1.0 | 0.017872543965730694

 R   6 G 118   1612    1594.31      7.367		1.0 | 0.017872543965730694

 R   6 G 119   1612    1593.94      8.169		1.0 | 0.017872543965730694

 R   6 G 120   1614    1592.84     13.161		1.0 | 0.017872543965730694

 R   6 G 121   1616    1593.91       7.94		1.0 | 0.017872543965730694

 R   6 G 122   1612    1594.32      7.384		1.0 | 0.017872543965730694

 R   6 G 123   1610    1592.02     13.754		1.0 | 0.017872543965730694

 R   6 G 124   1616    1593.86      8.494		1.0 | 0.017872543965730694

 R   6 G 125   1612    1593.24      7.211		1.0 | 0.017872543965730694

 R   6 G 126   1616    1594.61     10.909		1.0 | 0.017872543965730694

 R   6 G 127   1616     1593.9      8.691		1.0 | 0.017872543965730694

 R   6 G 128   1614    1594.06      8.313		1.0 | 0.017872543965730694

 R   6 G 129   1618    1593.75      9.647		1.0 | 0.017872543965730694

 R   6 G 130   1612    1594.83      8.081		1.0 | 0.017872543965730694

 R   6 G 131   1614    1593.64      9.615		1.0 | 0.017872543965730694

 R   6 G 132   1622    1592.73     12.582		1.0 | 0.027872543965730696

 R   6 G 133   1614    1594.17      7.254		1.0 | 0.017872543965730694

 R   6 G 134   1612    1594.02      9.424		1.0 | 0.017872543965730694

 R   6 G 135   1610    1593.78      6.887		1.0 | 0.017872543965730694

 R   6 G 136   1616     1593.8     11.542		1.0 | 0.017872543965730694

 R   6 G 137   1616    1593.74      8.486		1.0 | 0.017872543965730694

 R   6 G 138   1616    1593.68      9.782		1.0 | 0.017872543965730694

 R   6 G 139   1612    1593.94      7.794		1.0 | 0.007872543965730694

 R   6 G 140   1612    1593.85      7.614		1.0 | 0.017872543965730694

 R   6 G 141   1614    1594.51     12.023		1.0 | 0.017872543965730694

 R   6 G 142   1620    1593.36     15.033		1.0 | 0.017872543965730694

 R   6 G 143   1616    1593.47      9.671		1.0 | 0.017872543965730694

 R   6 G 144   1618    1593.41     13.066		1.0 | 0.017872543965730694

 R   6 G 145   1616    1594.64      7.676		1.0 | 0.017872543965730694

 R   6 G 146   1618    1594.17      8.252		1.0 | 0.017872543965730694

 R   6 G 147   1618    1592.99      8.808		1.0 | 0.027872543965730696

 R   6 G 148   1616    1593.29      8.575		1.0 | 0.017872543965730694

 R   6 G 149   1618    1594.63      7.053		1.0 | 0.017872543965730694

 R   6 G 150   1616    1593.44      7.696		1.0 | 0.017872543965730694

 R   6 G 151   1614    1594.38      7.864		1.0 | 0.017872543965730694

 R   6 G 152   1612    1594.25      8.112		1.0 | 0.017872543965730694

 R   6 G 153   1614    1594.01      7.183		1.0 | 0.017872543965730694

 R   6 G 154   1614    1593.76      7.839		1.0 | 0.017872543965730694

 R   6 G 155   1614    1594.75      8.408		1.0 | 0.017872543965730694

 R   6 G 156   1614    1593.69      9.032		0.99 | 0.017872543965730694

 R   6 G 157   1612    1593.96      7.942		1.0 | 0.017872543965730694

 R   6 G 158   1616    1593.73      8.139		1.0 | 0.017872543965730694

 R   6 G 159   1616    1593.62      7.769		1.0 | 0.017872543965730694

 R   6 G 160   1618    1594.12     12.546		1.0 | 0.027872543965730696

 R   6 G 161   1612    1594.09      8.981		1.0 | 0.017872543965730694

 R   6 G 162   1616    1593.55     10.871		1.0 | 0.017872543965730694

 R   6 G 163   1612     1594.1      8.463		1.0 | 0.027872543965730696

 R   6 G 164   1614    1594.58        7.9		1.0 | 0.017872543965730694

 R   6 G 165   1620    1594.15      7.757		1.0 | 0.027872543965730696

 R   6 G 166   1616    1592.91     16.795		1.0 | 0.017872543965730694

 R   6 G 167   1614    1592.79      9.661		1.0 | 0.017872543965730694

 R   6 G 168   1612    1594.96      7.529		1.0 | 0.017872543965730694

 R   6 G 169   1616    1594.52      9.443		1.0 | 0.017872543965730694

 R   6 G 170   1620    1594.65      8.769		1.0 | 0.017872543965730694

 R   6 G 171   1614    1595.23      7.209		1.0 | 0.017872543965730694

 R   6 G 172   1618    1592.91     10.011		1.0 | 0.017872543965730694

 R   6 G 173   1616    1594.43      8.619		1.0 | 0.017872543965730694

 R   6 G 174   1612    1593.95      7.538		1.0 | 0.017872543965730694

 R   6 G 175   1614    1594.07     13.024		1.0 | 0.017872543965730694

 R   6 G 176   1612    1593.13      7.428		1.0 | 0.017872543965730694

 R   6 G 177   1614    1594.56      7.851		1.0 | 0.017872543965730694

 R   6 G 178   1618    1593.57     10.202		1.0 | 0.017872543965730694

 R   6 G 179   1614    1593.67     10.675		1.0 | 0.017872543965730694

 R   6 G 180   1614    1593.25      8.974		1.0 | 0.017872543965730694

 R   6 G 181   1620     1594.5      8.399		1.0 | 0.017872543965730694

 R   6 G 182   1616    1594.53      7.626		1.0 | 0.017872543965730694

 R   6 G 183   1616    1594.92      7.786		1.0 | 0.017872543965730694

 R   6 G 184   1612    1595.69      7.467		1.0 | 0.017872543965730694

 R   6 G 185   1616    1593.62     10.911		1.0 | 0.017872543965730694

 R   6 G 186   1612     1593.5      9.011		1.0 | 0.017872543965730694

 R   6 G 187   1612    1594.79      7.243		1.0 | 0.017872543965730694

 R   6 G 188   1618    1595.15      7.363		1.0 | 0.017872543965730694

 R   6 G 189   1616    1594.83      8.023		1.0 | 0.017872543965730694

 R   6 G 190   1612    1594.53       7.62		1.0 | 0.017872543965730694

 R   6 G 191   1612    1594.32      7.915		1.0 | 0.017872543965730694

 R   6 G 192   1614    1593.41     11.145		1.0 | 0.017872543965730694

 R   6 G 193   1614    1593.44      9.876		1.0 | 0.017872543965730694

 R   6 G 194   1612    1594.42      7.379		1.0 | 0.007872543965730694

 R   6 G 195   1616    1593.12      9.885		1.0 | 0.017872543965730694

 R   6 G 196   1616    1593.71     13.721		1.0 | 0.007872543965730694

 R   6 G 197   1614    1593.97     10.863		1.0 | 0.017872543965730694

 R   6 G 198   1616     1593.3     13.463		1.0 | 0.007872543965730694

 R   6 G 199   1616    1595.32      8.386		1.0 | 0.017872543965730694

6     13        1.0########### RawFitness
           0          0         1622

 R   7 G   0   1562    1351.41     52.899		0.9885503223792844 | 0.4385000276914329

 R   7 G   1   1556    1366.03     48.248		0.9780151738795424 | 0.431434565838676

 R   7 G   2   1558    1390.21     50.384		0.9780151738795424 | 0.431434565838676

 R   7 G   3   1554     1393.4     56.081		0.9780151738795424 | 0.431434565838676

 R   7 G   4   1558    1408.62     52.449		0.9780151738795424 | 0.431434565838676

 R   7 G   5   1586     1436.2     52.569		0.9776534345471639 | 0.0411742286542921

 R   7 G   6   1560    1444.92     45.539		0.9780151738795424 | 0.431434565838676

 R   7 G   7   1580     1450.4     49.515		0.9776534345471639 | 0.0411742286542921

 R   7 G   8   1612    1460.36     52.446		0.9776534345471639 | 0.0411742286542921

 R   7 G   9   1586    1469.38     52.867		0.9776534345471639 | 0.0411742286542921

 R   7 G  10   1596    1477.07     56.286		0.9776534345471639 | 0.0411742286542921

 R   7 G  11   1592    1487.47     53.578		0.9776534345471639 | 0.0411742286542921

 R   7 G  12   1612    1491.63      51.62		0.9776534345471639 | 0.0411742286542921

 R   7 G  13   1610    1499.34      54.65		0.9776534345471639 | 0.0411742286542921

 R   7 G  14   1606    1501.09     52.398		0.9776534345471639 | 0.0411742286542921

 R   7 G  15   1612    1513.09     46.661		0.9776534345471639 | 0.0411742286542921

 R   7 G  16   1602    1516.42     51.041		0.9776534345471639 | 0.0411742286542921

 R   7 G  17   1602    1512.95     51.566		0.9776534345471639 | 0.031174228654292098

 R   7 G  18   1602    1506.21     50.672		0.9776534345471639 | 0.0411742286542921

 R   7 G  19   1616    1510.04     51.056		0.9776534345471639 | 0.0411742286542921

 R   7 G  20   1610    1509.77     47.795		0.9876534345471639 | 0.0411742286542921

 R   7 G  21   1606    1514.89     49.389		0.9876534345471639 | 0.0411742286542921

 R   7 G  22   1612    1512.99     50.998		0.9776534345471639 | 0.0411742286542921

 R   7 G  23   1612    1520.49     49.698		0.9876534345471639 | 0.0411742286542921

 R   7 G  24   1606    1523.26     50.203		0.9776534345471639 | 0.0411742286542921

 R   7 G  25   1608    1525.64     47.794		0.9776534345471639 | 0.0411742286542921

 R   7 G  26   1612    1539.92     47.947		0.9776534345471639 | 0.0411742286542921

 R   7 G  27   1620    1545.76     46.559		0.9876534345471639 | 0.0411742286542921

 R   7 G  28   1610    1552.25     47.373		0.9976534345471639 | 0.0411742286542921

 R   7 G  29   1610    1560.58     44.743		0.9976534345471639 | 0.0411742286542921

 R   7 G  30   1616    1568.64     38.462		0.9976534345471639 | 0.0411742286542921

 R   7 G  31   1614    1575.18     30.883		0.9876534345471639 | 0.0411742286542921

 R   7 G  32   1612    1577.75     27.351		0.9976534345471639 | 0.0411742286542921

 R   7 G  33   1616    1577.09     26.311		0.9976534345471639 | 0.0411742286542921

 R   7 G  34   1610    1577.79     27.264		0.9976534345471639 | 0.0411742286542921

 R   7 G  35   1614     1581.2     20.489		0.9976534345471639 | 0.0411742286542921

 R   7 G  36   1616    1578.31     26.385		0.9976534345471639 | 0.0411742286542921

 R   7 G  37   1614    1581.15     25.507		0.9976534345471639 | 0.0411742286542921

 R   7 G  38   1610     1578.7     26.249		0.9976534345471639 | 0.0411742286542921

 R   7 G  39   1614    1580.08     25.442		0.9976534345471639 | 0.0411742286542921

 R   7 G  40   1612    1580.77     20.466		0.9976534345471639 | 0.0411742286542921

 R   7 G  41   1612    1581.32     23.526		0.9976534345471639 | 0.0411742286542921

 R   7 G  42   1612    1583.08     22.967		0.9976534345471639 | 0.0411742286542921

 R   7 G  43   1610    1580.16     23.144		0.9976534345471639 | 0.0411742286542921

 R   7 G  44   1618    1580.85     20.288		0.9976534345471639 | 0.0411742286542921

 R   7 G  45   1610    1581.68     24.766		1.0 | 0.0511742286542921

 R   7 G  46   1614    1580.73      23.08		0.9976534345471639 | 0.0411742286542921

 R   7 G  47   1622    1579.56     26.673		0.9976534345471639 | 0.0411742286542921

 R   7 G  48   1612    1578.49     26.246		0.9976534345471639 | 0.0411742286542921

 R   7 G  49   1622    1580.11     26.844		0.9976534345471639 | 0.0411742286542921

 R   7 G  50   1610    1580.27     25.276		0.9976534345471639 | 0.0411742286542921

 R   7 G  51   1612    1582.29     21.271		0.9976534345471639 | 0.0411742286542921

 R   7 G  52   1614    1582.16     20.892		0.9976534345471639 | 0.0411742286542921

 R   7 G  53   1614    1582.96     22.876		0.9976534345471639 | 0.0411742286542921

 R   7 G  54   1618    1582.14     23.493		0.9976534345471639 | 0.0411742286542921

 R   7 G  55   1614    1584.14     17.013		0.9976534345471639 | 0.0411742286542921

 R   7 G  56   1610    1581.16      22.28		0.9976534345471639 | 0.031174228654292098

 R   7 G  57   1616    1584.24     17.804		0.9976534345471639 | 0.031174228654292098

 R   7 G  58   1610    1584.65     18.841		0.9976534345471639 | 0.0511742286542921

 R   7 G  59   1612    1579.19     27.091		1.0 | 0.0511742286542921

 R   7 G  60   1614    1583.34     19.519		0.9976534345471639 | 0.0411742286542921

 R   7 G  61   1612    1578.97     28.216		0.9976534345471639 | 0.0411742286542921

 R   7 G  62   1614     1582.5     24.858		0.9976534345471639 | 0.0411742286542921

 R   7 G  63   1612    1585.24     18.076		0.9976534345471639 | 0.0411742286542921

 R   7 G  64   1612    1582.43     23.747		0.9976534345471639 | 0.031174228654292098

 R   7 G  65   1616    1583.66     22.314		0.9976534345471639 | 0.031174228654292098

 R   7 G  66   1612    1581.87     22.984		0.9976534345471639 | 0.031174228654292098

 R   7 G  67   1616    1581.87     25.411		0.9976534345471639 | 0.031174228654292098

 R   7 G  68   1614    1581.08     23.047		0.9976534345471639 | 0.031174228654292098

 R   7 G  69   1612    1580.85     23.168		0.9976534345471639 | 0.0411742286542921

 R   7 G  70   1616    1580.25      25.27		0.9976534345471639 | 0.031174228654292098

 R   7 G  71   1612    1582.42     22.489		0.9976534345471639 | 0.031174228654292098

 R   7 G  72   1624     1582.8     21.509		0.9976534345471639 | 0.021174228654292096

 R   7 G  73   1614    1581.57     24.371		0.9976534345471639 | 0.0411742286542921

 R   7 G  74   1610    1577.96     25.658		0.9976534345471639 | 0.031174228654292098

