Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  200
Population Size              :  200
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0   1496    1359.42      51.39		0.8706525965322613 | 0.13296164268902222
 R   1 G  78   1612    1595.44      7.601		1.0 | 0.005021571819097126

 R   1 G  79   1618    1596.66      7.633		1.0 | 0.0

 R   1 G  80   1614    1595.56     11.358		1.0 | 0.0

 R   1 G  81   1618    1595.45     13.289		1.0 | 0.0

 R   1 G  82   1614    1595.63      7.714		1.0 | 0.0

 R   1 G  83   1616    1596.53     10.112		1.0 | 0.0

 R   1 G  84   1616    1595.62      8.051		1.0 | 0.005021571819097126

 R   1 G  85   1618    1596.78      8.695		1.0 | 0.005021571819097126

 R   1 G  86   1614     1595.7      8.787		1.0 | 0.0

 R   1 G  87   1618    1595.74     11.463		1.0 | 0.0

 R   1 G  88   1622    1596.85      7.522		1.0 | 0.005021571819097126

 R   1 G  89   1616    1597.07      6.637		1.0 | 0.0

 R   1 G  90   1620    1597.18      7.084		1.0 | 0.005021571819097126

 R   1 G  91   1614    1596.92      6.872		1.0 | 0.005021571819097126

 R   1 G  92   1612    1595.89      7.318		1.0 | 0.0

 R   1 G  93   1622    1596.63      7.479		1.0 | 0.0

 R   1 G  94   1616    1596.35      7.244		1.0 | 0.005021571819097126

 R   1 G  95   1616    1596.34      7.432		1.0 | 0.0

 R   1 G  96   1614    1596.85       9.27		1.0 | 0.0

 R   1 G  97   1612    1595.89      7.532		1.0 | 0.0

 R   1 G  98   1616     1596.5      8.449		1.0 | 0.0

 R   1 G  99   1616    1595.74     11.503		1.0 | 0.0

 R   1 G 100   1618    1596.58      7.976		1.0 | 0.0

 R   1 G 101   1618    1596.14      9.654		1.0 | 0.0

 R   1 G 102   1614    1595.99     13.781		1.0 | 0.0

 R   1 G 103   1616    1596.86      7.093		1.0 | 0.005021571819097126

 R   1 G 104   1616    1597.19      8.424		1.0 | 0.0

 R   1 G 105   1614    1596.84      7.286		1.0 | 0.005021571819097126

 R   1 G 106   1618    1597.34       7.29		1.0 | 0.0

 R   1 G 107   1618    1595.47     14.014		0.99 | 0.0

 R   1 G 108   1618     1596.6      9.761		0.99 | 0.0

 R   1 G 109   1620    1594.81     19.256		1.0 | 0.0

 R   1 G 110   1616    1597.06      7.891		1.0 | 0.0

 R   1 G 111   1620    1596.94      7.326		1.0 | 0.0

 R   1 G 112   1614    1595.66      10.68		1.0 | 0.0

 R   1 G 113   1612     1596.7      7.544		1.0 | 0.0

 R   1 G 114   1618    1595.12     15.718		1.0 | 0.0

 R   1 G 115   1612    1597.24      7.573		1.0 | 0.0

 R   1 G 116   1622    1596.65      7.539		1.0 | 0.0

 R   1 G 117   1614    1596.87      7.813		1.0 | 0.005021571819097126

 R   1 G 118   1618    1596.64      9.006		1.0 | 0.005021571819097126

 R   1 G 119   1616    1596.01      7.152		1.0 | 0.005021571819097126

 R   1 G 120   1614    1596.52     13.182		1.0 | 0.0

 R   1 G 121   1616    1596.16      7.319		1.0 | 0.005021571819097126

 R   1 G 122   1612    1596.37      7.513		1.0 | 0.0

 R   1 G 123   1616    1595.28     13.743		1.0 | 0.0

 R   1 G 124   1618    1596.01       8.36		1.0 | 0.0

 R   1 G 125   1618     1596.3     11.493		1.0 | 0.01

 R   1 G 126   1612    1596.64      7.467		1.0 | 0.0

 R   1 G 127   1612    1596.04      7.089		1.0 | 0.0

 R   1 G 128   1614    1596.12      7.167		1.0 | 0.0

 R   1 G 129   1620    1597.14      9.062		1.0 | 0.0

 R   1 G 130   1614    1596.82      9.583		1.0 | 0.0

 R   1 G 131   1610    1594.74     14.031		1.0 | 0.0

 R   1 G 132   1616    1597.33      6.821		1.0 | 0.0

 R   1 G 133   1618    1596.71      9.355		1.0 | 0.0

 R   1 G 134   1616    1596.81      7.735		1.0 | 0.0

 R   1 G 135   1618    1596.52      8.123		1.0 | 0.0

 R   1 G 136   1614    1596.15       8.89		1.0 | 0.0

 R   1 G 137   1614    1595.85      7.304		1.0 | 0.0

 R   1 G 138   1614     1598.4      6.992		1.0 | 0.0

 R   1 G 139   1618    1595.95     12.564		1.0 | 0.0

 R   1 G 140   1616    1595.86     12.263		1.0 | 0.0

 R   1 G 141   1618    1593.09     16.349		1.0 | 0.0

 R   1 G 142   1620    1594.27     16.955		1.0 | 0.0

 R   1 G 143   1614    1593.75     20.991		1.0 | 0.0

 R   1 G 144   1618    1594.66     21.412		1.0 | 0.0

 R   1 G 145   1614    1594.88      13.79		1.0 | 0.0

 R   1 G 146   1616     1595.6     13.696		1.0 | 0.0

 R   1 G 147   1616    1596.06      9.199		1.0 | 0.0

 R   1 G 148   1616    1594.92     13.668		1.0 | 0.0

 R   1 G 149   1614    1595.87      8.371		1.0 | 0.0

 R   1 G 150   1612    1595.67     10.666		1.0 | 0.0

 R   1 G 151   1612    1595.03     15.658		1.0 | 0.0

 R   1 G 152   1614    1596.75      8.736		1.0 | 0.0

 R   1 G 153   1618    1597.18      6.926		1.0 | 0.0

 R   1 G 154   1616    1596.57      9.669		1.0 | 0.0

 R   1 G 155   1616    1596.96      6.873		1.0 | 0.0

 R   1 G 156   1614    1595.98      8.221		1.0 | 0.0

 R   1 G 157   1616    1596.62      7.895		1.0 | 0.0

 R   1 G 158   1618    1596.25      9.227		1.0 | 0.0

 R   1 G 159   1618    1595.77     10.589		1.0 | 0.0

 R   1 G 160   1612    1595.43     12.499		1.0 | 0.0

 R   1 G 161   1618    1596.22      6.512		1.0 | 0.0

 R   1 G 162   1620    1596.38      8.086		1.0 | 0.0

 R   1 G 163   1612    1595.56      8.655		1.0 | 0.0

 R   1 G 164   1618    1597.02      7.268		1.0 | 0.0

 R   1 G 165   1614    1597.09      6.465		1.0 | 0.0

 R   1 G 166   1620    1595.79      8.814		1.0 | 0.0

 R   1 G 167   1620     1595.8      9.023		1.0 | 0.0

 R   1 G 168   1616    1595.59     12.076		1.0 | 0.0

 R   1 G 169   1616    1596.87      7.056		1.0 | 0.0

 R   1 G 170   1618    1596.89      6.895		1.0 | 0.0

 R   1 G 171   1614    1596.99      7.293		1.0 | 0.0

 R   1 G 172   1616    1596.45      7.082		1.0 | 0.0

 R   1 G 173   1614    1596.17      7.289		1.0 | 0.0

 R   1 G 174   1616    1596.93     11.855		1.0 | 0.0

 R   1 G 175   1616    1595.75     11.176		1.0 | 0.0

 R   1 G 176   1616     1595.8      8.481		1.0 | 0.0

 R   1 G 177   1618    1596.27      7.586		1.0 | 0.0

 R   1 G 178   1612    1595.95      7.099		1.0 | 0.0

 R   1 G 179   1622    1596.26      7.805		1.0 | 0.0

 R   1 G 180   1618     1596.5      7.992		1.0 | 0.0

 R   1 G 181   1616    1595.68     14.966		1.0 | 0.0

 R   1 G 182   1618    1595.21      13.59		1.0 | 0.0

 R   1 G 183   1618    1593.98     15.637		1.0 | 0.0

 R   1 G 184   1618    1595.84     10.766		1.0 | 0.0

 R   1 G 185   1616    1594.52     16.844		1.0 | 0.0

 R   1 G 186   1614     1596.4       8.13		1.0 | 0.0

 R   1 G 187   1616    1597.82      7.075		1.0 | 0.0

 R   1 G 188   1616     1597.0      6.629		1.0 | 0.0

 R   1 G 189   1618    1596.87       6.88		1.0 | 0.0

 R   1 G 190   1614    1597.15      7.441		1.0 | 0.0

 R   1 G 191   1618    1595.74     10.547		1.0 | 0.0

 R   1 G 192   1616    1597.31      7.127		1.0 | 0.0

 R   1 G 193   1618     1596.7      7.284		1.0 | 0.0

 R   1 G 194   1616    1596.13     14.712		1.0 | 0.0

 R   1 G 195   1620    1596.37     11.015		1.0 | 0.0

 R   1 G 196   1624    1597.43      7.696		1.0 | 0.0

 R   1 G 197   1616    1596.62      7.522		1.0 | 0.0

 R   1 G 198   1616    1596.26      9.246		1.0 | 0.0

 R   1 G 199   1618    1597.04      9.504		1.0 | 0.0

1     34        1.0        0.0 RawFitness
           0          0         1624

 R   2 G   0   1576    1364.65     57.764		0.9828381795261403 | 0.0916301765842189

 R   2 G   1   1584    1375.52     55.946		0.9928381795261403 | 0.0916301765842189

 R   2 G   2   1588    1393.44      60.71		0.9928381795261403 | 0.0916301765842189

 R   2 G   3   1596    1425.49     76.388		0.9928381795261403 | 0.0916301765842189

 R   2 G   4   1610    1482.63     84.838		0.9928381795261403 | 0.0916301765842189

 R   2 G   5   1608    1527.03     69.031		0.9928381795261403 | 0.0916301765842189

 R   2 G   6   1606    1544.96     54.189		1.0 | 0.0916301765842189

 R   2 G   7   1604    1553.17     39.444		0.9928381795261403 | 0.0916301765842189

 R   2 G   8   1602    1560.21      33.88		0.9928381795261403 | 0.0916301765842189

 R   2 G   9   1608    1560.38      35.36		0.9928381795261403 | 0.0916301765842189

 R   2 G  10   1612    1561.88     34.819		0.9928381795261403 | 0.0916301765842189

 R   2 G  11   1608     1567.9     28.389		1.0 | 0.0916301765842189

 R   2 G  12   1608    1573.14     28.709		1.0 | 0.0916301765842189

 R   2 G  13   1614    1577.92      19.86		0.9928381795261403 | 0.08163017658421891

 R   2 G  14   1602    1577.87     21.361		1.0 | 0.0916301765842189

 R   2 G  15   1610    1580.36     17.231		1.0 | 0.0916301765842189

 R   2 G  16   1606    1582.04     10.127		1.0 | 0.0916301765842189

 R   2 G  17   1614    1582.36      9.816		1.0 | 0.0916301765842189

 R   2 G  18   1616    1582.59     12.291		1.0 | 0.0916301765842189

 R   2 G  19   1606    1583.82      8.765		1.0 | 0.0916301765842189

 R   2 G  20   1608    1583.65     10.502		1.0 | 0.0916301765842189

 R   2 G  21   1610    1581.12     13.572		1.0 | 0.0916301765842189

 R   2 G  22   1604    1583.16      9.788		1.0 | 0.0916301765842189

 R   2 G  23   1608    1584.04     10.045		1.0 | 0.0916301765842189

 R   2 G  24   1602    1583.23     10.402		1.0 | 0.0916301765842189

 R   2 G  25   1612    1583.61      9.119		1.0 | 0.0916301765842189

 R   2 G  26   1610    1584.34      8.888		1.0 | 0.0916301765842189

 R   2 G  27   1608    1584.01      9.917		1.0 | 0.0916301765842189

 R   2 G  28   1612     1583.6     11.017		1.0 | 0.0916301765842189

 R   2 G  29   1606    1583.62      9.349		1.0 | 0.0916301765842189

 R   2 G  30   1608     1582.8      9.366		1.0 | 0.0916301765842189

 R   2 G  31   1610    1583.69      9.991		1.0 | 0.0916301765842189

 R   2 G  32   1606    1581.78     15.981		1.0 | 0.08163017658421891

 R   2 G  33   1614    1582.96     12.884		1.0 | 0.0916301765842189

 R   2 G  34   1606    1582.71     12.588		1.0 | 0.0916301765842189

 R   2 G  35   1604    1582.65     11.022		1.0 | 0.0916301765842189

 R   2 G  36   1604    1582.28     13.071		1.0 | 0.0916301765842189

 R   2 G  37   1614    1584.36     10.215		1.0 | 0.0916301765842189

 R   2 G  38   1606    1582.86      9.454		1.0 | 0.0916301765842189

 R   2 G  39   1610    1584.13      9.882		1.0 | 0.0916301765842189

 R   2 G  40   1606    1583.19     11.497		1.0 | 0.0916301765842189

 R   2 G  41   1610     1581.9     10.055		1.0 | 0.0916301765842189

 R   2 G  42   1608    1582.23     17.348		1.0 | 0.0916301765842189

 R   2 G  43   1616    1580.57     16.992		1.0 | 0.0916301765842189

 R   2 G  44   1610    1584.66      9.193		1.0 | 0.0916301765842189

 R   2 G  45   1610    1582.63     11.616		1.0 | 0.0916301765842189

 R   2 G  46   1612    1583.11     12.179		1.0 | 0.0916301765842189

 R   2 G  47   1608    1584.16      9.774		1.0 | 0.0916301765842189

 R   2 G  48   1612    1582.46      9.617		1.0 | 0.0916301765842189

 R   2 G  49   1612    1583.47      9.552		1.0 | 0.0916301765842189

 R   2 G  50   1612    1583.54      9.225		1.0 | 0.0916301765842189

 R   2 G  51   1610    1581.46     12.356		1.0 | 0.0916301765842189

 R   2 G  52   1610    1583.83      8.712		1.0 | 0.0916301765842189

 R   2 G  53   1608    1584.52      8.469		1.0 | 0.0916301765842189

 R   2 G  54   1606    1582.73      9.606		1.0 | 0.0916301765842189

 R   2 G  55   1608    1582.76     10.416		1.0 | 0.0916301765842189

 R   2 G  56   1610    1583.08     11.391		1.0 | 0.0916301765842189

 R   2 G  57   1610    1582.32      9.516		1.0 | 0.0916301765842189

 R   2 G  58   1610    1584.25      9.269		1.0 | 0.0916301765842189

 R   2 G  59   1606    1584.13     12.889		1.0 | 0.0916301765842189

 R   2 G  60   1614    1583.01     10.932		1.0 | 0.0916301765842189

 R   2 G  61   1606     1583.4     13.781		1.0 | 0.0916301765842189

 R   2 G  62   1616    1584.06      9.366		1.0 | 0.0916301765842189

 R   2 G  63   1610    1583.83      9.434		1.0 | 0.0916301765842189

 R   2 G  64   1604    1584.44      9.191		1.0 | 0.0916301765842189

 R   2 G  65   1612    1584.22     11.624		1.0 | 0.0916301765842189

 R   2 G  66   1606    1584.19      8.961		1.0 | 0.0916301765842189

 R   2 G  67   1610    1583.84      9.211		1.0 | 0.0916301765842189

 R   2 G  68   1608    1584.59      8.984		1.0 | 0.08163017658421891

 R   2 G  69   1606    1583.14      9.048		1.0 | 0.0916301765842189

 R   2 G  70   1612    1584.16      9.358		1.0 | 0.08163017658421891

 R   2 G  71   1604    1583.55     12.106		1.0 | 0.0916301765842189

 R   2 G  72   1606     1584.6      8.516		1.0 | 0.0916301765842189

 R   2 G  73   1606    1584.67      9.595		1.0 | 0.0916301765842189

 R   2 G  74   1610    1584.64      9.619		1.0 | 0.0916301765842189

 R   2 G  75   1608    1583.97       9.07		1.0 | 0.0916301765842189

 R   2 G  76   1604     1583.6      9.794		1.0 | 0.08163017658421891

 R   2 G  77   1610    1584.81      8.827		1.0 | 0.0916301765842189

 R   2 G  78   1608    1582.52     10.436		1.0 | 0.08163017658421891

 R   2 G  79   1610    1584.64     10.089		1.0 | 0.08163017658421891

 R   2 G  80   1614    1583.75      9.107		1.0 | 0.0916301765842189

 R   2 G  81   1604    1583.66       9.46		1.0 | 0.0916301765842189

 R   2 G  82   1614    1583.47     12.365		1.0 | 0.0916301765842189

 R   2 G  83   1610    1584.53     10.014		1.0 | 0.08163017658421891

 R   2 G  84   1612    1584.61       9.31		1.0 | 0.08163017658421891

 R   2 G  85   1614    1584.41      9.739		1.0 | 0.08163017658421891

 R   2 G  86   1614    1585.83       8.56		1.0 | 0.08163017658421891

 R   2 G  87   1610     1583.7      9.209		1.0 | 0.08163017658421891

 R   2 G  88   1604    1584.37      9.111		1.0 | 0.08163017658421891

 R   2 G  89   1608    1584.59      9.451		1.0 | 0.08163017658421891

 R   2 G  90   1608    1583.67      9.502		1.0 | 0.08163017658421891

 R   2 G  91   1606    1586.52      8.729		1.0 | 0.08163017658421891

 R   2 G  92   1608    1585.31     11.123		1.0 | 0.0916301765842189

 R   2 G  93   1610    1584.73     12.646		1.0 | 0.08163017658421891

 R   2 G  94   1612    1584.66     11.198		1.0 | 0.08163017658421891

 R   2 G  95   1610    1585.05     10.011		1.0 | 0.08163017658421891

 R   2 G  96   1612    1584.41      8.898		1.0 | 0.08163017658421891

 R   2 G  97   1610    1584.39      8.962		1.0 | 0.08163017658421891

 R   2 G  98   1608    1585.02      9.705		1.0 | 0.08163017658421891

 R   2 G  99   1614    1585.23      9.615		1.0 | 0.08163017658421891

 R   2 G 100   1610    1584.97      9.468		1.0 | 0.08163017658421891

 R   2 G 101   1610    1583.89     10.252		1.0 | 0.08163017658421891

 R   2 G 102   1608    1585.27     10.328		1.0 | 0.08163017658421891

 R   2 G 103   1610    1584.95      9.102		1.0 | 0.08163017658421891

 R   2 G 104   1606    1584.83      8.893		1.0 | 0.08163017658421891

 R   2 G 105   1608     1585.0      8.478		1.0 | 0.08163017658421891

 R   2 G 106   1610    1585.85      9.146		1.0 | 0.08163017658421891

 R   2 G 107   1612    1584.72      9.697		1.0 | 0.08163017658421891

 R   2 G 108   1622    1585.48      9.882		1.0 | 0.08163017658421891

 R   2 G 109   1612    1582.29     14.381		1.0 | 0.08163017658421891

 R   2 G 110   1608    1585.99      8.853		1.0 | 0.08163017658421891

 R   2 G 111   1606    1584.57      9.176		1.0 | 0.08163017658421891

 R   2 G 112   1608    1584.79      9.843		1.0 | 0.08163017658421891

 R   2 G 113   1610     1585.1     12.263		1.0 | 0.08163017658421891

 R   2 G 114   1614     1584.6      12.56		1.0 | 0.08163017658421891

 R   2 G 115   1606    1584.84      8.952		1.0 | 0.08163017658421891

 R   2 G 116   1604    1584.71       9.24		1.0 | 0.08163017658421891

 R   2 G 117   1608    1584.44      8.825		1.0 | 0.08163017658421891

 R   2 G 118   1610    1585.27      9.204		1.0 | 0.08163017658421891

 R   2 G 119   1610    1585.72      10.74		1.0 | 0.08163017658421891

 R   2 G 120   1608    1585.18      9.186		1.0 | 0.08163017658421891

 R   2 G 121   1610    1585.38     13.657		1.0 | 0.08163017658421891

 R   2 G 122   1608     1585.0      9.038		1.0 | 0.08163017658421891

 R   2 G 123   1608    1586.25      9.205		1.0 | 0.08163017658421891

 R   2 G 124   1610     1584.6     10.327		1.0 | 0.08163017658421891

 R   2 G 125   1610    1586.23      8.938		1.0 | 0.08163017658421891

 R   2 G 126   1610    1585.58      8.193		1.0 | 0.08163017658421891

 R   2 G 127   1608    1585.67      9.044		1.0 | 0.06163017658421891

 R   2 G 128   1616    1585.06      8.861		1.0 | 0.06163017658421891

 R   2 G 129   1616    1585.73      9.246		1.0 | 0.08163017658421891

 R   2 G 130   1606    1585.49      9.321		1.0 | 0.06163017658421891

 R   2 G 131   1610    1586.18      9.486		1.0 | 0.08163017658421891

 R   2 G 132   1612    1586.18     15.105		1.0 | 0.06163017658421891

 R   2 G 133   1612    1587.06      9.323		1.0 | 0.06163017658421891

 R   2 G 134   1606    1586.59      9.374		1.0 | 0.06163017658421891

 R   2 G 135   1608    1585.39     11.544		1.0 | 0.06163017658421891

 R   2 G 136   1610     1586.4     12.606		1.0 | 0.06163017658421891

 R   2 G 137   1610     1586.7      8.842		1.0 | 0.07163017658421891

 R   2 G 138   1612    1588.15      8.847		1.0 | 0.06163017658421891

 R   2 G 139   1614    1586.95     10.522		1.0 | 0.06163017658421891

 R   2 G 140   1608    1586.82      8.829		1.0 | 0.06163017658421891

 R   2 G 141   1612    1586.72     10.117		1.0 | 0.06163017658421891

 R   2 G 142   1608    1587.02     10.493		1.0 | 0.06163017658421891

 R   2 G 143   1610    1588.24      8.803		1.0 | 0.06163017658421891

 R   2 G 144   1612    1586.57     12.074		1.0 | 0.08163017658421891

 R   2 G 145   1606    1588.67      8.103		1.0 | 0.06163017658421891

 R   2 G 146   1606    1588.53      8.379		1.0 | 0.06163017658421891

 R   2 G 147   1610     1588.6      8.763		1.0 | 0.06163017658421891

 R   2 G 148   1606    1587.96      12.29		1.0 | 0.05163017658421891

 R   2 G 149   1612    1585.91     13.494		1.0 | 0.06163017658421891

 R   2 G 150   1612    1588.35      8.764		1.0 | 0.06163017658421891

 R   2 G 151   1610    1588.65      8.973		1.0 | 0.06163017658421891

 R   2 G 152   1614    1589.03      8.591		1.0 | 0.06163017658421891

 R   2 G 153   1616    1589.25      8.988		1.0 | 0.05163017658421891

 R   2 G 154   1610    1589.41      8.015		1.0 | 0.05163017658421891

 R   2 G 155   1612    1588.86      8.734		1.0 | 0.06163017658421891

 R   2 G 156   1614    1588.82      9.509		1.0 | 0.06163017658421891

 R   2 G 157   1618    1588.58     14.279		1.0 | 0.05163017658421891

 R   2 G 158   1612    1590.22      8.315		1.0 | 0.05163017658421891

 R   2 G 159   1612     1588.0     12.433		1.0 | 0.05163017658421891

 R   2 G 160   1620    1588.56      11.55		1.0 | 0.05163017658421891

 R   2 G 161   1610    1589.46      9.071		1.0 | 0.05163017658421891

 R   2 G 162   1610    1588.78      8.688		1.0 | 0.05163017658421891

 R   2 G 163   1608    1588.36      8.607		1.0 | 0.06163017658421891

 R   2 G 164   1610    1588.18      9.213		1.0 | 0.06163017658421891

 R   2 G 165   1608    1589.68      8.321		1.0 | 0.05163017658421891

 R   2 G 166   1614    1589.78      8.317		1.0 | 0.05163017658421891

 R   2 G 167   1608    1589.21      9.924		1.0 | 0.05163017658421891

 R   2 G 168   1606    1589.56      8.657		1.0 | 0.05163017658421891

 R   2 G 169   1614    1589.32      9.119		1.0 | 0.05163017658421891

 R   2 G 170   1610    1588.61      9.034		1.0 | 0.05163017658421891

 R   2 G 171   1612    1589.28      8.822		1.0 | 0.05163017658421891

 R   2 G 172   1618    1589.35      8.976		1.0 | 0.05163017658421891

