Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  1000
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    152    119.456      8.013		0.34814231536637574 | 0.7826229507853923
 R   1 G  74    138    123.742      5.088		0.015179659645037646 | 0.013602569974838108

 R   1 G  75    142    123.692      4.834		0.2989266321033669 | 0.08309020917170618

 R   1 G  76    140    123.828      5.124		0.2989266321033669 | 0.08309020917170618

 R   1 G  77    142    123.606      5.065		0.3039478444431334 | 0.029208819079435955

 R   1 G  78    138     123.75      5.086		0.2939478444431334 | 0.029208819079435955

 R   1 G  79    140    124.072      5.099		0.015179659645037646 | 0.013602569974838108

 R   1 G  80    142    123.866      5.289		0.2989266321033669 | 0.08309020917170618

 R   1 G  81    140     123.91       5.02		0.2939478444431334 | 0.019208819079435953

 R   1 G  82    140     123.76      5.242		0.2939478444431334 | 0.019208819079435953

 R   1 G  83    142    123.692      5.558		0.3139478444431334 | 0.029208819079435955

 R   1 G  84    144    123.658      5.442		0.3039478444431334 | 0.029208819079435955

 R   1 G  85    142    123.602      5.313		0.3139478444431334 | 0.029208819079435955

 R   1 G  86    142    123.686      5.684		0.3039478444431334 | 0.029208819079435955

 R   1 G  87    142    123.412      5.521		0.3039478444431334 | 0.029208819079435955

 R   1 G  88    140    123.868        5.4		0.3039478444431334 | 0.029208819079435955

 R   1 G  89    144     123.67      5.385		0.3039478444431334 | 0.019208819079435953

 R   1 G  90    144    123.624      5.118		0.2939478444431334 | 0.019208819079435953

 R   1 G  91    142    123.832      5.265		0.2989266321033669 | 0.08309020917170618

 R   1 G  92    144     123.56      5.226		0.3039478444431334 | 0.029208819079435955

 R   1 G  93    140     123.62       5.11		0.3139478444431334 | 0.029208819079435955

 R   1 G  94    142    123.604      5.428		0.3139478444431334 | 0.029208819079435955

 R   1 G  95    142     123.36      5.429		0.2939478444431334 | 0.019208819079435953

 R   1 G  96    138    123.726      5.205		0.3039478444431334 | 0.029208819079435955

 R   1 G  97    142    123.752      5.469		0.3039478444431334 | 0.029208819079435955

 R   1 G  98    146    123.666      5.361		0.2939478444431334 | 0.009208819079435953

 R   1 G  99    140    123.734      5.405		0.2939478444431334 | 0.019208819079435953

 R   1 G 100    140    123.848      5.228		0.3039478444431334 | 0.029208819079435955

 R   1 G 101    138    123.464      5.085		0.28394784444313337 | 0.019208819079435953

 R   1 G 102    140     123.91      5.302		0.3039478444431334 | 0.029208819079435955

 R   1 G 103    142    123.842      5.316		0.3139478444431334 | 0.03920881907943596

 R   1 G 104    140     123.79      5.302		0.3039478444431334 | 0.03920881907943596

 R   1 G 105    142     123.75      5.229		0.2939478444431334 | 0.019208819079435953

 R   1 G 106    144    123.576      5.173		0.015179659645037646 | 0.01360256997483811

 R   1 G 107    140    123.352      5.155		0.28394784444313337 | 0.029208819079435955

 R   1 G 108    142     123.94      5.176		0.3039478444431334 | 0.029208819079435955

 R   1 G 109    140     123.77      5.215		0.3039478444431334 | 0.03920881907943596

 R   1 G 110    140    123.784      5.023		0.3039478444431334 | 0.029208819079435955

 R   1 G 111    142    123.692      5.227		0.28394784444313337 | 0.029208819079435955

 R   1 G 112    144    123.678      5.208		0.2939478444431334 | 0.029208819079435955

 R   1 G 113    140    123.576       5.26		0.3039478444431334 | 0.029208819079435955

