Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  1000
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    152    119.456      8.013		0.34814231536637574 | 0.7826229507853923
 R   4 G 472    138     124.17       4.76		0.07051642225718724 | 0.0

 R   4 G 473    140    123.954      4.833		0.11051642225718722 | 0.0

 R   4 G 474    142    123.802      4.817		0.10051642225718722 | 0.0

 R   4 G 475    138    123.808      4.898		0.10051642225718722 | 0.01

 R   4 G 476    140    124.048      4.778		0.10051642225718722 | 0.0

 R   4 G 477    136     124.06      4.813		0.10051642225718722 | 0.0

 R   4 G 478    142    123.886      4.901		0.11051642225718722 | 0.0

 R   4 G 479    142    124.252      5.183		0.10051642225718722 | 0.0

 R   4 G 480    140    124.148      4.971		0.10051642225718722 | 0.0

 R   4 G 481    142    124.062      4.927		0.09051642225718723 | 0.0

 R   4 G 482    140    124.022       4.91		0.10051642225718722 | 0.0

 R   4 G 483    148    124.196      4.936		0.09051642225718723 | 0.02

 R   4 G 484    138    123.958      4.571		0.09051642225718723 | 0.0

 R   4 G 485    140     123.86      5.027		0.11051642225718722 | 0.0

 R   4 G 486    142    124.132      5.055		0.11051642225718722 | 0.0

 R   4 G 487    138    123.894      4.837		0.11051642225718722 | 0.0

 R   4 G 488    138    124.096      4.754		0.10051642225718722 | 0.01

 R   4 G 489    140    123.928      4.958		0.10051642225718722 | 0.01

 R   4 G 490    138    123.924      4.896		0.10051642225718722 | 0.0

 R   4 G 491    140     124.04      4.961		0.11051642225718722 | 0.0

 R   4 G 492    144    124.136      4.777		0.11051642225718722 | 0.0

 R   4 G 493    142    124.148      5.038		0.11051642225718722 | 0.0

 R   4 G 494    140    124.018       4.85		0.09051642225718723 | 0.0

 R   4 G 495    140    123.878      4.976		0.11051642225718722 | 0.01

 R   4 G 496    142    124.004      5.065		0.11051642225718722 | 0.01

 R   4 G 497    138    124.064      4.853		0.11051642225718722 | 0.0

 R   4 G 498    140    124.022      4.827		0.11051642225718722 | 0.01

 R   4 G 499    138    124.144      4.992		0.09051642225718723 | 0.0

4      3###########        0.0 RawFitness
           0          0          148

 R   5 G   0    146    119.714      7.904		0.028002330428990918 | 0.22487351003686185

 R   5 G   1    150    120.436      7.716		0.2781586489004406 | 0.4435757370997201

 R   5 G   2    146    120.662      7.827		0.31313694129156977 | 0.27464912758482607

 R   5 G   3    142    120.894      7.603		0.34874516179496684 | 0.13372220503543764

 R   5 G   4    142    120.292      7.156		0.8543641332416587 | 0.06279999039135431

 R   5 G   5    150    121.804      7.044		0.48855959861433995 | 0.7067762644488937

 R   5 G   6    144    121.792      6.898		0.2816754511713364 | 0.3339848895320481

 R   5 G   7    140    121.718      6.758		0.6533521203266632 | 0.039536819205463376

 R   5 G   8    144    122.146      6.917		0.32734362428853403 | 0.21990282214993595

 R   5 G   9    140    121.914       6.82		0.2816754511713364 | 0.3339848895320481

 R   5 G  10    148     122.21       6.74		0.6533521203266632 | 0.04953681920546338

 R   5 G  11    146    122.264       6.29		0.13779540089614106 | 0.22262756380064241

 R   5 G  12    142     122.64      6.235		0.1955547284428888 | 0.2538875620196476

 R   5 G  13    144    122.746      6.658		0.32734362428853403 | 0.21990282214993595

 R   5 G  14    146    122.478      6.434		0.32734362428853403 | 0.21990282214993595

 R   5 G  15    138     122.56      6.094		0.2816754511713364 | 0.3439848895320481

 R   5 G  16    144    122.888       6.25		0.028002330428990918 | 0.22487351003686185

 R   5 G  17    140    123.222      5.791		0.6735946007829735 | 0.045634552594003605

 R   5 G  18    146    123.048      6.097		0.6659811278400357 | 0.08884053311575646

 R   5 G  19    144    122.818      6.048		0.6559811278400357 | 0.08884053311575646

 R   5 G  20    146     122.93      6.348		0.06284199280223335 | 0.030649327335097176

 R   5 G  21    150    122.874      6.075		0.2816754511713364 | 0.3339848895320481

 R   5 G  22    142    123.224      6.051		0.32734362428853403 | 0.21990282214993595

 R   5 G  23    146    123.046      5.832		0.2816754511713364 | 0.3339848895320481

 R   5 G  24    142     123.12      5.978		0.33734362428853404 | 0.21990282214993595

 R   5 G  25    148    123.092      5.787		0.32734362428853403 | 0.21990282214993595

 R   5 G  26    142     123.05      5.799		0.6559811278400357 | 0.08884053311575646

 R   5 G  27    142    123.282      5.435		0.32734362428853403 | 0.21990282214993595

 R   5 G  28    138    123.308      5.654		0.6559811278400357 | 0.08884053311575646

 R   5 G  29    146    123.598      5.445		0.6735946007829735 | 0.0256345525940036

 R   5 G  30    144    123.774      5.861		0.6559811278400357 | 0.08884053311575646

 R   5 G  31    146     123.57      5.525		0.32734362428853403 | 0.21990282214993595

 R   5 G  32    142    123.404      5.313		0.6735946007829735 | 0.0256345525940036

 R   5 G  33    142    123.714        5.3		0.37536270801245497 | 0.0013585106213446219

 R   5 G  34    142     123.68      5.369		0.6735946007829735 | 0.0356345525940036

 R   5 G  35    142    123.932       5.36		0.06284199280223335 | 0.04064932733509718

 R   5 G  36    142    123.486      5.155		0.32734362428853403 | 0.21990282214993595

 R   5 G  37    142    124.072       5.01		0.32734362428853403 | 0.21990282214993595

 R   5 G  38    138    123.614      4.999		0.8429301223017539 | 0.04650370780236501

 R   5 G  39    138    123.874      5.283		0.32734362428853403 | 0.21990282214993595

 R   5 G  40    142    124.092      4.832		0.32734362428853403 | 0.21990282214993595

 R   5 G  41    144     123.83      4.998		0.8429301223017539 | 0.056503707802365015

 R   5 G  42    138    123.778      4.828		0.02088824783684684 | 0.022169276463459675

 R   5 G  43    146    123.874      4.943		0.32734362428853403 | 0.21990282214993595

 R   5 G  44    146    123.804      5.141		0.32734362428853403 | 0.21990282214993595

 R   5 G  45    146    124.084      4.553		0.32734362428853403 | 0.21990282214993595

 R   5 G  46    142    123.678      4.874		0.6735946007829735 | 0.0256345525940036

 R   5 G  47    138    123.716      4.736		0.8429301223017539 | 0.04650370780236501

 R   5 G  48    140    123.804      5.031		0.32734362428853403 | 0.21990282214993595

 R   5 G  49    142    123.766      4.637		0.32734362428853403 | 0.21990282214993595

 R   5 G  50    142     123.96      4.733		0.33734362428853404 | 0.21990282214993595

 R   5 G  51    142    124.064      4.486		0.32734362428853403 | 0.21990282214993595

 R   5 G  52    140    124.106      4.663		0.32734362428853403 | 0.21990282214993595

 R   5 G  53    140    124.022      4.466		0.8329301223017539 | 0.04650370780236501

 R   5 G  54    142    123.998      4.608		0.32734362428853403 | 0.21990282214993595

 R   5 G  55    142    124.086      4.758		0.32734362428853403 | 0.21990282214993595

 R   5 G  56    138    123.786      4.475		0.8529301223017539 | 0.04650370780236501

 R   5 G  57    140    123.922      4.505		0.05284199280223335 | 0.020649327335097174

 R   5 G  58    138     124.18      4.395		0.8429301223017539 | 0.04650370780236501

 R   5 G  59    140    123.992      4.314		0.32734362428853403 | 0.21990282214993595

 R   5 G  60    142    124.222      4.207		0.32734362428853403 | 0.21990282214993595

 R   5 G  61    136    124.214      4.415		0.8429301223017539 | 0.04650370780236501

 R   5 G  62    138    124.084      4.325		0.02088824783684684 | 0.022169276463459675

 R   5 G  63    138    124.416      4.156		0.8429301223017539 | 0.03650370780236501

 R   5 G  64    138    124.174      4.222		0.8429301223017539 | 0.04650370780236501

 R   5 G  65    136    124.452       3.95		0.8329301223017539 | 0.03650370780236501

 R   5 G  66    136    124.058      3.959		0.8429301223017539 | 0.04650370780236501

 R   5 G  67    140    124.212      4.213		0.8429301223017539 | 0.04650370780236501

 R   5 G  68    136     124.26      4.454		0.8429301223017539 | 0.04650370780236501

 R   5 G  69    140      124.0      4.154		0.8429301223017539 | 0.04650370780236501

 R   5 G  70    136    124.282      3.987		0.9638617900038227 | 0.02791393100132166

 R   5 G  71    140    124.562       4.01		0.8329301223017539 | 0.03650370780236501

 R   5 G  72    136    124.248      4.133		0.8429301223017539 | 0.04650370780236501

 R   5 G  73    136     124.21       4.07		0.8429301223017539 | 0.04650370780236501

 R   5 G  74    140    124.418      4.005		0.8429301223017539 | 0.04650370780236501

 R   5 G  75    140    124.528      3.914		0.8429301223017539 | 0.04650370780236501

 R   5 G  76    136    124.456      3.993		0.8429301223017539 | 0.04650370780236501

 R   5 G  77    138    124.306      4.031		0.8429301223017539 | 0.04650370780236501

 R   5 G  78    136    124.488      3.881		0.8429301223017539 | 0.04650370780236501

 R   5 G  79    136     124.68      3.927		0.8429301223017539 | 0.04650370780236501

 R   5 G  80    138    124.598      3.893		0.8429301223017539 | 0.056503707802365015

 R   5 G  81    142    124.388      4.129		0.8429301223017539 | 0.04650370780236501

 R   5 G  82    140     124.54      3.949		0.9638617900038227 | 0.02791393100132166

 R   5 G  83    138     124.33      4.149		0.8429301223017539 | 0.04650370780236501

 R   5 G  84    140     124.14      4.185		0.8429301223017539 | 0.04650370780236501

 R   5 G  85    138    124.354       4.49		0.8429301223017539 | 0.04650370780236501

 R   5 G  86    136    124.318      4.252		0.9738617900038227 | 0.01791393100132166

 R   5 G  87    136     124.41      3.907		0.8429301223017539 | 0.03650370780236501

 R   5 G  88    138    124.314      4.054		0.8429301223017539 | 0.04650370780236501

 R   5 G  89    138    124.418      4.281		0.8429301223017539 | 0.04650370780236501

 R   5 G  90    136     124.38      4.093		0.8429301223017539 | 0.04650370780236501

 R   5 G  91    134    124.272      4.127		0.8429301223017539 | 0.04650370780236501

 R   5 G  92    138    124.176      4.118		0.8429301223017539 | 0.04650370780236501

 R   5 G  93    138    124.526      4.111		0.8329301223017539 | 0.04650370780236501

 R   5 G  94    136     124.55      3.927		0.8429301223017539 | 0.04650370780236501

 R   5 G  95    136    124.302      3.932		0.8429301223017539 | 0.04650370780236501

 R   5 G  96    138    124.708      3.943		0.8329301223017539 | 0.04650370780236501

 R   5 G  97    136    124.582      3.903		0.9538617900038227 | 0.007913931001321659

 R   5 G  98    138    124.534      4.015		0.8329301223017539 | 0.04650370780236501

 R   5 G  99    136    124.432      3.923		0.8429301223017539 | 0.04650370780236501

 R   5 G 100    140    124.354      3.995		0.9538617900038227 | 0.007913931001321659

 R   5 G 101    136     124.42      3.943		0.8329301223017539 | 0.04650370780236501

 R   5 G 102    134    124.464      3.898		0.9738617900038227 | 0.02791393100132166

 R   5 G 103    140     124.25      4.006		0.8429301223017539 | 0.04650370780236501

 R   5 G 104    136    124.344      3.974		0.8329301223017539 | 0.04650370780236501

 R   5 G 105    134    124.326       3.97		0.9538617900038227 | 0.007913931001321659

 R   5 G 106    134    124.574      4.008		0.9738617900038227 | 0.02791393100132166

 R   5 G 107    138     124.71       3.91		0.8429301223017539 | 0.04650370780236501

 R   5 G 108    138     124.55      3.957		0.9438617900038226 | 0.007913931001321659

 R   5 G 109    140    124.498       4.09		0.8429301223017539 | 0.04650370780236501

 R   5 G 110    140    124.518      4.027		0.9638617900038227 | 0.01791393100132166

 R   5 G 111    136    124.396      3.988		0.9638617900038227 | 0.03791393100132166

 R   5 G 112    134    124.266      4.096		0.9638617900038227 | 0.007913931001321659

 R   5 G 113    138     124.44      3.996		0.9638617900038227 | 0.0

 R   5 G 114    140    124.436      4.014		0.8529301223017539 | 0.03650370780236501

 R   5 G 115    136    124.542       4.04		0.9538617900038227 | 0.007913931001321659

 R   5 G 116    134     124.34      4.024		0.9638617900038227 | 0.007913931001321659

 R   5 G 117    136    124.536      3.952		0.8529301223017539 | 0.03650370780236501

 R   5 G 118    138    124.436      4.086		0.8529301223017539 | 0.03650370780236501

 R   5 G 119    140    124.546      3.966		0.8529301223017539 | 0.03650370780236501

 R   5 G 120    136    124.464      3.866		0.9538617900038227 | 0.0

 R   5 G 121    134    124.486      3.791		0.9738617900038227 | 0.01791393100132166

 R   5 G 122    134    124.536      3.868		0.8529301223017539 | 0.03650370780236501

 R   5 G 123    138    124.644      3.764		0.9638617900038227 | 0.01791393100132166

 R   5 G 124    136    124.586      3.778		0.9738617900038227 | 0.02791393100132166

 R   5 G 125    136    124.578      3.765		0.9738617900038227 | 0.02791393100132166

 R   5 G 126    138     124.63      3.749		0.8529301223017539 | 0.02650370780236501

 R   5 G 127    136     124.54      3.874		0.9538617900038227 | 0.007913931001321659

 R   5 G 128    134    124.436        3.9		0.9738617900038227 | 0.01791393100132166

 R   5 G 129    134     124.58      3.669		0.9538617900038227 | 0.007913931001321659

 R   5 G 130    136    124.516      3.834		0.9638617900038227 | 0.03791393100132166

 R   5 G 131    136    124.454      3.765		0.9538617900038227 | 0.007913931001321659

 R   5 G 132    136     124.71      3.838		0.9538617900038227 | 0.007913931001321659

 R   5 G 133    136     124.32      3.819		0.9638617900038227 | 0.03791393100132166

 R   5 G 134    134    124.414      3.832		0.9738617900038227 | 0.007913931001321659

 R   5 G 135    136    124.596      3.742		0.9538617900038227 | 0.0

 R   5 G 136    136     124.57      3.818		0.9538617900038227 | 0.0

 R   5 G 137    134    124.744      3.791		0.9838617900038227 | 0.007913931001321659

 R   5 G 138    136    124.502      3.809		0.9638617900038227 | 0.03791393100132166

 R   5 G 139    138    124.524      3.915		0.9638617900038227 | 0.03791393100132166

 R   5 G 140    134     124.42      3.817		0.9638617900038227 | 0.01791393100132166

 R   5 G 141    134    124.506      3.782		0.9538617900038227 | 0.0

 R   5 G 142    136    124.498      3.817		0.9538617900038227 | 0.0

 R   5 G 143    134    124.432      3.683		0.9538617900038227 | 0.0

 R   5 G 144    138    124.604      3.666		0.9538617900038227 | 0.0

 R   5 G 145    136    124.574      3.766		0.9738617900038227 | 0.01791393100132166

 R   5 G 146    134     124.69      3.812		0.9538617900038227 | 0.01

 R   5 G 147    134    124.176      3.951		0.9538617900038227 | 0.0

 R   5 G 148    134    124.576      3.742		0.9738617900038227 | 0.01791393100132166

 R   5 G 149    134    124.414      3.725		0.9538617900038227 | 0.0

 R   5 G 150    134    124.484       3.67		0.9738617900038227 | 0.007913931001321659

 R   5 G 151    136    124.566      3.897		0.9538617900038227 | 0.01

 R   5 G 152    134    124.568      3.518		0.9638617900038227 | 0.03791393100132166

 R   5 G 153    134    124.844      3.757		0.9538617900038227 | 0.02791393100132166

 R   5 G 154    134    124.658      3.842		0.9638617900038227 | 0.007913931001321659

 R   5 G 155    138    124.638      3.798		0.9538617900038227 | 0.007913931001321659

 R   5 G 156    136    124.522      3.691		0.9638617900038227 | 0.007913931001321659

 R   5 G 157    136    124.558      3.765		0.9438617900038226 | 0.0

 R   5 G 158    134     124.67      3.658		0.9638617900038227 | 0.01791393100132166

 R   5 G 159    134    124.434      3.887		0.9638617900038227 | 0.01791393100132166

 R   5 G 160    134    124.484      3.632		0.9538617900038227 | 0.0

 R   5 G 161    134    124.636       3.73		0.9638617900038227 | 0.01791393100132166

 R   5 G 162    134     124.64      3.679		0.9538617900038227 | 0.01

 R   5 G 163    134    124.614      3.706		0.9538617900038227 | 0.01

 R   5 G 164    136    124.594      3.861		0.9638617900038227 | 0.0

 R   5 G 165    138    124.576      3.701		0.9638617900038227 | 0.01791393100132166

 R   5 G 166    138    124.592      3.796		0.9638617900038227 | 0.007913931001321659

 R   5 G 167    134    124.386       3.94		0.9538617900038227 | 0.0

 R   5 G 168    136    124.364      3.748		0.9638617900038227 | 0.01791393100132166

 R   5 G 169    136     124.75      3.704		0.9538617900038227 | 0.01

 R   5 G 170    134    124.536      3.832		0.9638617900038227 | 0.0

 R   5 G 171    134    124.452      3.828		0.9638617900038227 | 0.007913931001321659

 R   5 G 172    138     124.66      3.812		0.9538617900038227 | 0.01

 R   5 G 173    136    124.408      3.942		0.9538617900038227 | 0.01791393100132166

 R   5 G 174    136     124.55      3.941		0.9538617900038227 | 0.0

 R   5 G 175    138    124.736      3.539		0.9538617900038227 | 0.01

 R   5 G 176    134    124.272      3.722		0.9638617900038227 | 0.01791393100132166

 R   5 G 177    136    124.642      3.657		0.9638617900038227 | 0.007913931001321659

 R   5 G 178    134    124.694      3.839		0.9538617900038227 | 0.0

 R   5 G 179    134      124.6      3.996		0.9638617900038227 | 0.007913931001321659

 R   5 G 180    136    124.428      3.627		0.9538617900038227 | 0.0

 R   5 G 181    136     124.75      3.825		0.9638617900038227 | 0.01791393100132166

 R   5 G 182    134    124.876      3.848		0.9538617900038227 | 0.01791393100132166

 R   5 G 183    136    124.616      3.854		0.9438617900038226 | 0.01

 R   5 G 184    136    124.572        4.1		0.9538617900038227 | 0.01

 R   5 G 185    134    124.634      3.716		0.9638617900038227 | 0.01791393100132166

 R   5 G 186    136    124.484      3.821		0.9638617900038227 | 0.007913931001321659

 R   5 G 187    136     124.48      4.161		0.9538617900038227 | 0.0

 R   5 G 188    134    124.698      3.916		0.9538617900038227 | 0.01

 R   5 G 189    138    124.278      4.034		0.9538617900038227 | 0.01791393100132166

 R   5 G 190    134     124.33      3.931		0.9538617900038227 | 0.0

 R   5 G 191    134    124.386      4.029		0.9638617900038227 | 0.0

 R   5 G 192    136     124.42      3.851		0.9538617900038227 | 0.0

 R   5 G 193    136    124.572       3.96		0.9538617900038227 | 0.0

 R   5 G 194    136    124.602       3.97		0.9538617900038227 | 0.0

 R   5 G 195    134    124.552      3.907		0.9538617900038227 | 0.0

 R   5 G 196    138    124.628      3.984		0.9538617900038227 | 0.01

 R   5 G 197    136    124.596      3.938		0.9538617900038227 | 0.0

 R   5 G 198    136     124.58      3.967		0.9538617900038227 | 0.01

 R   5 G 199    136    124.526       4.17		0.9538617900038227 | 0.0

 R   5 G 200    138    124.594      3.948		0.9538617900038227 | 0.0

 R   5 G 201    136    124.654      3.866		0.9538617900038227 | 0.0

 R   5 G 202    134    124.504      3.942		0.9538617900038227 | 0.01791393100132166

 R   5 G 203    134    124.616      3.994		0.9538617900038227 | 0.0

 R   5 G 204    136    124.418      4.046		0.9538617900038227 | 0.01

 R   5 G 205    136    124.404      3.887		0.9538617900038227 | 0.0

 R   5 G 206    138    124.356      4.044		0.9538617900038227 | 0.01

 R   5 G 207    136    124.538      3.968		0.9538617900038227 | 0.0

 R   5 G 208    140    124.726       3.82		0.9538617900038227 | 0.01

 R   5 G 209    136      124.5      3.964		0.9538617900038227 | 0.0

 R   5 G 210    136    124.688       4.05		0.9338617900038226 | 0.01

 R   5 G 211    134    124.502      3.904		0.9538617900038227 | 0.0

 R   5 G 212    136    124.702      4.115		0.9438617900038226 | 0.0

 R   5 G 213    136    124.548      4.019		0.9538617900038227 | 0.0

 R   5 G 214    136    124.392      4.164		0.9538617900038227 | 0.0

 R   5 G 215    134    124.454      4.022		0.9538617900038227 | 0.0

 R   5 G 216    136    124.714      4.005		0.9538617900038227 | 0.0

 R   5 G 217    136     124.62      3.961		0.9538617900038227 | 0.0

 R   5 G 218    136    124.468      4.035		0.9538617900038227 | 0.01

 R   5 G 219    136    124.456      4.088		0.9538617900038227 | 0.0

 R   5 G 220    136    124.558      4.081		0.9538617900038227 | 0.01

 R   5 G 221    138    124.602      4.042		0.9538617900038227 | 0.0

 R   5 G 222    138    124.486      4.048		0.9538617900038227 | 0.0

 R   5 G 223    136    124.478      4.049		0.9538617900038227 | 0.0

 R   5 G 224    134    124.404      3.947		0.9438617900038226 | 0.01

 R   5 G 225    138    124.644      4.121		0.9638617900038227 | 0.007913931001321659

 R   5 G 226    136    124.648      4.041		0.9538617900038227 | 0.007913931001321659

 R   5 G 227    136    124.486      3.983		0.9438617900038226 | 0.0

 R   5 G 228    134    124.438      3.984		0.9638617900038227 | 0.007913931001321659

 R   5 G 229    140    124.528      4.058		0.9538617900038227 | 0.0

 R   5 G 230    138    124.664      3.854		0.9638617900038227 | 0.007913931001321659

 R   5 G 231    136     124.44      3.937		0.9538617900038227 | 0.0

 R   5 G 232    134    124.388      4.129		0.9538617900038227 | 0.0

 R   5 G 233    136    124.268      4.149		0.9638617900038227 | 0.007913931001321659

 R   5 G 234    136    124.542      4.093		0.9538617900038227 | 0.01791393100132166

 R   5 G 235    134    124.642      3.932		0.9638617900038227 | 0.0

 R   5 G 236    136    124.486       3.94		0.9438617900038226 | 0.0

 R   5 G 237    134    124.628      4.091		0.9438617900038226 | 0.01

 R   5 G 238    134    124.474      4.111		0.9638617900038227 | 0.0

 R   5 G 239    136    124.658      3.846		0.9638617900038227 | 0.007913931001321659

 R   5 G 240    136    124.686      3.962		0.9638617900038227 | 0.007913931001321659

 R   5 G 241    134    124.574      4.003		0.9538617900038227 | 0.0

 R   5 G 242    138     124.59      3.993		0.9438617900038226 | 0.01

 R   5 G 243    134    124.726      4.004		0.9538617900038227 | 0.01

 R   5 G 244    136    124.656      3.885		0.9638617900038227 | 0.007913931001321659

 R   5 G 245    136    124.454      3.942		0.9538617900038227 | 0.0

 R   5 G 246    134    124.596      4.008		0.9638617900038227 | 0.007913931001321659

 R   5 G 247    134    124.506      4.041		0.9538617900038227 | 0.0

 R   5 G 248    138    124.378      4.047		0.9538617900038227 | 0.0

 R   5 G 249    134    124.678      3.973		0.9638617900038227 | 0.0

 R   5 G 250    138    124.702      3.914		0.9538617900038227 | 0.0

 R   5 G 251    136    124.554      4.013		0.9538617900038227 | 0.0

 R   5 G 252    134    124.762      3.937		0.9638617900038227 | 0.0

 R   5 G 253    138     124.49      4.008		0.9438617900038226 | 0.01791393100132166

 R   5 G 254    136    124.396      4.053		0.9638617900038227 | 0.007913931001321659

 R   5 G 255    138    124.472      3.998		0.9538617900038227 | 0.0

 R   5 G 256    136    124.566      4.037		0.9438617900038226 | 0.0

 R   5 G 257    134      124.5      3.907		0.9538617900038227 | 0.01

 R   5 G 258    136    124.478      4.073		0.9538617900038227 | 0.0

 R   5 G 259    136    124.644      4.069		0.9538617900038227 | 0.0

 R   5 G 260    138    124.596      4.127		0.9538617900038227 | 0.01791393100132166

 R   5 G 261    136    124.742      4.107		0.9438617900038226 | 0.01791393100132166

 R   5 G 262    136    124.666      3.923		0.9438617900038226 | 0.01791393100132166

 R   5 G 263    134    124.626      4.021		0.9438617900038226 | 0.0

 R   5 G 264    138    124.268      4.076		0.9538617900038227 | 0.0

 R   5 G 265    138    124.454      3.872		0.9538617900038227 | 0.0

 R   5 G 266    136    124.502      3.907		0.9538617900038227 | 0.0

 R   5 G 267    134    124.422      3.916		0.9538617900038227 | 0.0

 R   5 G 268    136    124.598      4.128		0.9638617900038227 | 0.0

 R   5 G 269    134     124.36      4.222		0.9538617900038227 | 0.0

 R   5 G 270    136    124.556      4.157		0.9538617900038227 | 0.0

 R   5 G 271    136    124.742      3.873		0.9438617900038226 | 0.01791393100132166

 R   5 G 272    136    124.522       3.89		0.9538617900038227 | 0.0

 R   5 G 273    136    124.502      3.913		0.9538617900038227 | 0.0

 R   5 G 274    134    124.448       3.98		0.9538617900038227 | 0.0

 R   5 G 275    138    124.356      4.059		0.9538617900038227 | 0.0

 R   5 G 276    136    124.524      4.054		0.9538617900038227 | 0.0

 R   5 G 277    138    124.468      4.107		0.9538617900038227 | 0.0

 R   5 G 278    136    124.382      4.021		0.9538617900038227 | 0.0

 R   5 G 279    134    124.502      4.071		0.9538617900038227 | 0.0

 R   5 G 280    134    124.494      4.042		0.9538617900038227 | 0.0

 R   5 G 281    136    124.598      3.912		0.9638617900038227 | 0.01

 R   5 G 282    136     124.57      3.836		0.9538617900038227 | 0.0

 R   5 G 283    134    124.698      3.849		0.9538617900038227 | 0.0

 R   5 G 284    136    124.744      3.804		0.9538617900038227 | 0.0

 R   5 G 285    136    124.394      3.982		0.9538617900038227 | 0.0

 R   5 G 286    134    124.542      3.987		0.9438617900038226 | 0.0

 R   5 G 287    136    124.796      4.023		0.9538617900038227 | 0.0

 R   5 G 288    136    124.802      3.977		0.9538617900038227 | 0.0

 R   5 G 289    138    124.572      3.981		0.9538617900038227 | 0.0

 R   5 G 290    136    124.522      3.912		0.9538617900038227 | 0.0

 R   5 G 291    138    124.716      3.976		0.9538617900038227 | 0.0

 R   5 G 292    136    124.278      3.925		0.9538617900038227 | 0.0

 R   5 G 293    136    124.496      4.043		0.9538617900038227 | 0.01

 R   5 G 294    134    124.454      3.864		0.9538617900038227 | 0.0

 R   5 G 295    134    124.786      3.844		0.9538617900038227 | 0.0

 R   5 G 296    136    124.642      3.907		0.9538617900038227 | 0.0

 R   5 G 297    138     124.57      3.918		0.9438617900038226 | 0.0

 R   5 G 298    134    124.512       3.83		0.9638617900038227 | 0.01

 R   5 G 299    136    124.454      3.772		0.9538617900038227 | 0.01

 R   5 G 300    136    124.744      3.835		0.9638617900038227 | 0.007913931001321659

 R   5 G 301    138     124.62       3.89		0.9538617900038227 | 0.0

 R   5 G 302    134    124.512      3.836		0.9638617900038227 | 0.007913931001321659

 R   5 G 303    136    124.824      3.767		0.9538617900038227 | 0.0

 R   5 G 304    134     124.34      3.922		0.9638617900038227 | 0.007913931001321659

 R   5 G 305    136    124.658      3.718		0.9538617900038227 | 0.0

 R   5 G 306    136    124.522      3.802		0.9538617900038227 | 0.007913931001321659

 R   5 G 307    134    124.578        3.9		0.9738617900038227 | 0.0

 R   5 G 308    134    124.546      3.826		0.9538617900038227 | 0.0

 R   5 G 309    136    124.614      3.942		0.9538617900038227 | 0.0

 R   5 G 310    136    124.396      4.059		0.9538617900038227 | 0.01

 R   5 G 311    134    124.598      3.707		0.9638617900038227 | 0.007913931001321659

 R   5 G 312    134    124.556      3.987		0.9438617900038226 | 0.0

 R   5 G 313    134    124.564      3.865		0.9538617900038227 | 0.0

 R   5 G 314    134    124.574      3.818		0.9538617900038227 | 0.0

 R   5 G 315    136    124.786      4.164		0.9538617900038227 | 0.0

 R   5 G 316    136    124.798      3.813		0.9538617900038227 | 0.0

 R   5 G 317    134    124.612      3.924		0.9538617900038227 | 0.0

 R   5 G 318    136    124.746      3.761		0.9438617900038226 | 0.0

 R   5 G 319    138    124.586      3.892		0.9538617900038227 | 0.0

 R   5 G 320    136    124.538      3.945		0.9538617900038227 | 0.0

 R   5 G 321    136    124.686      3.956		0.9538617900038227 | 0.0

 R   5 G 322    138    124.764       3.89		0.9538617900038227 | 0.0

 R   5 G 323    138    124.558      3.956		0.9638617900038227 | 0.0

 R   5 G 324    138    124.568      3.945		0.9538617900038227 | 0.0

 R   5 G 325    138      124.8      3.851		0.9438617900038226 | 0.0

 R   5 G 326    136    124.624      3.848		0.9538617900038227 | 0.0

 R   5 G 327    136    124.804      4.034		0.9438617900038226 | 0.0

 R   5 G 328    134    124.526      3.896		0.9538617900038227 | 0.0

 R   5 G 329    138    124.838      3.891		0.9538617900038227 | 0.0

 R   5 G 330    136    124.624      3.958		0.9538617900038227 | 0.0

 R   5 G 331    136    124.636      3.854		0.9538617900038227 | 0.0

 R   5 G 332    136    124.378      4.012		0.9638617900038227 | 0.0

 R   5 G 333    136    124.576      3.938		0.9538617900038227 | 0.0

 R   5 G 334    134    124.014      3.892		0.9638617900038227 | 0.01

 R   5 G 335    136    124.502      3.916		0.9538617900038227 | 0.0

 R   5 G 336    136     124.76       3.91		0.9438617900038226 | 0.0

