Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  500
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    235    201.184     12.486		0.852347974194435 | 0.06606604248548009
 R   1 G  78    229     220.28      3.533		0.997901979620712 | 0.03562536203009382

 R   1 G  79    229    220.184      3.468		0.997901979620712 | 0.025625362030093815

 R   1 G  80    229    220.512      3.611		0.997901979620712 | 0.015625362030093813

 R   1 G  81    229    220.404      3.445		0.997901979620712 | 0.025625362030093815

 R   1 G  82    231    220.208      3.667		0.987901979620712 | 0.015625362030093813

 R   1 G  83    229    220.328      3.632		0.997901979620712 | 0.03562536203009382

 R   1 G  84    229    220.268      3.545		1.0 | 0.03562536203009382

 R   1 G  85    229     220.22      3.533		0.99 | 0.03562536203009382

 R   1 G  86    231    220.496      3.512		0.997901979620712 | 0.03562536203009382

 R   1 G  87    229      220.4      3.469		1.0 | 0.04562536203009382

 R   1 G  88    231     220.34      3.475		0.997901979620712 | 0.03562536203009382

 R   1 G  89    229     220.04      3.403		1.0 | 0.03562536203009382

 R   1 G  90    229    220.132       3.64		0.997901979620712 | 0.03562536203009382

 R   1 G  91    229    220.208      3.671		0.997901979620712 | 0.025625362030093815

 R   1 G  92    229      220.3      3.656		1.0 | 0.04562536203009382

 R   1 G  93    229    220.168      3.504		0.997901979620712 | 0.03562536203009382

 R   1 G  94    229    220.324      3.588		0.997901979620712 | 0.025625362030093815

 R   1 G  95    229    220.416      3.494		1.0 | 0.03562536203009382

 R   1 G  96    229    220.144      3.711		0.997901979620712 | 0.03562536203009382

 R   1 G  97    231    220.244      3.474		0.997901979620712 | 0.03562536203009382

 R   1 G  98    229    220.612      3.577		0.997901979620712 | 0.03562536203009382

 R   1 G  99    229    220.116      3.574		0.997901979620712 | 0.03562536203009382

 R   1 G 100    231    220.192      3.628		0.99 | 0.04562536203009382

 R   1 G 101    229     220.26      3.496		0.987901979620712 | 0.025625362030093815

 R   1 G 102    229    220.108      3.645		1.0 | 0.04562536203009382

 R   1 G 103    229    220.012      3.721		0.997901979620712 | 0.025625362030093815

 R   1 G 104    229     220.46      3.991		1.0 | 0.04562536203009382

 R   1 G 105    229    220.088       3.65		1.0 | 0.04562536203009382

 R   1 G 106    229    220.368      3.639		1.0 | 0.04562536203009382

 R   1 G 107    231    220.036      3.629		0.997901979620712 | 0.025625362030093815

 R   1 G 108    229    220.364      3.324		0.987901979620712 | 0.025625362030093815

 R   1 G 109    229    220.512      3.495		0.997901979620712 | 0.03562536203009382

 R   1 G 110    231    220.188      3.692		0.997901979620712 | 0.025625362030093815

 R   1 G 111    229    220.172      3.508		1.0 | 0.04562536203009382

 R   1 G 112    229    220.292      3.484		1.0 | 0.04562536203009382

 R   1 G 113    229    220.424       3.74		1.0 | 0.04562536203009382

 R   1 G 114    229    219.848      3.635		0.997901979620712 | 0.03562536203009382

 R   1 G 115    229    219.908      3.689		0.997901979620712 | 0.025625362030093815

 R   1 G 116    229    219.976      3.622		0.997901979620712 | 0.025625362030093815

 R   1 G 117    229     220.26      3.635		0.997901979620712 | 0.025625362030093815

