Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  500
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    235    201.184     12.486		0.852347974194435 | 0.06606604248548009

 R   7 G 178    229    218.176      4.343		0.99 | 0.16157044991188207

 R   7 G 179    229    218.468      4.045		1.0 | 0.16157044991188207

 R   7 G 180    229    218.184      4.031		1.0 | 0.14157044991188206

 R   7 G 181    229    218.224      4.013		1.0 | 0.16157044991188207

 R   7 G 182    229    218.276      4.256		1.0 | 0.16157044991188207

 R   7 G 183    227    218.024       4.21		0.99 | 0.16157044991188207

 R   7 G 184    229    218.372       3.98		1.0 | 0.16157044991188207

 R   7 G 185    229      218.3      4.122		1.0 | 0.14157044991188206

 R   7 G 186    229    218.008      4.295		1.0 | 0.16157044991188207

 R   7 G 187    229     217.98      4.129		1.0 | 0.15157044991188207

 R   7 G 188    229    218.356      4.166		1.0 | 0.16157044991188207

 R   7 G 189    227    217.964      4.129		1.0 | 0.14157044991188206

 R   7 G 190    229    217.948       3.97		1.0 | 0.15157044991188207

 R   7 G 191    229    217.764      4.437		1.0 | 0.16157044991188207

 R   7 G 192    229     218.22       4.36		1.0 | 0.16157044991188207

 R   7 G 193    229     218.06      4.206		1.0 | 0.15157044991188207

 R   7 G 194    229    217.972      4.235		1.0 | 0.15157044991188207

 R   7 G 195    229    217.936      3.982		1.0 | 0.16157044991188207

 R   7 G 196    229    218.384       3.95		1.0 | 0.16157044991188207

 R   7 G 197    229    218.516       4.18		1.0 | 0.14157044991188206

 R   7 G 198    227    218.164      4.226		1.0 | 0.16157044991188207

 R   7 G 199    229    217.932      4.255		1.0 | 0.15157044991188207

 R   7 G 200    227    218.332      3.928		1.0 | 0.17157044991188208

 R   7 G 201    229    218.008      4.118		1.0 | 0.15157044991188207

 R   7 G 202    229    217.652      4.159		1.0 | 0.16157044991188207

 R   7 G 203    229    218.188      4.432		1.0 | 0.16157044991188207

 R   7 G 204    229    218.336       4.25		1.0 | 0.14157044991188206

 R   7 G 205    229    217.928      4.117		1.0 | 0.15157044991188207

 R   7 G 206    229    218.268      4.087		1.0 | 0.16157044991188207

 R   7 G 207    229    218.576      3.916		1.0 | 0.14157044991188206

 R   7 G 208    229    218.292       4.37		1.0 | 0.16157044991188207

 R   7 G 209    227    218.132      4.027		1.0 | 0.14157044991188206

 R   7 G 210    229     217.92      4.152		1.0 | 0.16157044991188207

 R   7 G 211    229    218.168      4.029		0.99 | 0.15157044991188207

 R   7 G 212    229     218.38       4.25		1.0 | 0.16157044991188207

 R   7 G 213    229    218.552      4.015		1.0 | 0.15157044991188207

 R   7 G 214    227     217.84      4.024		1.0 | 0.15157044991188207

 R   7 G 215    227    218.432      4.295		1.0 | 0.16157044991188207

 R   7 G 216    229    218.352      4.043		1.0 | 0.17157044991188208

 R   7 G 217    229    218.044      4.317		1.0 | 0.16157044991188207

 R   7 G 218    229    218.244      4.022		1.0 | 0.17157044991188208

 R   7 G 219    229    218.504      3.898		0.99 | 0.16157044991188207

 R   7 G 220    229     217.94      4.225		1.0 | 0.16157044991188207

 R   7 G 221    229    218.228      4.052		1.0 | 0.16157044991188207

 R   7 G 222    229    218.028      4.257		1.0 | 0.15157044991188207

 R   7 G 223    229    218.172      4.246		1.0 | 0.15157044991188207

 R   7 G 224    229    218.188      4.575		1.0 | 0.16157044991188207

 R   7 G 225    227     218.12      4.204		1.0 | 0.16157044991188207

 R   7 G 226    227    218.004       3.94		1.0 | 0.14157044991188206

 R   7 G 227    229    217.996      4.323		1.0 | 0.16157044991188207

 R   7 G 228    229     218.16      4.264		0.99 | 0.17157044991188208

 R   7 G 229    229    218.024      4.193		1.0 | 0.14157044991188206

 R   7 G 230    227    218.116      4.206		1.0 | 0.14157044991188206

 R   7 G 231    229    218.108      4.102		1.0 | 0.14157044991188206

 R   7 G 232    229    218.092      4.044		1.0 | 0.16157044991188207

 R   7 G 233    227      218.2      4.215		1.0 | 0.14157044991188206

 R   7 G 234    229     218.74      4.111		1.0 | 0.14157044991188206

 R   7 G 235    229    218.504      4.252		0.99 | 0.16157044991188207

 R   7 G 236    229     218.18       4.07		1.0 | 0.14157044991188206

 R   7 G 237    229    218.264      3.992		1.0 | 0.16157044991188207

 R   7 G 238    229    218.028      4.465		1.0 | 0.14157044991188206

 R   7 G 239    229    218.528      3.972		1.0 | 0.14157044991188206

 R   7 G 240    229     218.32      4.089		1.0 | 0.14157044991188206

 R   7 G 241    229     218.26       4.27		1.0 | 0.14157044991188206

 R   7 G 242    229    218.488       4.18		1.0 | 0.14157044991188206

 R   7 G 243    229    217.972      4.141		1.0 | 0.14157044991188206

 R   7 G 244    229    218.248      4.237		1.0 | 0.14157044991188206

 R   7 G 245    229      218.5      4.205		1.0 | 0.14157044991188206

 R   7 G 246    229    218.284      3.946		1.0 | 0.14157044991188206

 R   7 G 247    229     218.62      4.009		1.0 | 0.14157044991188206

 R   7 G 248    227    218.652      3.867		1.0 | 0.14157044991188206

 R   7 G 249    227    218.336      4.003		1.0 | 0.14157044991188206

 R   7 G 250    229    218.408      4.038		1.0 | 0.14157044991188206

 R   7 G 251    227    218.108      4.047		1.0 | 0.15157044991188207

 R   7 G 252    229    218.496      4.048		1.0 | 0.14157044991188206

 R   7 G 253    229     218.38      4.033		1.0 | 0.17157044991188208

 R   7 G 254    231    218.396      4.053		0.99 | 0.15157044991188207

 R   7 G 255    229    218.464      4.234		1.0 | 0.16157044991188207

 R   7 G 256    229    218.308      4.354		0.99 | 0.15157044991188207

 R   7 G 257    229    218.272      4.101		0.99 | 0.15157044991188207

 R   7 G 258    229    218.324      4.207		1.0 | 0.14157044991188206

 R   7 G 259    227    218.144      4.012		1.0 | 0.14157044991188206

 R   7 G 260    229    218.388      4.234		1.0 | 0.13157044991188205

 R   7 G 261    229    218.456      4.179		1.0 | 0.15157044991188207

 R   7 G 262    229    218.604      4.027		1.0 | 0.14157044991188206

 R   7 G 263    229    218.368      4.018		1.0 | 0.16157044991188207

 R   7 G 264    231    218.472      4.122		0.99 | 0.14157044991188206

 R   7 G 265    227    218.528      4.085		1.0 | 0.16157044991188207

 R   7 G 266    229    218.196      4.074		1.0 | 0.14157044991188206

 R   7 G 267    229    218.372      4.044		1.0 | 0.14157044991188206

 R   7 G 268    229    218.492      4.076		1.0 | 0.14157044991188206

 R   7 G 269    229    218.336      4.195		1.0 | 0.14157044991188206

 R   7 G 270    229    218.312      4.055		1.0 | 0.15157044991188207

 R   7 G 271    227    218.604      4.033		1.0 | 0.16157044991188207

 R   7 G 272    229    218.616       4.26		1.0 | 0.15157044991188207

 R   7 G 273    229    218.664      4.161		1.0 | 0.14157044991188206

 R   7 G 274    227    218.272      3.998		1.0 | 0.15157044991188207

 R   7 G 275    229    218.492      4.027		1.0 | 0.13157044991188205

 R   7 G 276    229     218.24      4.228		1.0 | 0.13157044991188205

 R   7 G 277    229    218.392      4.147		0.99 | 0.13157044991188205

 R   7 G 278    229    218.512       4.24		1.0 | 0.13157044991188205

 R   7 G 279    227    218.732      4.159		1.0 | 0.13157044991188205

 R   7 G 280    229    218.524      4.337		1.0 | 0.13157044991188205

 R   7 G 281    229     218.58      3.942		1.0 | 0.15157044991188207

 R   7 G 282    229    218.596      4.146		1.0 | 0.13157044991188205

 R   7 G 283    229    218.404       4.07		1.0 | 0.13157044991188205

 R   7 G 284    229      218.3      4.091		0.99 | 0.13157044991188205

 R   7 G 285    229    218.748      4.382		1.0 | 0.13157044991188205

 R   7 G 286    229    218.468      4.277		1.0 | 0.13157044991188205

 R   7 G 287    229    218.668      4.155		1.0 | 0.13157044991188205

 R   7 G 288    229     218.64      4.214		0.99 | 0.15157044991188207

 R   7 G 289    231    218.428       4.07		0.99 | 0.15157044991188207

 R   7 G 290    231    218.316      4.281		0.99 | 0.15157044991188207

 R   7 G 291    229    218.876      3.951		1.0 | 0.13157044991188205

 R   7 G 292    229    218.468      4.184		1.0 | 0.13157044991188205

 R   7 G 293    229    218.452      3.973		1.0 | 0.13157044991188205

 R   7 G 294    229      218.5       3.97		1.0 | 0.13157044991188205

 R   7 G 295    227    218.536      3.938		1.0 | 0.13157044991188205

 R   7 G 296    227    218.296      4.008		0.99 | 0.15157044991188207

 R   7 G 297    227    218.228      3.984		1.0 | 0.14157044991188206

 R   7 G 298    227     218.36      4.141		1.0 | 0.13157044991188205

 R   7 G 299    227    218.412      3.874		1.0 | 0.15157044991188207

 R   7 G 300    229    218.912       4.09		1.0 | 0.13157044991188205

 R   7 G 301    229    218.464      4.068		1.0 | 0.13157044991188205

 R   7 G 302    229    218.508      3.812		1.0 | 0.12157044991188205

 R   7 G 303    229     218.62       3.92		1.0 | 0.13157044991188205

 R   7 G 304    229      218.5      4.071		1.0 | 0.13157044991188205

 R   7 G 305    229     218.46      3.891		1.0 | 0.14157044991188206

 R   7 G 306    229    218.592      4.098		1.0 | 0.13157044991188205

 R   7 G 307    229    218.324       4.31		1.0 | 0.13157044991188205

 R   7 G 308    229    218.428      4.224		1.0 | 0.14157044991188206

 R   7 G 309    227    218.112      4.235		1.0 | 0.13157044991188205

 R   7 G 310    227     218.48      3.986		0.99 | 0.13157044991188205

 R   7 G 311    229    218.596      4.062		1.0 | 0.15157044991188207

 R   7 G 312    229    218.556      4.026		1.0 | 0.13157044991188205

 R   7 G 313    229    218.296      4.283		1.0 | 0.15157044991188207

 R   7 G 314    227    218.344      4.044		1.0 | 0.13157044991188205

 R   7 G 315    227    218.584      3.858		1.0 | 0.13157044991188205

 R   7 G 316    229     218.26      3.858		1.0 | 0.12157044991188205

 R   7 G 317    229    218.352      3.979		1.0 | 0.13157044991188205

 R   7 G 318    229    218.736      4.233		1.0 | 0.16157044991188207

 R   7 G 319    229     218.64      4.171		1.0 | 0.13157044991188205

 R   7 G 320    227    218.544      3.994		1.0 | 0.13157044991188205

 R   7 G 321    229    218.648      4.115		1.0 | 0.13157044991188205

 R   7 G 322    229    218.392      3.988		1.0 | 0.13157044991188205

 R   7 G 323    229    218.468      3.898		1.0 | 0.13157044991188205

 R   7 G 324    229     218.28      4.021		1.0 | 0.16157044991188207

 R   7 G 325    227     218.42      4.029		1.0 | 0.13157044991188205

 R   7 G 326    229    218.412      4.237		1.0 | 0.13157044991188205

 R   7 G 327    229    218.324      3.994		1.0 | 0.13157044991188205

 R   7 G 328    229    218.436      4.104		1.0 | 0.11157044991188206

 R   7 G 329    229    218.632      4.212		1.0 | 0.13157044991188205

 R   7 G 330    229    218.368      4.326		1.0 | 0.13157044991188205

 R   7 G 331    229     218.46      4.076		1.0 | 0.13157044991188205

 R   7 G 332    227     218.54      4.335		1.0 | 0.13157044991188205

 R   7 G 333    229     218.38      3.981		1.0 | 0.12157044991188205

 R   7 G 334    229    218.508      3.885		1.0 | 0.13157044991188205

 R   7 G 335    229     218.58      3.889		1.0 | 0.15157044991188207

 R   7 G 336    229    218.428      3.866		1.0 | 0.13157044991188205

 R   7 G 337    229    218.492       4.08		1.0 | 0.14157044991188206

 R   7 G 338    229    218.588      3.974		1.0 | 0.11157044991188206

 R   7 G 339    227    218.584      4.175		1.0 | 0.13157044991188205

 R   7 G 340    229    218.344      4.078		1.0 | 0.11157044991188206

 R   7 G 341    229    218.428      4.368		1.0 | 0.13157044991188205

 R   7 G 342    229    218.076       4.24		1.0 | 0.11157044991188206

 R   7 G 343    229    218.292      4.127		1.0 | 0.16157044991188207

 R   7 G 344    231    218.364      4.068		0.98 | 0.13157044991188205

 R   7 G 345    229    218.172      4.216		1.0 | 0.14157044991188206

 R   7 G 346    227    218.252      4.037		1.0 | 0.11157044991188206

 R   7 G 347    227    218.472      4.098		1.0 | 0.15157044991188207

 R   7 G 348    227     218.54      3.987		1.0 | 0.11157044991188206

 R   7 G 349    229    218.648      4.123		1.0 | 0.11157044991188206

 R   7 G 350    229    218.652      4.012		1.0 | 0.16157044991188207

 R   7 G 351    229    218.504      4.204		0.99 | 0.16157044991188207

 R   7 G 352    229    218.388       4.15		1.0 | 0.14157044991188206

 R   7 G 353    229    218.656      4.094		1.0 | 0.11157044991188206

 R   7 G 354    229    218.476      4.276		1.0 | 0.16157044991188207

 R   7 G 355    227    218.544      4.008		1.0 | 0.13157044991188205

 R   7 G 356    227     218.56      3.978		1.0 | 0.11157044991188206

 R   7 G 357    227    218.476      4.117		1.0 | 0.14157044991188206

 R   7 G 358    229    218.416      4.182		1.0 | 0.16157044991188207

 R   7 G 359    229     218.28       4.33		1.0 | 0.15157044991188207

 R   7 G 360    229    218.388      4.243		0.99 | 0.13157044991188205

 R   7 G 361    229    218.504      4.145		1.0 | 0.16157044991188207

 R   7 G 362    229    218.644      4.384		1.0 | 0.16157044991188207

 R   7 G 363    227    218.188      4.013		1.0 | 0.13157044991188205

 R   7 G 364    229    218.464      4.344		0.98 | 0.13157044991188205

 R   7 G 365    229     218.62      4.378		1.0 | 0.13157044991188205

 R   7 G 366    229    218.716      4.229		0.98 | 0.13157044991188205

 R   7 G 367    227    218.156      4.111		1.0 | 0.13157044991188205

 R   7 G 368    229     218.48      4.123		1.0 | 0.10157044991188206

 R   7 G 369    229    218.492      4.076		1.0 | 0.13157044991188205

 R   7 G 370    229    218.548      4.013		1.0 | 0.11157044991188206

 R   7 G 371    227    218.296       4.06		1.0 | 0.11157044991188206

 R   7 G 372    227      218.9      3.909		1.0 | 0.12157044991188205

 R   7 G 373    227    218.968      4.073		1.0 | 0.16157044991188207

 R   7 G 374    231    218.804      4.004		0.99 | 0.13157044991188205

 R   7 G 375    229     218.92      3.959		1.0 | 0.11157044991188206

 R   7 G 376    229      218.8      3.999		1.0 | 0.10157044991188206

 R   7 G 377    229    218.844      3.874		1.0 | 0.10157044991188206

 R   7 G 378    229    219.004      3.926		1.0 | 0.10157044991188206

 R   7 G 379    227    218.988      3.934		1.0 | 0.11157044991188206

 R   7 G 380    229     219.06      3.688		1.0 | 0.09157044991188207

 R   7 G 381    229    219.144      3.766		0.99 | 0.10157044991188206

 R   7 G 382    229    218.884      3.939		1.0 | 0.11157044991188206

 R   7 G 383    229    219.376      3.807		1.0 | 0.11157044991188206

 R   7 G 384    229     219.02      3.766		1.0 | 0.09157044991188207

 R   7 G 385    229    219.288      3.804		1.0 | 0.11157044991188206

 R   7 G 386    229     219.22      4.003		1.0 | 0.10157044991188206

 R   7 G 387    229    219.172      3.947		1.0 | 0.10157044991188206

 R   7 G 388    229      218.9      3.766		1.0 | 0.11157044991188206

 R   7 G 389    229    219.084      3.836		1.0 | 0.11157044991188206

 R   7 G 390    229    219.412      3.935		1.0 | 0.08157044991188207

 R   7 G 391    229    219.684      3.826		1.0 | 0.08157044991188207

 R   7 G 392    229    219.212      3.861		1.0 | 0.08157044991188207

 R   7 G 393    229     219.52      3.968		1.0 | 0.08157044991188207

 R   7 G 394    229     219.54       3.67		1.0 | 0.08157044991188207

 R   7 G 395    227    219.284      3.942		1.0 | 0.10157044991188206

 R   7 G 396    229    219.104      3.746		1.0 | 0.08157044991188207

 R   7 G 397    229     219.36      3.824		1.0 | 0.08157044991188207

 R   7 G 398    229    219.336      3.681		1.0 | 0.12157044991188205

 R   7 G 399    227    219.272      3.893		1.0 | 0.11157044991188206

 R   7 G 400    229    219.084      3.685		1.0 | 0.08157044991188207

 R   7 G 401    229      219.4      3.826		1.0 | 0.08157044991188207

 R   7 G 402    229    219.252      3.875		1.0 | 0.10157044991188206

 R   7 G 403    229     219.34      3.793		1.0 | 0.08157044991188207

 R   7 G 404    229    219.264      3.712		1.0 | 0.08157044991188207

 R   7 G 405    229    219.352      3.757		1.0 | 0.08157044991188207

 R   7 G 406    229    219.424      3.787		1.0 | 0.08157044991188207

 R   7 G 407    229    219.356       3.84		1.0 | 0.08157044991188207

 R   7 G 408    229    219.488      3.722		1.0 | 0.08157044991188207

 R   7 G 409    227    219.424      3.875		1.0 | 0.08157044991188207

 R   7 G 410    229      219.6      3.693		1.0 | 0.08157044991188207

 R   7 G 411    229    219.512      3.699		1.0 | 0.08157044991188207

 R   7 G 412    229    219.408      3.625		1.0 | 0.08157044991188207

 R   7 G 413    229    219.432      3.681		1.0 | 0.08157044991188207

 R   7 G 414    229    219.664      3.673		1.0 | 0.07157044991188208

 R   7 G 415    229    219.416      3.778		1.0 | 0.07157044991188208

 R   7 G 416    229    219.852      3.692		1.0 | 0.08157044991188207

 R   7 G 417    229    219.644      4.073		1.0 | 0.08157044991188207

 R   7 G 418    229    219.528      3.642		1.0 | 0.08157044991188207

 R   7 G 419    229    219.472        3.5		1.0 | 0.08157044991188207

 R   7 G 420    229    219.772      3.615		1.0 | 0.08157044991188207

 R   7 G 421    229    219.836      3.534		1.0 | 0.08157044991188207

 R   7 G 422    229    219.556      3.744		1.0 | 0.08157044991188207

 R   7 G 423    229    219.648      3.832		1.0 | 0.07157044991188208

 R   7 G 424    229    219.508      3.757		1.0 | 0.08157044991188207

 R   7 G 425    229    219.608      3.643		1.0 | 0.08157044991188207

 R   7 G 426    229    219.688      3.716		1.0 | 0.08157044991188207

 R   7 G 427    229    219.452       3.79		1.0 | 0.08157044991188207

 R   7 G 428    229    219.436      3.821		1.0 | 0.08157044991188207

 R   7 G 429    229    219.504      3.866		1.0 | 0.08157044991188207

 R   7 G 430    229     219.16      3.841		1.0 | 0.08157044991188207

 R   7 G 431    229    219.344      3.856		1.0 | 0.08157044991188207

 R   7 G 432    229    219.532       3.84		0.99 | 0.08157044991188207

 R   7 G 433    229     219.18      4.117		1.0 | 0.08157044991188207

 R   7 G 434    235    219.292      4.014		0.99 | 0.08157044991188207

 R   7 G 435    229    219.488      3.878		0.99 | 0.08157044991188207

 R   7 G 436    231    219.344      3.922		0.99 | 0.08157044991188207

 R   7 G 437    229    219.492      3.875		1.0 | 0.07157044991188208

 R   7 G 438    231    219.672      3.687		0.99 | 0.08157044991188207

 R   7 G 439    229    219.364      3.907		1.0 | 0.08157044991188207

 R   7 G 440    229     219.54      3.978		0.99 | 0.09157044991188207

 R   7 G 441    229    219.308      3.704		0.99 | 0.09157044991188207

 R   7 G 442    229      219.5        3.7		1.0 | 0.07157044991188208

 R   7 G 443    229     219.58      3.649		1.0 | 0.08157044991188207

 R   7 G 444    229    219.496      3.914		1.0 | 0.08157044991188207

 R   7 G 445    229    219.648      3.817		1.0 | 0.08157044991188207

 R   7 G 446    229    219.472       3.96		1.0 | 0.08157044991188207

 R   7 G 447    229    219.596      3.712		1.0 | 0.08157044991188207

 R   7 G 448    227    219.172      3.673		1.0 | 0.08157044991188207

 R   7 G 449    229    219.584      3.781		1.0 | 0.08157044991188207

 R   7 G 450    229    219.772      3.952		1.0 | 0.08157044991188207

 R   7 G 451    229    219.532      3.588		1.0 | 0.09157044991188207

 R   7 G 452    229    219.436      3.856		1.0 | 0.08157044991188207

 R   7 G 453    229    219.576      3.759		1.0 | 0.08157044991188207

 R   7 G 454    229    219.644      3.684		1.0 | 0.08157044991188207

 R   7 G 455    229    219.508      3.616		1.0 | 0.08157044991188207

 R   7 G 456    229    219.476      3.839		1.0 | 0.08157044991188207

 R   7 G 457    229    219.452       3.77		1.0 | 0.08157044991188207

 R   7 G 458    229    219.408       3.71		1.0 | 0.08157044991188207

 R   7 G 459    229    219.484       3.76		1.0 | 0.08157044991188207

 R   7 G 460    229    219.564      3.587		1.0 | 0.08157044991188207

 R   7 G 461    229    219.696      3.578		1.0 | 0.08157044991188207

 R   7 G 462    229     219.96      3.604		1.0 | 0.08157044991188207

 R   7 G 463    229    219.468      3.691		1.0 | 0.08157044991188207

 R   7 G 464    229    219.392      4.041		0.99 | 0.08157044991188207

 R   7 G 465    229    219.176      3.756		1.0 | 0.08157044991188207

 R   7 G 466    229    219.208      3.776		0.99 | 0.08157044991188207

 R   7 G 467    229    219.584      3.825		1.0 | 0.061570449911882076

 R   7 G 468    229      219.8      3.733		1.0 | 0.08157044991188207

 R   7 G 469    231    219.472      3.853		0.99 | 0.08157044991188207

 R   7 G 470    229    219.536      3.685		1.0 | 0.08157044991188207

 R   7 G 471    229     219.84      3.927		0.99 | 0.08157044991188207

 R   7 G 472    229     219.48       3.85		1.0 | 0.08157044991188207

 R   7 G 473    229    219.764      3.683		1.0 | 0.08157044991188207

 R   7 G 474    229     219.68       3.88		1.0 | 0.08157044991188207

 R   7 G 475    229    219.348      3.826		1.0 | 0.08157044991188207

 R   7 G 476    229    219.448      3.854		0.99 | 0.061570449911882076

 R   7 G 477    229     219.26      3.954		1.0 | 0.07157044991188208

 R   7 G 478    229    219.712      3.845		1.0 | 0.09157044991188207

 R   7 G 479    229    219.592      3.676		0.99 | 0.061570449911882076

 R   7 G 480    229    219.548      3.888		1.0 | 0.061570449911882076

 R   7 G 481    229    219.508      3.895		0.99 | 0.08157044991188207

 R   7 G 482    229    219.744      3.714		1.0 | 0.08157044991188207

 R   7 G 483    229     219.42      3.949		1.0 | 0.08157044991188207

 R   7 G 484    229      219.5      3.834		1.0 | 0.09157044991188207

 R   7 G 485    229    219.516      3.665		1.0 | 0.09157044991188207

 R   7 G 486    229    219.528      3.918		1.0 | 0.061570449911882076

 R   7 G 487    229    219.396      3.689		1.0 | 0.09157044991188207

 R   7 G 488    229    220.016      3.714		0.99 | 0.061570449911882076

 R   7 G 489    231     219.66      3.814		0.99 | 0.061570449911882076

 R   7 G 490    229    219.756      3.685		1.0 | 0.061570449911882076

 R   7 G 491    229    220.244      3.639		1.0 | 0.07157044991188208

 R   7 G 492    231    219.764      3.575		0.99 | 0.061570449911882076

 R   7 G 493    229    219.756      3.817		1.0 | 0.051570449911882074

 R   7 G 494    229    219.576      3.932		1.0 | 0.08157044991188207

 R   7 G 495    229    219.464       3.58		1.0 | 0.061570449911882076

 R   7 G 496    229    219.524      3.613		1.0 | 0.061570449911882076

 R   7 G 497    229    219.968      3.476		1.0 | 0.061570449911882076

 R   7 G 498    229     220.06      3.505		1.0 | 0.061570449911882076

 R   7 G 499    229    219.832      3.501		1.0 | 0.07157044991188208

7      3        1.0########### RawFitness
           0          0          239

 R   8 G   0    233    200.944     12.004		0.7884555114103067 | 0.06989676122180621

 R   8 G   1    233     203.72     11.166		0.8925060640430427 | 0.08981165070575015

 R   8 G   2    233    204.788     12.263		0.8007223486400968 | 0.14813683732792338

 R   8 G   3    235    207.128     11.581		0.9219946369107077 | 0.013063630645959834

 R   8 G   4    233    208.652      10.58		0.9219946369107077 | 0.013063630645959834

 R   8 G   5    235    208.956     10.712		0.9355387697243537 | 0.21757009585752551

 R   8 G   6    235    211.608      9.611		0.8234929170292835 | 0.12418090732381903

 R   8 G   7    231    213.612      8.451		0.8557058683563113 | 0.09715596178378572

 R   8 G   8    235    214.252      7.505		0.9319946369107077 | 0.013063630645959834

 R   8 G   9    231    214.032      8.253		0.9355387697243537 | 0.21757009585752551

 R   8 G  10    233    215.088      7.573		0.8457058683563113 | 0.09715596178378572

 R   8 G  11    237    215.664      7.243		0.8457058683563113 | 0.09715596178378572

 R   8 G  12    233    216.292      6.931		0.9319946369107077 | 0.013063630645959834

 R   8 G  13    233    216.956      6.463		0.9355387697243537 | 0.21757009585752551

 R   8 G  14    233    217.444      5.849		0.9355387697243537 | 0.21757009585752551

 R   8 G  15    231    217.908      5.837		0.9922365961457074 | 0.042966664263141

 R   8 G  16    231    218.048      5.729		0.9419946369107077 | 0.013063630645959834

 R   8 G  17    233    218.604      5.334		0.9419946369107077 | 0.013063630645959834

 R   8 G  18    231    219.148      4.974		0.9922365961457074 | 0.042966664263141

 R   8 G  19    231     219.04      4.584		0.9419946369107077 | 0.013063630645959834

 R   8 G  20    231    219.556      4.668		0.9922365961457074 | 0.042966664263141

 R   8 G  21    231     219.54      4.285		0.9822365961457074 | 0.042966664263141

 R   8 G  22    231    219.652      4.305		0.9922365961457074 | 0.042966664263141

 R   8 G  23    231    219.264      4.544		0.9922365961457074 | 0.042966664263141

 R   8 G  24    229    219.668      4.231		0.9922365961457074 | 0.042966664263141

 R   8 G  25    231    219.516      4.295		0.9922365961457074 | 0.042966664263141

 R   8 G  26    229     219.46      4.344		0.9922365961457074 | 0.042966664263141

 R   8 G  27    229    219.592      4.219		0.9922365961457074 | 0.042966664263141

 R   8 G  28    231    219.548      4.413		0.9419946369107077 | 0.013063630645959834

 R   8 G  29    231      219.6       4.44		0.9922365961457074 | 0.042966664263141

 R   8 G  30    229    219.656      4.169		0.9922365961457074 | 0.042966664263141

 R   8 G  31    229     219.84      4.178		0.9922365961457074 | 0.042966664263141

 R   8 G  32    231    219.952      4.272		0.9922365961457074 | 0.042966664263141

 R   8 G  33    229    219.724      4.342		0.9922365961457074 | 0.042966664263141

 R   8 G  34    231    219.524      4.208		0.9922365961457074 | 0.042966664263141

 R   8 G  35    229    219.584      4.019		0.9922365961457074 | 0.042966664263141

 R   8 G  36    231    219.768      4.414		0.9922365961457074 | 0.042966664263141

 R   8 G  37    229    219.936      4.163		0.9922365961457074 | 0.042966664263141

 R   8 G  38    229    219.736      4.184		0.9922365961457074 | 0.042966664263141

 R   8 G  39    229    219.664      4.477		0.9922365961457074 | 0.042966664263141

 R   8 G  40    229     219.52      4.273		0.9922365961457074 | 0.042966664263141

 R   8 G  41    229    219.816       3.82		0.9922365961457074 | 0.042966664263141

 R   8 G  42    229    219.756      4.209		0.9922365961457074 | 0.042966664263141

 R   8 G  43    231    219.944      4.019		0.9922365961457074 | 0.042966664263141

 R   8 G  44    229    219.952      3.784		0.9922365961457074 | 0.042966664263141

 R   8 G  45    229    219.628      4.212		0.9922365961457074 | 0.042966664263141

 R   8 G  46    231    220.028      3.889		0.9922365961457074 | 0.042966664263141

 R   8 G  47    229    220.136      4.021		1.0 | 0.042966664263141

 R   8 G  48    229    220.112      4.096		1.0 | 0.042966664263141

 R   8 G  49    229     219.92      3.872		0.9922365961457074 | 0.042966664263141

 R   8 G  50    229    219.732      3.826		1.0 | 0.042966664263141

 R   8 G  51    229     219.84      3.968		0.9922365961457074 | 0.042966664263141

 R   8 G  52    231    219.912      3.976		0.9922365961457074 | 0.042966664263141

 R   8 G  53    229    219.796      3.838		0.9922365961457074 | 0.042966664263141

 R   8 G  54    231     220.24      4.286		0.9922365961457074 | 0.042966664263141

 R   8 G  55    231     219.94      3.876		0.9922365961457074 | 0.042966664263141

 R   8 G  56    229     220.26      3.818		1.0 | 0.042966664263141

 R   8 G  57    233    220.236      3.841		0.9822365961457074 | 0.042966664263141

 R   8 G  58    229    219.964      4.096		0.9922365961457074 | 0.042966664263141

 R   8 G  59    229    219.672      3.998		0.9922365961457074 | 0.042966664263141

 R   8 G  60    229     219.92       4.13		0.9922365961457074 | 0.032966664263140995

 R   8 G  61    229    219.932      3.778		1.0 | 0.032966664263140995

 R   8 G  62    229    220.068      3.956		1.0 | 0.042966664263141

