Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  100
Generations per Run          :  100
Population Size              :  100
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    348     205.06     73.415		0.10070556186895041 | 0.06107305562731147

 R   1 G   1    348      218.4     62.377		0.030430337224557458 | 0.6157911538337644

 R   1 G   2    350     206.32     75.926		0.0035138532294655134 | 0.10398404434718655

 R   1 G   3    350     207.76     83.306		0.030430337224557458 | 0.6157911538337644

 R   1 G   4    350     207.16      77.13		0.030430337224557458 | 0.6157911538337644

 R   1 G   5    350     205.44     74.674		0.030430337224557458 | 0.6157911538337644

 R   1 G   6    348     208.76     76.375		0.030430337224557458 | 0.6157911538337644

 R   1 G   7    350     216.66     73.639		0.030430337224557458 | 0.6257911538337644

 R   1 G   8    346     211.76      62.84		0.030430337224557458 | 0.6257911538337644

 R   1 G   9    350     212.94     79.425		0.030430337224557458 | 0.6257911538337644

 R   1 G  10    350     205.54     79.413		0.030430337224557458 | 0.6257911538337644

 R   1 G  11    348     222.82     78.545		0.030430337224557458 | 0.6257911538337644

 R   1 G  12    348      230.5     71.477		0.030430337224557458 | 0.6257911538337644

 R   1 G  13    350      208.6     79.776		0.030430337224557458 | 0.6257911538337644

 R   1 G  14    348     213.46     71.025		0.030430337224557458 | 0.6257911538337644

 R   1 G  15    350     211.14     78.705		0.030430337224557458 | 0.6257911538337644

 R   1 G  16    348     208.24     72.585		0.030430337224557458 | 0.6257911538337644

 R   1 G  17    350     214.24     64.914		0.030430337224557458 | 0.6257911538337644

 R   1 G  18    348     207.74      71.54		0.1085840482977567 | 0.5800982122931841

 R   1 G  19    346     215.04     69.858		0.030430337224557458 | 0.6257911538337644

 R   1 G  20    350      208.8     66.569		0.030430337224557458 | 0.6257911538337644

 R   1 G  21    350      206.7      66.35		0.030430337224557458 | 0.6257911538337644

 R   1 G  22    350     202.72     68.892		0.030430337224557458 | 0.6257911538337644

 R   1 G  23    348     214.36     68.349		0.1085840482977567 | 0.5800982122931841

 R   1 G  24    346     214.98     70.563		0.030430337224557458 | 0.6257911538337644

 R   1 G  25    348     209.34     63.963		0.030430337224557458 | 0.6257911538337644

 R   1 G  26    350     208.34     58.437		0.030430337224557458 | 0.6257911538337644

 R   1 G  27    350      210.8     62.384		0.030430337224557458 | 0.6257911538337644

 R   1 G  28    344     189.92     66.401		0.030430337224557458 | 0.6157911538337644

 R   1 G  29    344     215.86     56.497		0.030430337224557458 | 0.6257911538337644

 R   1 G  30    256      205.6      57.08		0.9924901944388737 | 0.43313463317811696

 R   1 G  31    254     210.56     56.123		0.9824901944388736 | 0.43313463317811696

 R   1 G  32    254     209.34     57.718		0.9824901944388736 | 0.43313463317811696

 R   1 G  33    256     219.94     50.789		0.9824901944388736 | 0.43313463317811696

