Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  100
Generations per Run          :  100
Population Size              :  100
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  4
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.1
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    348     205.64     73.431		0.10070556186895041 | 0.06107305562731147

 R  31 G  14    342     212.08     70.719		0.21690383342884656 | 0.0985026611186478

 R  31 G  15    340      209.8     64.295		0.20690383342884655 | 0.0985026611186478

 R  31 G  16    330     202.78     59.309		0.22690383342884657 | 0.08850266111864781

 R  31 G  17    336     210.28     64.239		0.21690383342884656 | 0.0985026611186478

 R  31 G  18    332     220.54     63.811		0.21690383342884656 | 0.0985026611186478

 R  31 G  19    336     204.58     65.355		0.21690383342884656 | 0.0985026611186478

 R  31 G  20    336     204.22     61.574		0.21690383342884656 | 0.0985026611186478

 R  31 G  21    338     216.24     62.303		0.22690383342884657 | 0.0985026611186478

 R  31 G  22    330      207.7     58.282		0.21690383342884656 | 0.0985026611186478

 R  31 G  23    330     209.52     61.243		0.21690383342884656 | 0.1085026611186478

 R  31 G  24    342      201.2     66.112		0.21690383342884656 | 0.1085026611186478

 R  31 G  25    338     204.66     65.697		0.21690383342884656 | 0.1085026611186478

 R  31 G  26    330     211.86     64.411		0.21690383342884656 | 0.1085026611186478

 R  31 G  27    336     210.76     66.023		0.19690383342884654 | 0.0985026611186478

 R  31 G  28    332     220.54     64.342		0.18690383342884653 | 0.0985026611186478

 R  31 G  29    338      206.4      61.71		0.18690383342884653 | 0.0985026611186478

 R  31 G  30    330     192.32     62.874		0.21690383342884656 | 0.1085026611186478

 R  31 G  31    334     214.18     59.886		0.21690383342884656 | 0.1085026611186478

 R  31 G  32    330     210.32     65.603		0.22690383342884657 | 0.1085026611186478

 R  31 G  33    342     219.56       65.3		0.21690383342884656 | 0.1085026611186478

 R  31 G  34    338      209.3     64.455		0.23690383342884658 | 0.1085026611186478

 R  31 G  35    340      216.2     70.638		0.20690383342884655 | 0.0985026611186478

 R  31 G  36    336     214.32     67.411		0.20690383342884655 | 0.0985026611186478

 R  31 G  37    340      214.8     65.999		0.21690383342884656 | 0.1085026611186478

 R  31 G  38    338     223.86     67.357		0.19690383342884654 | 0.07850266111864782

 R  31 G  39    334      213.6     68.234		0.20690383342884655 | 0.0985026611186478

 R  31 G  40    334     200.98      62.53		0.22690383342884657 | 0.1185026611186478

 R  31 G  41    338     212.88     72.663		0.18690383342884653 | 0.07850266111864782

 R  31 G  42    342      214.9     66.462		0.18690383342884653 | 0.07850266111864782

 R  31 G  43    340      198.2     60.902		0.18690383342884653 | 0.07850266111864782

 R  31 G  44    336     200.66     66.016		0.18690383342884653 | 0.07850266111864782

 R  31 G  45    334     223.92      68.08		0.22690383342884657 | 0.1085026611186478

 R  31 G  46    336     214.98      65.35		0.23690383342884658 | 0.1085026611186478

 R  31 G  47    338     216.56     69.283		0.23690383342884658 | 0.1085026611186478

 R  31 G  48    334     209.14     65.135		0.23690383342884658 | 0.08850266111864781

 R  31 G  49    336     208.88      67.75		0.23690383342884658 | 0.1085026611186478

 R  31 G  50    336     202.56     60.139		0.23690383342884658 | 0.1085026611186478

 R  31 G  51    336     200.36     61.177		0.22690383342884657 | 0.1185026611186478

 R  31 G  52    334     213.04     69.561		0.22690383342884657 | 0.1185026611186478

 R  31 G  53    338     219.44     70.093		0.21690383342884656 | 0.1085026611186478

 R  31 G  54    340     206.34     61.279		0.21690383342884656 | 0.1085026611186478

 R  31 G  55    336     203.42     64.481		0.21690383342884656 | 0.1085026611186478

 R  31 G  56    338     207.46     70.693		0.2469038334288466 | 0.1185026611186478

 R  31 G  57    340     207.84     65.552		0.19690383342884654 | 0.1185026611186478

 R  31 G  58    340     199.66     63.305		0.21690383342884656 | 0.1085026611186478

 R  31 G  59    344     219.86     70.013		0.20690383342884655 | 0.1285026611186478

 R  31 G  60    336     210.76     67.956		0.20690383342884655 | 0.1185026611186478

 R  31 G  61    344     217.68     68.364		0.23690383342884658 | 0.0985026611186478

 R  31 G  62    338     209.58     64.715		0.22690383342884657 | 0.1185026611186478

 R  31 G  63    340     212.96     67.528		0.23690383342884658 | 0.1185026611186478

 R  31 G  64    338     223.52     65.237		0.23690383342884658 | 0.1185026611186478

 R  31 G  65    340     205.76     65.663		0.20690383342884655 | 0.1285026611186478

 R  31 G  66    346      207.7     67.229		0.19690383342884654 | 0.1085026611186478

 R  31 G  67    338     208.64     66.821		0.20690383342884655 | 0.1085026611186478

 R  31 G  68    336     201.86     63.741		0.21690383342884656 | 0.1185026611186478

 R  31 G  69    338     218.58     64.513		0.23690383342884658 | 0.1285026611186478

 R  31 G  70    342     204.44     60.678		0.18690383342884653 | 0.1185026611186478

 R  31 G  71    338     207.02     66.065		0.20690383342884655 | 0.1285026611186478

 R  31 G  72    340     207.72      65.25		0.17690383342884652 | 0.1185026611186478

 R  31 G  73    344      213.6     70.467		0.18690383342884653 | 0.1185026611186478

 R  31 G  74    336      208.2     68.431		0.21690383342884656 | 0.0985026611186478

 R  31 G  75    340     211.44     68.068		0.18690383342884653 | 0.11850266111864781

 R  31 G  76    342     213.22     71.712		0.18690383342884653 | 0.1085026611186478

 R  31 G  77    340      212.5     69.685		0.18690383342884653 | 0.1085026611186478

 R  31 G  78    338     209.54     66.348		0.20690383342884655 | 0.1185026611186478

 R  31 G  79    342     220.14     69.082		0.21690383342884656 | 0.1185026611186478

 R  31 G  80    342     211.26     72.036		0.17690383342884652 | 0.1185026611186478

 R  31 G  81    340     206.34     65.226		0.18690383342884653 | 0.1085026611186478

 R  31 G  82    342     204.64     63.199		0.18690383342884653 | 0.0985026611186478

 R  31 G  83    340     203.14     62.434		0.18690383342884653 | 0.1085026611186478

 R  31 G  84    340      208.0     62.979		0.18690383342884653 | 0.1085026611186478

 R  31 G  85    344     210.54     61.977		0.16690383342884652 | 0.1185026611186478

 R  31 G  86    338     212.58     69.269		0.16690383342884652 | 0.11850266111864781

 R  31 G  87    338     212.52     67.617		0.16690383342884652 | 0.1185026611186478

 R  31 G  88    338     214.98     70.669		0.18690383342884653 | 0.1185026611186478

 R  31 G  89    340      212.7     70.798		0.18690383342884653 | 0.1185026611186478

 R  31 G  90    340      203.6     64.229		0.18690383342884653 | 0.1185026611186478

 R  31 G  91    338      205.8     63.167		0.18690383342884653 | 0.1185026611186478

 R  31 G  92    340     202.98     61.501		0.18690383342884653 | 0.1185026611186478

 R  31 G  93    342     212.16     63.593		0.19690383342884654 | 0.1185026611186478

 R  31 G  94    340     225.28     69.392		0.18690383342884653 | 0.1185026611186478

 R  31 G  95    342      218.5     68.774		0.18690383342884653 | 0.1185026611186478

 R  31 G  96    338     206.18     63.591		0.18690383342884653 | 0.1085026611186478

 R  31 G  97    342      217.5     72.691		0.17690383342884652 | 0.1085026611186478

 R  31 G  98    342     212.66     67.359		0.17690383342884652 | 0.1185026611186478

 R  31 G  99    346     216.38     68.712		0.17690383342884652 | 0.1085026611186478

31     0###################### RawFitness
           0          0          350

 R  32 G   0    338     206.26     74.995		0.12499645229246503 | 0.9759021008024489

 R  32 G   1    336     206.12     63.216		0.12499645229246503 | 0.9759021008024489

 R  32 G   2    332     208.36     63.545		0.24910683485587026 | 0.7469980064775025

 R  32 G   3    348     201.16     73.217		0.020171460948307796 | 0.5501942056890715

 R  32 G   4    324     200.46     69.202		0.3995414339783693 | 0.5979841778347612

 R  32 G   5    326     202.16     72.397		0.3215039077760553 | 0.9218747058443613

 R  32 G   6    316      202.2     76.499		0.3315039077760553 | 0.9218747058443613

 R  32 G   7    322     202.02     75.753		0.3315039077760553 | 0.9318747058443613

 R  32 G   8    314     199.38     80.114		0.3315039077760553 | 0.9318747058443613

 R  32 G   9    316     193.28     76.519		0.4095414339783693 | 0.5979841778347612

 R  32 G  10    320     193.68     77.068		0.4095414339783693 | 0.5979841778347612

 R  32 G  11    320     201.08     80.837		0.4095414339783693 | 0.5779841778347612

 R  32 G  12    316     206.14     83.643		0.3995414339783693 | 0.5979841778347612

 R  32 G  13    318     203.26     72.124		0.4095414339783693 | 0.5979841778347612

 R  32 G  14    320      196.2     76.533		0.4095414339783693 | 0.5879841778347612

 R  32 G  15    326      204.9     72.853		0.4095414339783693 | 0.5879841778347612

 R  32 G  16    324     223.22     75.241		0.4295414339783693 | 0.5779841778347612

 R  32 G  17    320     198.16     76.513		0.38954143397836927 | 0.5879841778347612

 R  32 G  18    322      206.5     74.271		0.4095414339783693 | 0.5779841778347612

 R  32 G  19    322     203.78     73.311		0.4195414339783693 | 0.5779841778347612

 R  32 G  20    322     202.48      70.27		0.4095414339783693 | 0.5779841778347612

 R  32 G  21    324      209.1     68.505		0.38954143397836927 | 0.5979841778347612

 R  32 G  22    322     215.26       71.7		0.4095414339783693 | 0.5779841778347612

 R  32 G  23    320     204.86     76.967		0.3995414339783693 | 0.5779841778347612

 R  32 G  24    322     203.04      77.75		0.3995414339783693 | 0.5679841778347612

 R  32 G  25    326     196.98     73.276		0.37954143397836926 | 0.5979841778347612

 R  32 G  26    322     219.04     71.944		0.37954143397836926 | 0.5979841778347612

 R  32 G  27    326     204.82      76.74		0.35954143397836924 | 0.6079841778347612

 R  32 G  28    328     200.28     71.484		0.35954143397836924 | 0.5979841778347612

 R  32 G  29    322     203.86     73.091		0.37954143397836926 | 0.5979841778347612

 R  32 G  30    320     215.38     71.474		0.3995414339783693 | 0.5779841778347612

 R  32 G  31    320     194.64     71.078		0.37954143397836926 | 0.5779841778347612

 R  32 G  32    328      203.4     73.532		0.37954143397836926 | 0.5979841778347612

 R  32 G  33    322     209.76     75.403		0.36954143397836925 | 0.5979841778347612

 R  32 G  34    328     216.22      67.57		0.38954143397836927 | 0.5779841778347612

 R  32 G  35    322     215.06     75.037		0.37954143397836926 | 0.5779841778347612

 R  32 G  36    326     200.12     77.906		0.38954143397836927 | 0.5679841778347612

 R  32 G  37    328     203.26     82.563		0.3995414339783693 | 0.5879841778347612

 R  32 G  38    324     203.98     78.186		0.37954143397836926 | 0.5879841778347612

 R  32 G  39    326     217.58      67.25		0.38954143397836927 | 0.5879841778347612

 R  32 G  40    320     214.72     67.861		0.3995414339783693 | 0.5879841778347612

 R  32 G  41    328     213.76     78.229		0.38954143397836927 | 0.5779841778347612

 R  32 G  42    322     204.74     71.243		0.3995414339783693 | 0.5979841778347612

 R  32 G  43    326     217.16     71.346		0.36954143397836925 | 0.5979841778347612

 R  32 G  44    318     206.46     63.809		0.38954143397836927 | 0.5779841778347612

 R  32 G  45    324     210.18     76.936		0.37954143397836926 | 0.6179841778347612

 R  32 G  46    330     215.12     71.962		0.36954143397836925 | 0.5879841778347612

 R  32 G  47    328     212.44     74.512		0.36954143397836925 | 0.5879841778347612

 R  32 G  48    324      207.8     81.248		0.3995414339783693 | 0.5879841778347612

 R  32 G  49    322     203.18     69.071		0.37954143397836926 | 0.5779841778347612

 R  32 G  50    322     217.44     74.626		0.37954143397836926 | 0.6179841778347612

 R  32 G  51    328     214.82     75.364		0.38954143397836927 | 0.5879841778347612

 R  32 G  52    324     216.78     70.386		0.37954143397836926 | 0.6179841778347612

 R  32 G  53    324     218.48     72.613		0.37954143397836926 | 0.5679841778347612

 R  32 G  54    326     205.38     72.569		0.37954143397836926 | 0.5879841778347612

 R  32 G  55    320     207.36     65.275		0.36954143397836925 | 0.5879841778347612

 R  32 G  56    324     212.88     74.389		0.3995414339783693 | 0.5779841778347612

 R  32 G  57    326     198.74     74.493		0.4095414339783693 | 0.5679841778347612

 R  32 G  58    322     201.98      71.58		0.38954143397836927 | 0.5679841778347612

 R  32 G  59    318     212.58     75.783		0.36954143397836925 | 0.5879841778347612

 R  32 G  60    320     208.64     70.324		0.4295414339783693 | 0.5879841778347612

 R  32 G  61    320     193.92     82.492		0.38954143397836927 | 0.5679841778347612

 R  32 G  62    322     206.62     72.687		0.3995414339783693 | 0.5879841778347612

 R  32 G  63    324      219.2      67.02		0.4195414339783693 | 0.5879841778347612

 R  32 G  64    320     209.72     75.807		0.37954143397836926 | 0.5879841778347612

 R  32 G  65    324     213.74     74.194		0.3995414339783693 | 0.5879841778347612

 R  32 G  66    316      205.9     68.611		0.36954143397836925 | 0.5879841778347612

 R  32 G  67    322      206.8     71.538		0.3995414339783693 | 0.5879841778347612

 R  32 G  68    320     211.88     68.861		0.4195414339783693 | 0.5879841778347612

 R  32 G  69    324     218.64      71.78		0.3995414339783693 | 0.5779841778347612

 R  32 G  70    316     198.02     72.413		0.3995414339783693 | 0.5779841778347612

 R  32 G  71    332     219.06     71.522		0.36954143397836925 | 0.5879841778347612

 R  32 G  72    322     223.62     71.814		0.4095414339783693 | 0.6179841778347612

 R  32 G  73    326      215.9     71.585		0.3995414339783693 | 0.5779841778347612

 R  32 G  74    324     222.18     78.598		0.36954143397836925 | 0.5779841778347612

 R  32 G  75    326      209.5     72.031		0.36954143397836925 | 0.5679841778347612

 R  32 G  76    322     209.22     71.038		0.36954143397836925 | 0.5879841778347612

 R  32 G  77    318     210.74     63.249		0.36954143397836925 | 0.5879841778347612

 R  32 G  78    322      207.4     75.579		0.36954143397836925 | 0.5879841778347612

 R  32 G  79    326     200.24     70.806		0.35954143397836924 | 0.5879841778347612

 R  32 G  80    324      211.9     58.133		0.34954143397836923 | 0.5879841778347612

 R  32 G  81    324      213.6     71.677		0.37954143397836926 | 0.5779841778347612

 R  32 G  82    322      210.9     69.759		0.36954143397836925 | 0.5879841778347612

 R  32 G  83    316     213.44     68.921		0.36954143397836925 | 0.5979841778347612

 R  32 G  84    322     215.42     73.628		0.35954143397836924 | 0.5679841778347612

 R  32 G  85    326     208.12     71.406		0.35954143397836924 | 0.5779841778347612

 R  32 G  86    324     212.26     71.552		0.36954143397836925 | 0.5879841778347612

 R  32 G  87    322      208.2     69.341		0.34954143397836923 | 0.5779841778347612

 R  32 G  88    328      211.3     70.444		0.35954143397836924 | 0.5779841778347612

 R  32 G  89    320     195.22      72.93		0.34954143397836923 | 0.5779841778347612

 R  32 G  90    318      204.4     75.261		0.4295414339783693 | 0.6179841778347612

 R  32 G  91    326     213.02     65.393		0.4395414339783693 | 0.6079841778347612

 R  32 G  92    316      203.2     69.626		0.34954143397836923 | 0.5679841778347612

 R  32 G  93    322     207.58     69.099		0.4495414339783693 | 0.5979841778347612

 R  32 G  94    322     207.44     66.454		0.4395414339783693 | 0.6179841778347612

 R  32 G  95    316     207.26     74.507		0.4195414339783693 | 0.5979841778347612

 R  32 G  96    322     215.68     67.794		0.36954143397836925 | 0.5879841778347612

 R  32 G  97    324     208.12     70.814		0.4395414339783693 | 0.6079841778347612

 R  32 G  98    320     213.22     72.829		0.36954143397836925 | 0.5879841778347612

 R  32 G  99    318      217.6     78.016		0.4495414339783693 | 0.6079841778347612

32     3###################### RawFitness
           0          0          348

 R  33 G   0    340     205.08     74.702		0.1217828408883338 | 0.6659984431901493

 R  33 G   1    342     214.38     70.969		0.07009324777133574 | 0.4476631110755104

 R  33 G   2    350     222.68     71.197		0.0023564806244766867 | 0.9330115150882855

 R  33 G   3    338      202.3       76.9		0.19173591003957835 | 0.46330040354073687

 R  33 G   4    344     218.22     80.199		0.19173591003957835 | 0.46330040354073687

 R  33 G   5    334     204.14      74.86		0.16929809459772283 | 0.424394277716177

 R  33 G   6    330      205.8     71.133		0.2482065181266654 | 0.1979044051179586

 R  33 G   7    336      202.1     79.084		0.19173591003957835 | 0.46330040354073687

 R  33 G   8    334     191.98     76.669		0.19173591003957835 | 0.46330040354073687

 R  33 G   9    336     206.46     70.209		0.19173591003957835 | 0.46330040354073687

 R  33 G  10    338     192.38     71.787		0.19173591003957835 | 0.46330040354073687

 R  33 G  11    334     205.34     76.892		0.20173591003957836 | 0.46330040354073687

 R  33 G  12    332     215.84     65.358		0.2482065181266654 | 0.18790440511795858

 R  33 G  13    336     186.62     85.055		0.17173591003957833 | 0.44330040354073685

 R  33 G  14    320     194.88     78.876		0.2482065181266654 | 0.18790440511795858

 R  33 G  15    334     204.44     80.415		0.17173591003957833 | 0.44330040354073685

 R  33 G  16    332     203.78     80.241		0.2482065181266654 | 0.18790440511795858

 R  33 G  17    344     206.42     78.518		0.17173591003957833 | 0.44330040354073685

 R  33 G  18    334      200.3     77.162		0.17173591003957833 | 0.45330040354073686

 R  33 G  19    338     197.26     79.054		0.17173591003957833 | 0.45330040354073686

 R  33 G  20    340     198.74      85.78		0.19173591003957835 | 0.43330040354073684

 R  33 G  21    340      213.0     71.345		0.19173591003957835 | 0.43330040354073684

 R  33 G  22    334      211.8     69.384		0.19173591003957835 | 0.43330040354073684

 R  33 G  23    336     207.08     75.455		0.19173591003957835 | 0.43330040354073684

 R  33 G  24    334     193.84     75.982		0.19173591003957835 | 0.44330040354073685

 R  33 G  25    334     203.12     75.085		0.18173591003957834 | 0.44330040354073685

 R  33 G  26    330      204.4     70.655		0.19173591003957835 | 0.44330040354073685

 R  33 G  27    334     214.58     68.265		0.19173591003957835 | 0.44330040354073685

 R  33 G  28    332     203.08     72.253		0.19173591003957835 | 0.44330040354073685

 R  33 G  29    326     191.78     74.478		0.19173591003957835 | 0.44330040354073685

 R  33 G  30    338      199.5     76.319		0.19173591003957835 | 0.45330040354073686

 R  33 G  31    328     199.04     71.508		0.20173591003957836 | 0.45330040354073686

 R  33 G  32    278     197.46     68.624		0.8136039460561987 | 0.7510945871523649

 R  33 G  33    290     205.72     70.559		0.8136039460561987 | 0.7610945871523649

 R  33 G  34    280      202.8     72.016		0.7736039460561986 | 0.7310945871523649

 R  33 G  35    280     192.36     73.526		0.7936039460561987 | 0.7210945871523649

 R  33 G  36    282     195.02      72.99		0.7836039460561987 | 0.7310945871523649

 R  33 G  37    278     195.08      78.74		0.7836039460561987 | 0.7310945871523649

 R  33 G  38    286      190.8     74.856		0.7836039460561987 | 0.7410945871523649

 R  33 G  39    290     211.64      69.83		0.7636039460561986 | 0.7210945871523649

 R  33 G  40    290     202.64     68.659		0.7636039460561986 | 0.7210945871523649

 R  33 G  41    288     214.24     70.267		0.7836039460561987 | 0.7310945871523649

 R  33 G  42    282     199.64     72.795		0.7836039460561987 | 0.7310945871523649

 R  33 G  43    288     210.96     64.814		0.7636039460561986 | 0.7310945871523649

 R  33 G  44    276     191.84      71.63		0.8236039460561987 | 0.7410945871523649

 R  33 G  45    282     202.66     75.591		0.7736039460561986 | 0.7310945871523649

 R  33 G  46    282     198.98     73.537		0.7636039460561986 | 0.7010945871523648

 R  33 G  47    286     191.02     76.307		0.7536039460561986 | 0.7010945871523648

 R  33 G  48    284     196.62     74.837		0.7736039460561986 | 0.7410945871523649

 R  33 G  49    278      198.5      70.28		0.8336039460561987 | 0.7210945871523649

 R  33 G  50    282     205.54     69.827		0.7636039460561986 | 0.6810945871523648

 R  33 G  51    280     205.14     71.305		0.8236039460561987 | 0.7210945871523649

 R  33 G  52    274     188.56     73.836		0.8436039460561987 | 0.7210945871523649

 R  33 G  53    280     206.84     71.272		0.7536039460561986 | 0.6810945871523648

 R  33 G  54    286      195.3     70.801		0.7636039460561986 | 0.6710945871523648

 R  33 G  55    288     200.08     69.743		0.7536039460561986 | 0.6810945871523648

 R  33 G  56    280      208.6     68.871		0.7536039460561986 | 0.7010945871523648

 R  33 G  57    280     201.16     66.689		0.7536039460561986 | 0.6910945871523648

 R  33 G  58    276     195.74     78.026		0.7536039460561986 | 0.6910945871523648

 R  33 G  59    284     200.74     70.263		0.8236039460561987 | 0.7210945871523649

 R  33 G  60    284     205.38     66.001		0.7436039460561986 | 0.7110945871523648

 R  33 G  61    284      202.7     75.769		0.7536039460561986 | 0.7010945871523648

 R  33 G  62    278      212.5      70.99		0.8236039460561987 | 0.7210945871523649

 R  33 G  63    282     205.58     76.039		0.7536039460561986 | 0.6810945871523648

 R  33 G  64    276     193.58     74.267		0.7636039460561986 | 0.6710945871523648

 R  33 G  65    290     205.36     73.898		0.7536039460561986 | 0.6810945871523648

 R  33 G  66    292     196.52     69.945		0.7536039460561986 | 0.6810945871523648

 R  33 G  67    284     200.72     71.833		0.7536039460561986 | 0.6910945871523648

 R  33 G  68    284     205.48     71.453		0.7536039460561986 | 0.6710945871523648

 R  33 G  69    282     211.28     68.022		0.7436039460561986 | 0.6810945871523648

 R  33 G  70    280     196.32     71.853		0.7536039460561986 | 0.6710945871523648

 R  33 G  71    290     200.56     72.743		0.7536039460561986 | 0.6910945871523648

 R  33 G  72    282     203.76      70.96		0.7436039460561986 | 0.6810945871523648

 R  33 G  73    286     218.12     62.375		0.7536039460561986 | 0.6810945871523648

 R  33 G  74    290      201.9     73.584		0.7436039460561986 | 0.6810945871523648

 R  33 G  75    286     212.76     64.808		0.7436039460561986 | 0.6810945871523648

 R  33 G  76    280     198.92     69.106		0.7636039460561986 | 0.6510945871523648

 R  33 G  77    282     203.02     67.685		0.7536039460561986 | 0.6810945871523648

 R  33 G  78    290     206.56     70.862		0.7636039460561986 | 0.6910945871523648

 R  33 G  79    288     193.48     69.679		0.7636039460561986 | 0.6910945871523648

 R  33 G  80    288     201.88     70.775		0.7536039460561986 | 0.6810945871523648

 R  33 G  81    292     209.76      70.39		0.7636039460561986 | 0.6810945871523648

 R  33 G  82    286     187.14      75.89		0.7536039460561986 | 0.7010945871523648

 R  33 G  83    282      199.7      66.97		0.7436039460561986 | 0.6710945871523648

 R  33 G  84    286      201.6     74.891		0.7436039460561986 | 0.6610945871523648

 R  33 G  85    288     210.54     74.233		0.7536039460561986 | 0.6910945871523648

 R  33 G  86    288     220.48     61.346		0.7436039460561986 | 0.6710945871523648

 R  33 G  87    282     210.64      65.04		0.7536039460561986 | 0.6910945871523648

 R  33 G  88    282     205.22     70.617		0.7436039460561986 | 0.7010945871523648

 R  33 G  89    288     209.56     70.489		0.7536039460561986 | 0.7010945871523648

 R  33 G  90    280     210.86     66.873		0.7536039460561986 | 0.6710945871523648

 R  33 G  91    286     213.44     66.941		0.7736039460561986 | 0.6810945871523648

 R  33 G  92    288     207.74     66.712		0.7636039460561986 | 0.7110945871523648

 R  33 G  93    282     213.04     66.405		0.7736039460561986 | 0.6810945871523648

 R  33 G  94    290     219.16     60.558		0.7636039460561986 | 0.6710945871523648

 R  33 G  95    288     208.34     69.943		0.7236039460561986 | 0.6810945871523648

 R  33 G  96    290     214.02     65.697		0.7236039460561986 | 0.6810945871523648

 R  33 G  97    292     194.38     77.252		0.7636039460561986 | 0.6810945871523648

 R  33 G  98    284      208.5     70.627		0.7836039460561987 | 0.6810945871523648

 R  33 G  99    286      206.2     68.607		0.7636039460561986 | 0.6810945871523648

33     2###################### RawFitness
           0          0          350

 R  34 G   0    350      208.0     63.308		0.004475570147585484 | 0.32441289303513754

 R  34 G   1    350     210.14     71.455		0.0 | 0.32441289303513754

 R  34 G   2    350     204.48     70.285		0.004475570147585484 | 0.32441289303513754

 R  34 G   3    350     211.46     61.813		0.004475570147585484 | 0.32441289303513754

 R  34 G   4    350     210.18     65.375		0.004475570147585484 | 0.32441289303513754

 R  34 G   5    314      204.1     59.767		0.3281611125603334 | 0.3438174602109889

 R  34 G   6    350     200.58     67.089		0.01 | 0.32441289303513754

 R  34 G   7    322      202.5      69.53		0.3281611125603334 | 0.3438174602109889

 R  34 G   8    322     211.42     62.805		0.3281611125603334 | 0.3438174602109889

 R  34 G   9    328     198.82     68.562		0.3281611125603334 | 0.3538174602109889

 R  34 G  10    322     200.36     65.255		0.3281611125603334 | 0.3438174602109889

 R  34 G  11    314      214.2     60.242		0.4421957578713972 | 0.08896270705780221

 R  34 G  12    292     220.48     57.293		0.5439651011859189 | 0.7528459446598813

 R  34 G  13    298      209.0     64.091		0.5439651011859189 | 0.7528459446598813

 R  34 G  14    302     211.08     62.642		0.6025780166690999 | 0.1857244959492047

 R  34 G  15    312      212.7     64.635		0.5439651011859189 | 0.7528459446598813

 R  34 G  16    298     209.12     62.763		0.6025780166690999 | 0.1857244959492047

 R  34 G  17    308     209.46     62.185		0.6025780166690999 | 0.1857244959492047

 R  34 G  18    292     210.26     68.636		0.6025780166690999 | 0.1757244959492047

 R  34 G  19    296      204.2     61.116		0.5925780166690999 | 0.1957244959492047

 R  34 G  20    302     209.78     65.054		0.6125780166691 | 0.1857244959492047

 R  34 G  21    300     216.66      62.03		0.6025780166690999 | 0.1757244959492047

 R  34 G  22    302     211.62     64.998		0.5925780166690999 | 0.1757244959492047

 R  34 G  23    298     207.38      63.27		0.6025780166690999 | 0.1957244959492047

 R  34 G  24    298      210.4     61.204		0.6025780166690999 | 0.1757244959492047

 R  34 G  25    302      216.0     59.576		0.5925780166690999 | 0.1757244959492047

 R  34 G  26    300     206.88     63.355		0.6025780166690999 | 0.1757244959492047

 R  34 G  27    304     215.36     63.984		0.6025780166690999 | 0.1857244959492047

 R  34 G  28    302     210.64     64.495		0.5825780166690999 | 0.1757244959492047

 R  34 G  29    292     211.98     59.996		0.6025780166690999 | 0.1757244959492047

 R  34 G  30    304     217.74     64.183		0.5925780166690999 | 0.1757244959492047

 R  34 G  31    310     211.44     66.488		0.5925780166690999 | 0.1757244959492047

 R  34 G  32    290     208.82     60.909		0.5925780166690999 | 0.1757244959492047

 R  34 G  33    292     208.52     70.281		0.6025780166690999 | 0.1757244959492047

 R  34 G  34    302     209.12     66.569		0.5925780166690999 | 0.1857244959492047

 R  34 G  35    300     206.54     67.958		0.5925780166690999 | 0.1857244959492047

 R  34 G  36    298     198.98     73.389		0.5725780166690999 | 0.1857244959492047

 R  34 G  37    294     208.68     64.149		0.6025780166690999 | 0.1657244959492047

 R  34 G  38    296      195.8     71.192		0.5825780166690999 | 0.1857244959492047

 R  34 G  39    286     210.12     66.346		0.759992331934024 | 0.6766447798244626

 R  34 G  40    296     207.56     69.204		0.5825780166690999 | 0.1757244959492047

 R  34 G  41    288     202.76      70.05		0.759992331934024 | 0.6766447798244626

 R  34 G  42    298     207.86     64.246		0.6125780166691 | 0.14572449594920467

 R  34 G  43    304     198.14     68.385		0.6125780166691 | 0.14572449594920467

 R  34 G  44    296      206.8     65.695		0.6025780166690999 | 0.15572449594920468

 R  34 G  45    286      202.6     61.928		0.6125780166691 | 0.1657244959492047

 R  34 G  46    298     206.88     67.778		0.6025780166690999 | 0.15572449594920468

 R  34 G  47    302     198.52      74.64		0.6025780166690999 | 0.15572449594920468

 R  34 G  48    300      206.0     71.962		0.6025780166690999 | 0.14572449594920467

 R  34 G  49    296     208.62     68.426		0.6325780166691 | 0.1657244959492047

 R  34 G  50    298     214.06     64.535		0.6125780166691 | 0.13572449594920466

 R  34 G  51    296     198.92     73.245		0.6325780166691 | 0.1657244959492047

 R  34 G  52    298     210.34     61.936		0.6025780166690999 | 0.12572449594920465

 R  34 G  53    288     212.18     63.109		0.6325780166691 | 0.1657244959492047

 R  34 G  54    290      210.6     64.299		0.6125780166691 | 0.14572449594920467

 R  34 G  55    290      203.6     71.417		0.6325780166691 | 0.15572449594920468

