Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  100
Generations per Run          :  100
Population Size              :  100
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  4
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.1
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    348      205.6     73.457		0.10070556186895041 | 0.06107305562731147
 R   1 G  74    348     218.08     78.064		0.07043033722455747 | 0.6057911538337644

 R   1 G  75    350     231.06     79.368		0.060430337224557464 | 0.6057911538337644

 R   1 G  76    350     225.64      86.24		0.060430337224557464 | 0.6157911538337644

 R   1 G  77    348     221.54     80.864		0.10043033722455745 | 0.6157911538337644

 R   1 G  78    350     211.24     80.549		0.060430337224557464 | 0.5857911538337643

 R   1 G  79    350     226.48     85.255		0.07043033722455747 | 0.6057911538337644

 R   1 G  80    350     204.68     83.405		0.07043033722455747 | 0.6057911538337644

 R   1 G  81    350     217.44     83.971		0.07043033722455747 | 0.5957911538337644

 R   1 G  82    348      204.3     85.106		0.07043033722455747 | 0.5957911538337644

 R   1 G  83    350     220.66     77.957		0.07043033722455747 | 0.5957911538337644

 R   1 G  84    348     210.02     78.739		0.07043033722455747 | 0.5957911538337644

 R   1 G  85    350     214.46     72.724		0.08043033722455746 | 0.5957911538337644

 R   1 G  86    348     210.14     69.154		0.060430337224557464 | 0.6157911538337644

 R   1 G  87    350     228.08     76.449		0.07043033722455747 | 0.6157911538337644

 R   1 G  88    350     223.96     84.092		0.060430337224557464 | 0.6057911538337644

 R   1 G  89    348     208.14     80.481		0.060430337224557464 | 0.6057911538337644

 R   1 G  90    348      192.6      85.97		0.060430337224557464 | 0.6057911538337644

 R   1 G  91    350     215.04     79.864		0.05043033722455746 | 0.6157911538337644

 R   1 G  92    350     221.12     87.517		0.04043033722455746 | 0.6157911538337644

 R   1 G  93    350      209.4      74.34		0.07043033722455747 | 0.5957911538337644

 R   1 G  94    348     203.74     74.553		0.060430337224557464 | 0.6257911538337644

 R   1 G  95    348     204.88     89.163		0.05043033722455746 | 0.6057911538337644

 R   1 G  96    350     208.18     77.757		0.05043033722455746 | 0.6157911538337644

 R   1 G  97    350     216.04     82.222		0.04043033722455746 | 0.6157911538337644

 R   1 G  98    350     213.82     86.087		0.060430337224557464 | 0.5957911538337644

 R   1 G  99    350     210.98      86.22		0.07043033722455747 | 0.6057911538337644

1      1###################### RawFitness
           0          0          350

 R   2 G   0    348     215.84     75.448		0.013513502409220446 | 0.5338724647806633

 R   2 G   1    350     212.42     67.188		0.011057111906448425 | 0.9793840132151236

 R   2 G   2    348     199.54     70.778		0.11534797283742537 | 0.6058285774267621

 R   2 G   3    342     205.32     68.421		0.11534797283742537 | 0.6058285774267621

 R   2 G   4    346     201.58     76.824		0.11534797283742537 | 0.6058285774267621

 R   2 G   5    344     218.98     60.743		0.11534797283742537 | 0.6058285774267621

 R   2 G   6    344      205.3     75.257		0.11534797283742537 | 0.6158285774267621

 R   2 G   7    348     200.16     76.526		0.11534797283742537 | 0.6058285774267621

 R   2 G   8    340     202.26      75.58		0.11534797283742537 | 0.6158285774267621

 R   2 G   9    344     206.38     71.897		0.10534797283742538 | 0.6058285774267621

 R   2 G  10    342     199.84     72.005		0.10534797283742538 | 0.6058285774267621

 R   2 G  11    346     209.58     81.148		0.10534797283742538 | 0.6358285774267621

 R   2 G  12    342     212.04     76.801		0.11534797283742537 | 0.6258285774267621

 R   2 G  13    346     221.28     75.411		0.09534797283742538 | 0.6058285774267621

 R   2 G  14    340     211.92     74.355		0.1353479728374254 | 0.6158285774267621

 R   2 G  15    342     202.12     76.884		0.1353479728374254 | 0.6158285774267621

 R   2 G  16    348      204.9     66.906		0.10534797283742538 | 0.6058285774267621

 R   2 G  17    344     221.58     70.259		0.1353479728374254 | 0.6158285774267621

 R   2 G  18    342     208.48     67.473		0.1353479728374254 | 0.6258285774267621

 R   2 G  19    340     209.78     64.934		0.12534797283742538 | 0.6158285774267621

 R   2 G  20    350     207.76     64.337		0.10534797283742538 | 0.6058285774267621

 R   2 G  21    342     222.62     63.352		0.10534797283742538 | 0.6058285774267621

 R   2 G  22    346     216.54     70.375		0.12534797283742538 | 0.6158285774267621

 R   2 G  23    342     204.56     69.531		0.12534797283742538 | 0.6158285774267621

 R   2 G  24    340     195.72     70.033		0.12534797283742538 | 0.6158285774267621

 R   2 G  25    348     201.48     72.408		0.10534797283742538 | 0.5958285774267621

 R   2 G  26    274     208.02     65.168		0.8405237314689333 | 0.663830952951382

 R   2 G  27    282     198.12     72.184		0.8305237314689333 | 0.663830952951382

 R   2 G  28    274     210.64     65.158		0.8405237314689333 | 0.673830952951382

 R   2 G  29    276     195.52     70.415		0.8605237314689334 | 0.663830952951382

 R   2 G  30    276     199.66      73.11		0.8505237314689333 | 0.673830952951382

 R   2 G  31    278      198.6     71.457		0.8505237314689333 | 0.683830952951382

 R   2 G  32    272     205.28     70.729		0.8605237314689334 | 0.6538309529513819

 R   2 G  33    274     215.18     62.413		0.8605237314689334 | 0.663830952951382

 R   2 G  34    276     215.66     59.863		0.8405237314689333 | 0.6538309529513819

 R   2 G  35    272     212.14     59.043		0.8405237314689333 | 0.6538309529513819

 R   2 G  36    280      192.8     75.185		0.8505237314689333 | 0.683830952951382

 R   2 G  37    270      203.2     68.878		0.8805237314689334 | 0.663830952951382

 R   2 G  38    278     202.08     70.247		0.8605237314689334 | 0.6538309529513819

 R   2 G  39    276     189.32     75.319		0.8605237314689334 | 0.683830952951382

 R   2 G  40    272      196.1     70.167		0.8405237314689333 | 0.673830952951382

 R   2 G  41    274      196.8      70.23		0.8505237314689333 | 0.663830952951382

 R   2 G  42    270      205.8     68.907		0.8605237314689334 | 0.6538309529513819

 R   2 G  43    272     211.88     60.771		0.8505237314689333 | 0.683830952951382

 R   2 G  44    274     202.44     67.683		0.8405237314689333 | 0.673830952951382

 R   2 G  45    270     195.72     69.425		0.8505237314689333 | 0.673830952951382

 R   2 G  46    272     212.66     62.333		0.8705237314689334 | 0.703830952951382

 R   2 G  47    278     207.58      67.39		0.8405237314689333 | 0.673830952951382

 R   2 G  48    274     204.22     66.321		0.8605237314689334 | 0.673830952951382

 R   2 G  49    272     210.34     65.249		0.8405237314689333 | 0.673830952951382

 R   2 G  50    272     190.44     77.163		0.8605237314689334 | 0.6538309529513819

 R   2 G  51    272     201.56     69.225		0.8605237314689334 | 0.6538309529513819

 R   2 G  52    274     213.28     62.256		0.8605237314689334 | 0.703830952951382

 R   2 G  53    272     196.92      69.39		0.8605237314689334 | 0.693830952951382

 R   2 G  54    272     201.78     72.129		0.8605237314689334 | 0.693830952951382

 R   2 G  55    276     198.98     75.266		0.8605237314689334 | 0.663830952951382

 R   2 G  56    280     213.06     67.619		0.8505237314689333 | 0.693830952951382

 R   2 G  57    272     206.58     70.728		0.8705237314689334 | 0.703830952951382

 R   2 G  58    268     196.82     67.311		0.8605237314689334 | 0.693830952951382

 R   2 G  59    270     213.42     63.744		0.8905237314689334 | 0.683830952951382

 R   2 G  60    274     205.64     72.151		0.8505237314689333 | 0.703830952951382

 R   2 G  61    272     201.46     70.882		0.8405237314689333 | 0.673830952951382

 R   2 G  62    274      211.8     64.684		0.8505237314689333 | 0.703830952951382

 R   2 G  63    274     194.28     73.358		0.8605237314689334 | 0.663830952951382

 R   2 G  64    272      189.6     71.415		0.8505237314689333 | 0.6538309529513819

 R   2 G  65    272     208.26     68.304		0.8505237314689333 | 0.673830952951382

 R   2 G  66    272     209.26     65.603		0.8505237314689333 | 0.663830952951382

 R   2 G  67    270     199.18     71.154		0.8505237314689333 | 0.663830952951382

 R   2 G  68    270      196.3       75.5		0.8505237314689333 | 0.663830952951382

 R   2 G  69    274     203.16      71.11		0.8705237314689334 | 0.673830952951382

 R   2 G  70    274     205.88      69.06		0.8505237314689333 | 0.663830952951382

 R   2 G  71    272     199.88     72.717		0.8705237314689334 | 0.673830952951382

 R   2 G  72    274     201.06       68.3		0.8705237314689334 | 0.6438309529513819

 R   2 G  73    276     204.66     65.975		0.8605237314689334 | 0.673830952951382

 R   2 G  74    270      201.1     66.978		0.8705237314689334 | 0.673830952951382

 R   2 G  75    270     209.06       63.6		0.8905237314689334 | 0.673830952951382

 R   2 G  76    270     199.88     68.741		0.8605237314689334 | 0.663830952951382

 R   2 G  77    274     203.38      66.13		0.8705237314689334 | 0.673830952951382

 R   2 G  78    272     206.48     68.392		0.8605237314689334 | 0.663830952951382

 R   2 G  79    270     202.12     71.621		0.8605237314689334 | 0.663830952951382

 R   2 G  80    274     205.44     70.395		0.8605237314689334 | 0.663830952951382

 R   2 G  81    272     205.78     64.645		0.8605237314689334 | 0.683830952951382

 R   2 G  82    276     201.62      69.08		0.8505237314689333 | 0.663830952951382

 R   2 G  83    274     192.64      71.12		0.8605237314689334 | 0.663830952951382

 R   2 G  84    276     203.84     66.928		0.8505237314689333 | 0.673830952951382

 R   2 G  85    270      197.2      68.48		0.8605237314689334 | 0.6538309529513819

 R   2 G  86    272     203.68     70.732		0.8605237314689334 | 0.663830952951382

 R   2 G  87    276     206.88     69.806		0.8705237314689334 | 0.6538309529513819

 R   2 G  88    276     208.18     69.919		0.8705237314689334 | 0.6538309529513819

 R   2 G  89    272     207.68     66.808		0.8805237314689334 | 0.663830952951382

 R   2 G  90    276     199.18     75.465		0.8805237314689334 | 0.663830952951382

 R   2 G  91    270     202.46     68.857		0.8605237314689334 | 0.6538309529513819

 R   2 G  92    272      208.3     66.095		0.8705237314689334 | 0.663830952951382

 R   2 G  93    270     203.46     65.316		0.8605237314689334 | 0.6438309529513819

 R   2 G  94    274     205.34     66.358		0.8705237314689334 | 0.6438309529513819

 R   2 G  95    270     204.34     68.881		0.8805237314689334 | 0.663830952951382

 R   2 G  96    272     201.58     67.673		0.8705237314689334 | 0.6438309529513819

 R   2 G  97    274      194.1     70.527		0.8705237314689334 | 0.6438309529513819

 R   2 G  98    276     199.44     72.198		0.8705237314689334 | 0.663830952951382

 R   2 G  99    274      186.5     71.088		0.8705237314689334 | 0.6438309529513819

2      1###################### RawFitness
           0          0          350

 R   3 G   0    350     211.52      66.73		0.006380454120247903 | 0.5705298484301742

 R   3 G   1    344     199.24     74.372		0.04737731576371895 | 0.12866049157943604

 R   3 G   2    350     203.58     74.919		0.010844934930899339 | 0.541215288744476

 R   3 G   3    350     210.32     74.082		0.024719007302993916 | 0.47167263025114314

 R   3 G   4    350     213.72     78.105		0.014719007302993916 | 0.47167263025114314

 R   3 G   5    350     211.12     67.762		0.010844934930899339 | 0.531215288744476

 R   3 G   6    350      196.2     76.245		0.024719007302993916 | 0.48167263025114315

 R   3 G   7    346     203.88     76.798		0.024719007302993916 | 0.48167263025114315

 R   3 G   8    330     205.68     71.148		0.34537232882853885 | 0.020816569354236154

 R   3 G   9    340     196.92      73.66		0.22258386720075074 | 0.9972884191061869

 R   3 G  10    332     212.08     74.853		0.23258386720075075 | 0.9872884191061869

 R   3 G  11    332      198.2     75.394		0.23258386720075075 | 0.9972884191061869

 R   3 G  12    338     206.82      82.64		0.23258386720075075 | 0.9872884191061869

 R   3 G  13    334     198.34     74.727		0.22258386720075074 | 0.9972884191061869

 R   3 G  14    334     199.12     69.455		0.22258386720075074 | 0.9972884191061869

 R   3 G  15    338     200.48     87.279		0.23258386720075075 | 1.0

 R   3 G  16    334     201.62     83.166		0.23258386720075075 | 0.9872884191061869

 R   3 G  17    342     195.54     89.937		0.22258386720075074 | 0.9972884191061869

 R   3 G  18    342     203.04     82.631		0.23258386720075075 | 0.9972884191061869

 R   3 G  19    336     216.18     78.725		0.22258386720075074 | 0.9972884191061869

 R   3 G  20    344      207.6      79.47		0.23258386720075075 | 0.9972884191061869

 R   3 G  21    340     196.06     79.172		0.21258386720075073 | 0.99

 R   3 G  22    332     209.34     76.742		0.24258386720075076 | 0.9972884191061869

 R   3 G  23    334     211.08     78.803		0.21258386720075073 | 0.99

 R   3 G  24    334     208.36     70.745		0.23258386720075075 | 0.9972884191061869

 R   3 G  25    340      204.0      78.71		0.23258386720075075 | 0.9872884191061869

 R   3 G  26    330     201.06     75.599		0.23258386720075075 | 0.9972884191061869

 R   3 G  27    336     203.74     82.399		0.23258386720075075 | 0.9972884191061869

 R   3 G  28    336     210.08      79.44		0.23258386720075075 | 0.9772884191061869

 R   3 G  29    338     204.26     88.586		0.22258386720075074 | 0.9972884191061869

 R   3 G  30    336     203.18     78.337		0.22258386720075074 | 0.9972884191061869

 R   3 G  31    336     197.74     76.564		0.23258386720075075 | 0.9672884191061869

 R   3 G  32    338     216.24      73.58		0.23258386720075075 | 0.9772884191061869

 R   3 G  33    332     204.28     75.363		0.23258386720075075 | 0.9772884191061869

 R   3 G  34    336     211.78     75.799		0.24258386720075076 | 0.9772884191061869

 R   3 G  35    334     185.86     80.929		0.22258386720075074 | 0.9772884191061869

 R   3 G  36    344      205.9     77.745		0.24258386720075076 | 0.9972884191061869

 R   3 G  37    334     180.44      84.34		0.24258386720075076 | 0.9972884191061869

 R   3 G  38    336     200.94     76.553		0.24258386720075076 | 0.9872884191061869

 R   3 G  39    332      200.1     77.486		0.24258386720075076 | 0.9872884191061869

 R   3 G  40    334     211.32     72.623		0.23258386720075075 | 1.0

 R   3 G  41    330     199.02     70.577		0.23258386720075075 | 1.0

 R   3 G  42    336     212.82     72.871		0.24258386720075076 | 0.9872884191061869

 R   3 G  43    334     212.68     72.434		0.24258386720075076 | 0.9872884191061869

 R   3 G  44    330     198.84     73.316		0.23258386720075075 | 0.9972884191061869

 R   3 G  45    336     206.72     67.397		0.24258386720075076 | 0.9872884191061869

 R   3 G  46    328      206.8     68.477		0.24258386720075076 | 0.9872884191061869

 R   3 G  47    334      206.0     59.885		0.23258386720075075 | 0.9772884191061869

 R   3 G  48    332     207.16     64.869		0.23258386720075075 | 0.9872884191061869

 R   3 G  49    340     200.92     72.483		0.23258386720075075 | 0.9872884191061869

 R   3 G  50    326     196.72     65.631		0.24258386720075076 | 0.9772884191061869

 R   3 G  51    334     199.54     68.765		0.24258386720075076 | 0.9872884191061869

 R   3 G  52    334      199.0     64.886		0.23258386720075075 | 0.9872884191061869

 R   3 G  53    326     197.58     67.102		0.24258386720075076 | 0.9872884191061869

 R   3 G  54    318     219.06     53.728		0.23258386720075075 | 0.9972884191061869

 R   3 G  55    330     203.24     60.788		0.24258386720075076 | 0.9872884191061869

 R   3 G  56    258     205.54     55.953		0.9791224113402727 | 0.4129563405688149

 R   3 G  57    262     194.76       65.7		0.9591224113402727 | 0.3929563405688149

 R   3 G  58    258     205.38     57.884		0.9691224113402727 | 0.3929563405688149

 R   3 G  59    258     210.14     59.292		0.9791224113402727 | 0.4129563405688149

 R   3 G  60    262     210.24     56.518		0.9691224113402727 | 0.4029563405688149

 R   3 G  61    258     205.74      60.28		0.9491224113402726 | 0.3929563405688149

 R   3 G  62    260     210.08     55.177		0.9591224113402727 | 0.4029563405688149

 R   3 G  63    258     203.76     58.749		0.9591224113402727 | 0.4129563405688149

 R   3 G  64    256      188.9     61.591		0.9791224113402727 | 0.4229563405688149

 R   3 G  65    258     192.88     59.706		0.9591224113402727 | 0.4129563405688149

 R   3 G  66    258     202.38     55.772		0.9591224113402727 | 0.4129563405688149

 R   3 G  67    258     211.98     53.393		0.9691224113402727 | 0.4229563405688149

 R   3 G  68    260     208.36     55.992		0.9391224113402726 | 0.4129563405688149

 R   3 G  69    258     204.86     61.048		0.9791224113402727 | 0.4229563405688149

 R   3 G  70    260     208.88     54.488		0.9491224113402726 | 0.4129563405688149

 R   3 G  71    262     203.68     61.537		0.9491224113402726 | 0.4129563405688149

 R   3 G  72    256     198.94     58.717		0.9491224113402726 | 0.4129563405688149

 R   3 G  73    260     203.64     58.565		0.9591224113402727 | 0.4129563405688149

