Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  100
Generations per Run          :  100
Population Size              :  100
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  4
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.1
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    348      205.6     73.457		0.10070556186895041 | 0.06107305562731147

 R  30 G  46    320     200.48      83.32		0.4180292015116528 | 0.8959491571386959

 R  30 G  47    318     203.32      83.97		0.4180292015116528 | 0.8959491571386959

 R  30 G  48    318     195.42      85.13		0.4180292015116528 | 0.8959491571386959

 R  30 G  49    316      199.6      80.49		0.4180292015116528 | 0.8959491571386959

 R  30 G  50    316     192.44     87.658		0.4080292015116528 | 0.8859491571386959

 R  30 G  51    322     209.68     83.774		0.4380292015116528 | 0.8659491571386959

 R  30 G  52    322      207.3     81.168		0.45802920151165283 | 0.8759491571386959

 R  30 G  53    318     204.46     83.038		0.4080292015116528 | 0.8959491571386959

 R  30 G  54    316     206.62     82.752		0.4180292015116528 | 0.8859491571386959

 R  30 G  55    316     214.68     78.157		0.46802920151165284 | 0.8859491571386959

 R  30 G  56    326     191.76     87.734		0.4180292015116528 | 0.905949157138696

 R  30 G  57    318     181.54     87.577		0.45802920151165283 | 0.8859491571386959

 R  30 G  58    316     201.58     79.012		0.45802920151165283 | 0.8859491571386959

 R  30 G  59    318     212.54     79.659		0.3980292015116528 | 0.8959491571386959

 R  30 G  60    318     204.18     84.257		0.4080292015116528 | 0.905949157138696

 R  30 G  61    318     213.82     78.155		0.38802920151165277 | 0.905949157138696

 R  30 G  62    322      213.1     75.024		0.3980292015116528 | 0.8959491571386959

 R  30 G  63    318     195.68     79.356		0.37802920151165276 | 0.915949157138696

 R  30 G  64    328     209.48     76.333		0.38802920151165277 | 0.915949157138696

 R  30 G  65    320     208.54     79.542		0.45802920151165283 | 0.8659491571386959

 R  30 G  66    316     213.04     82.025		0.45802920151165283 | 0.8659491571386959

 R  30 G  67    324     209.98      87.81		0.4180292015116528 | 0.8959491571386959

 R  30 G  68    320     207.46     81.809		0.38802920151165277 | 0.915949157138696

 R  30 G  69    320     204.96     87.405		0.38802920151165277 | 0.905949157138696

 R  30 G  70    320     214.16     79.154		0.3980292015116528 | 0.905949157138696

 R  30 G  71    326     206.84     85.863		0.4180292015116528 | 0.8859491571386959

 R  30 G  72    320     203.78     88.244		0.38802920151165277 | 0.935949157138696

 R  30 G  73    314     200.76     87.333		0.3980292015116528 | 0.905949157138696

 R  30 G  74    322     207.56     82.408		0.3980292015116528 | 0.905949157138696

 R  30 G  75    328     211.26     79.758		0.37802920151165276 | 0.925949157138696

 R  30 G  76    326     211.22      82.36		0.38802920151165277 | 0.925949157138696

 R  30 G  77    318     211.76     80.557		0.38802920151165277 | 0.915949157138696

 R  30 G  78    320     191.56     86.752		0.38802920151165277 | 0.915949157138696

 R  30 G  79    320     192.98     91.013		0.38802920151165277 | 0.905949157138696

 R  30 G  80    320     211.38     85.259		0.38802920151165277 | 0.915949157138696

 R  30 G  81    322     205.74     78.495		0.4080292015116528 | 0.8959491571386959

 R  30 G  82    322      212.4     83.852		0.4080292015116528 | 0.915949157138696

 R  30 G  83    324      218.5     86.513		0.38802920151165277 | 0.925949157138696

 R  30 G  84    320     200.36      84.09		0.38802920151165277 | 0.935949157138696

 R  30 G  85    324     197.56     86.471		0.37802920151165276 | 0.935949157138696

 R  30 G  86    324     199.32       92.1		0.36802920151165275 | 0.935949157138696

 R  30 G  87    322      205.5     80.193		0.38802920151165277 | 0.925949157138696

 R  30 G  88    322     220.04     76.455		0.38802920151165277 | 0.915949157138696

 R  30 G  89    326     205.82     78.014		0.4080292015116528 | 0.905949157138696

 R  30 G  90    322      205.1     82.353		0.37802920151165276 | 0.935949157138696

 R  30 G  91    326     211.56     87.785		0.38802920151165277 | 0.925949157138696

 R  30 G  92    326     200.24     87.295		0.3980292015116528 | 0.925949157138696

 R  30 G  93    320     211.22     79.864		0.36802920151165275 | 0.945949157138696

 R  30 G  94    328     197.96     91.568		0.38802920151165277 | 0.935949157138696

 R  30 G  95    326     205.86     84.444		0.3980292015116528 | 0.925949157138696

 R  30 G  96    330     213.68     76.018		0.38802920151165277 | 0.915949157138696

 R  30 G  97    326     193.28      93.31		0.35802920151165274 | 0.945949157138696

 R  30 G  98    322     178.46     92.061		0.35802920151165274 | 0.945949157138696

 R  30 G  99    326     199.32     86.069		0.36802920151165275 | 0.925949157138696

30     2###################### RawFitness
           0          0          344

 R  31 G   0    342     230.48     66.659		0.11374853733424872 | 0.8260555149913859

 R  31 G   1    346      196.1     76.554		0.0696056555769914 | 0.6930685976551394

 R  31 G   2    342     220.02      67.63		0.13645265220743352 | 0.30012487766235296

 R  31 G   3    328      212.7     65.027		0.28609197884129745 | 0.420235373194325

 R  31 G   4    346     210.38     66.162		0.0696056555769914 | 0.7030685976551394

 R  31 G   5    328      212.9     63.332		0.3201590269551169 | 0.6606903200440871

 R  31 G   6    314     212.04      69.59		0.49743854659920983 | 0.5622281698830426

 R  31 G   7    346     208.04     64.549		0.0696056555769914 | 0.7030685976551394

 R  31 G   8    324     205.88     66.717		0.3201590269551169 | 0.6606903200440871

 R  31 G   9    328     215.38     60.687		0.3201590269551169 | 0.6606903200440871

 R  31 G  10    314     211.26     65.529		0.3201590269551169 | 0.6506903200440871

 R  31 G  11    294     204.76     66.163		0.6401185682679031 | 0.32751145944691307

 R  31 G  12    300     204.36     70.946		0.6401185682679031 | 0.32751145944691307

 R  31 G  13    304      217.2     64.943		0.6301185682679031 | 0.32751145944691307

 R  31 G  14    304     207.06     66.874		0.6301185682679031 | 0.32751145944691307

 R  31 G  15    306     216.64     61.697		0.6201185682679031 | 0.31751145944691306

 R  31 G  16    302      216.1     57.551		0.6301185682679031 | 0.32751145944691307

 R  31 G  17    298     207.16     68.681		0.6101185682679031 | 0.31751145944691306

 R  31 G  18    286     209.56     58.076		0.6201185682679031 | 0.3375114594469131

 R  31 G  19    300     216.18     61.996		0.6401185682679031 | 0.31751145944691306

 R  31 G  20    304     220.22     57.134		0.6201185682679031 | 0.3375114594469131

 R  31 G  21    296     213.22     61.831		0.6401185682679031 | 0.3475114594469131

 R  31 G  22    298     210.88     60.154		0.6201185682679031 | 0.3375114594469131

 R  31 G  23    306     211.66     62.542		0.6401185682679031 | 0.31751145944691306

 R  31 G  24    298     211.02     65.174		0.6501185682679032 | 0.3375114594469131

 R  31 G  25    302     214.52     60.141		0.6601185682679032 | 0.31751145944691306

 R  31 G  26    302     221.14     53.854		0.6301185682679031 | 0.32751145944691307

 R  31 G  27    302     218.94      61.65		0.6401185682679031 | 0.31751145944691306

 R  31 G  28    296     210.76      63.33		0.6501185682679032 | 0.31751145944691306

 R  31 G  29    292     211.58     56.244		0.6401185682679031 | 0.32751145944691307

 R  31 G  30    306     217.94     56.769		0.6501185682679032 | 0.30751145944691305

 R  31 G  31    298      226.3     56.783		0.6401185682679031 | 0.29751145944691304

 R  31 G  32    294      208.1       53.0		0.6401185682679031 | 0.31751145944691306

 R  31 G  33    296      213.3     54.093		0.6601185682679032 | 0.31751145944691306

 R  31 G  34    302     226.64     56.109		0.6501185682679032 | 0.32751145944691307

 R  31 G  35    300     197.58     65.275		0.6501185682679032 | 0.30751145944691305

 R  31 G  36    300      214.3     57.918		0.6401185682679031 | 0.3375114594469131

 R  31 G  37    302      216.5     62.749		0.6601185682679032 | 0.30751145944691305

 R  31 G  38    296     219.98      58.36		0.6401185682679031 | 0.30751145944691305

 R  31 G  39    296     209.42     57.582		0.6201185682679031 | 0.32751145944691307

 R  31 G  40    298     206.12     57.608		0.6501185682679032 | 0.31751145944691306

 R  31 G  41    294     202.62     60.412		0.6601185682679032 | 0.30751145944691305

 R  31 G  42    296     204.06     60.153		0.6701185682679032 | 0.3375114594469131

 R  31 G  43    298     213.64     59.608		0.6401185682679031 | 0.30751145944691305

 R  31 G  44    300     213.28     58.819		0.6701185682679032 | 0.30751145944691305

 R  31 G  45    298     213.34     58.805		0.6401185682679031 | 0.31751145944691306

 R  31 G  46    296      200.3     58.946		0.6701185682679032 | 0.30751145944691305

 R  31 G  47    294      209.7     62.915		0.6701185682679032 | 0.30751145944691305

 R  31 G  48    304     213.04     55.279		0.6601185682679032 | 0.28751145944691303

 R  31 G  49    298     211.28     61.528		0.6701185682679032 | 0.29751145944691304

 R  31 G  50    292      209.9     53.123		0.6601185682679032 | 0.32751145944691307

 R  31 G  51    296      205.7     59.406		0.6701185682679032 | 0.29751145944691304

 R  31 G  52    292     209.88     60.627		0.6501185682679032 | 0.28751145944691303

 R  31 G  53    300     205.22     55.264		0.6601185682679032 | 0.32751145944691307

 R  31 G  54    298      215.3     53.085		0.6601185682679032 | 0.29751145944691304

 R  31 G  55    294     218.02     56.203		0.6501185682679032 | 0.29751145944691304

 R  31 G  56    292     207.84     59.958		0.6601185682679032 | 0.28751145944691303

 R  31 G  57    300     208.26     62.453		0.6501185682679032 | 0.29751145944691304

 R  31 G  58    302      212.6     65.178		0.6701185682679032 | 0.31751145944691306

 R  31 G  59    294     218.14     58.598		0.6701185682679032 | 0.29751145944691304

 R  31 G  60    300     212.28     56.727		0.6701185682679032 | 0.29751145944691304

 R  31 G  61    298      213.2     60.383		0.6501185682679032 | 0.32751145944691307

 R  31 G  62    298     212.84     57.848		0.6601185682679032 | 0.28751145944691303

 R  31 G  63    302     218.56      57.31		0.6501185682679032 | 0.30751145944691305

 R  31 G  64    300      218.7     59.057		0.6701185682679032 | 0.29751145944691304

 R  31 G  65    296      214.6     62.913		0.6601185682679032 | 0.32751145944691307

 R  31 G  66    294     215.96     57.892		0.6801185682679032 | 0.32751145944691307

 R  31 G  67    296     213.56     59.357		0.6401185682679031 | 0.28751145944691303

 R  31 G  68    296     207.92     61.921		0.6701185682679032 | 0.32751145944691307

 R  31 G  69    294     212.22     58.273		0.6501185682679032 | 0.32751145944691307

 R  31 G  70    292     205.34     52.985		0.6401185682679031 | 0.28751145944691303

 R  31 G  71    302      232.3     56.545		0.6301185682679031 | 0.267511459446913

 R  31 G  72    292     205.46      56.79		0.6601185682679032 | 0.32751145944691307

 R  31 G  73    298     213.02     58.336		0.6701185682679032 | 0.3475114594469131

 R  31 G  74    300     213.54     58.998		0.6601185682679032 | 0.32751145944691307

 R  31 G  75    296     210.68     63.038		0.6301185682679031 | 0.267511459446913

 R  31 G  76    300     205.84     54.896		0.6601185682679032 | 0.3475114594469131

 R  31 G  77    290     207.82     55.651		0.6301185682679031 | 0.267511459446913

 R  31 G  78    294     212.32     58.372		0.6201185682679031 | 0.267511459446913

 R  31 G  79    294     218.04     56.417		0.6401185682679031 | 0.267511459446913

 R  31 G  80    304     197.94      63.67		0.6301185682679031 | 0.267511459446913

 R  31 G  81    302     215.96      56.76		0.6801185682679032 | 0.3475114594469131

 R  31 G  82    302      217.6     58.192		0.6301185682679031 | 0.257511459446913

 R  31 G  83    296     207.12     61.518		0.6301185682679031 | 0.247511459446913

 R  31 G  84    304     209.36     57.407		0.6201185682679031 | 0.247511459446913

 R  31 G  85    292     213.92     62.418		0.6301185682679031 | 0.237511459446913

 R  31 G  86    298     217.42     59.309		0.6201185682679031 | 0.237511459446913

 R  31 G  87    294     214.84     59.397		0.6701185682679032 | 0.3575114594469131

 R  31 G  88    302     207.02     58.588		0.6401185682679031 | 0.267511459446913

 R  31 G  89    296     208.38     61.893		0.6701185682679032 | 0.3475114594469131

 R  31 G  90    298      202.6     58.345		0.6701185682679032 | 0.31751145944691306

 R  31 G  91    304     214.08     60.214		0.6301185682679031 | 0.237511459446913

 R  31 G  92    298      210.8     62.206		0.6801185682679032 | 0.3375114594469131

 R  31 G  93    294     219.38     55.822		0.6101185682679031 | 0.237511459446913

 R  31 G  94    296     213.44     56.996		0.6101185682679031 | 0.237511459446913

 R  31 G  95    294     214.54     55.103		0.6901185682679032 | 0.31751145944691306

 R  31 G  96    292     211.74     63.234		0.6801185682679032 | 0.3475114594469131

 R  31 G  97    294     206.68     60.902		0.6801185682679032 | 0.3575114594469131

 R  31 G  98    288     214.22     61.325		0.7001185682679032 | 0.31751145944691306

 R  31 G  99    306     219.28     57.314		0.6801185682679032 | 0.3475114594469131

31     1###################### RawFitness
           0          0          346

 R  32 G   0    348     214.06     69.394		0.011949014872445818 | 0.31669876616239345

 R  32 G   1    334     208.44     70.292		0.20366555089126248 | 0.41870133806559595

 R  32 G   2    336      214.6     73.186		0.2205359458590429 | 0.3238628396392287

 R  32 G   3    334     199.24     63.724		0.20134737264892477 | 0.5776870719094218

 R  32 G   4    322     202.54     66.814		0.1826933166132647 | 0.8543314379948089

 R  32 G   5    334     206.02     74.728		0.20366555089126248 | 0.41870133806559595

 R  32 G   6    338     209.12     69.491		0.1826933166132647 | 0.874331437994809

 R  32 G   7    294      200.1     60.696		0.6380312256260656 | 0.1192878954119011

 R  32 G   8    330      203.9     71.844		0.20366555089126248 | 0.40870133806559594

 R  32 G   9    340     195.64      73.95		0.1826933166132647 | 0.8643314379948089

 R  32 G  10    314      201.1     72.385		0.1826933166132647 | 0.8643314379948089

 R  32 G  11    296     217.76     64.678		0.6280312256260656 | 0.1092878954119011

 R  32 G  12    296     213.12     65.122		0.6280312256260656 | 0.1092878954119011

 R  32 G  13    300     203.66     64.758		0.6480312256260656 | 0.1292878954119011

 R  32 G  14    296      200.1     67.409		0.6580312256260656 | 0.1292878954119011

 R  32 G  15    294     216.06     57.641		0.6480312256260656 | 0.1292878954119011

 R  32 G  16    296      209.7     61.776		0.6380312256260656 | 0.08928789541190112

 R  32 G  17    298     212.62     63.478		0.6680312256260657 | 0.1292878954119011

 R  32 G  18    298      208.9     56.113		0.6180312256260656 | 0.09928789541190111

 R  32 G  19    302      213.4      57.65		0.6380312256260656 | 0.1292878954119011

 R  32 G  20    296      216.3     49.865		0.6280312256260656 | 0.08928789541190112

 R  32 G  21    296     220.58      62.17		0.6580312256260656 | 0.13928789541190112

 R  32 G  22    296     207.22     64.561		0.6280312256260656 | 0.08928789541190112

 R  32 G  23    302     197.68     57.434		0.6380312256260656 | 0.1292878954119011

 R  32 G  24    294     209.32     62.743		0.6580312256260656 | 0.11928789541190112

 R  32 G  25    302      209.5     56.405		0.6280312256260656 | 0.08928789541190112

 R  32 G  26    298     207.92     61.093		0.6280312256260656 | 0.08928789541190112

 R  32 G  27    300     205.28      61.77		0.6280312256260656 | 0.08928789541190112

 R  32 G  28    296     198.56     58.328		0.6280312256260656 | 0.08928789541190112

 R  32 G  29    292     198.32     58.228		0.6380312256260656 | 0.08928789541190112

 R  32 G  30    294      205.1     66.797		0.6280312256260656 | 0.07928789541190112

 R  32 G  31    298     209.96     63.183		0.6280312256260656 | 0.08928789541190112

 R  32 G  32    288     204.48     55.347		0.6380312256260656 | 0.1292878954119011

 R  32 G  33    294     208.28     63.534		0.6280312256260656 | 0.11928789541190112

 R  32 G  34    296     206.64     64.773		0.6280312256260656 | 0.11928789541190112

 R  32 G  35    300     217.98     60.056		0.6280312256260656 | 0.09928789541190111

 R  32 G  36    304      207.6     61.168		0.6380312256260656 | 0.09928789541190111

 R  32 G  37    302     204.72     65.591		0.6280312256260656 | 0.11928789541190112

 R  32 G  38    294      193.2     64.349		0.6280312256260656 | 0.11928789541190112

 R  32 G  39    298     218.72     60.347		0.6280312256260656 | 0.11928789541190112

 R  32 G  40    304     209.98     62.137		0.6480312256260656 | 0.06928789541190113

 R  32 G  41    296     207.94     61.699		0.6280312256260656 | 0.11928789541190112

 R  32 G  42    296     195.92     63.657		0.6480312256260656 | 0.08928789541190112

 R  32 G  43    302     214.76      53.41		0.6280312256260656 | 0.1292878954119011

 R  32 G  44    296     209.92      60.49		0.6380312256260656 | 0.08928789541190112

 R  32 G  45    308      202.1     64.119		0.6280312256260656 | 0.11928789541190112

 R  32 G  46    302     221.08     58.851		0.6380312256260656 | 0.11928789541190112

 R  32 G  47    302     224.02     53.762		0.6280312256260656 | 0.11928789541190112

 R  32 G  48    304     211.64     53.806		0.6380312256260656 | 0.07928789541190112

 R  32 G  49    296     215.78     49.556		0.6280312256260656 | 0.11928789541190112

 R  32 G  50    300     210.42     55.984		0.6380312256260656 | 0.11928789541190112

 R  32 G  51    300      211.9       50.0		0.6280312256260656 | 0.11928789541190112

 R  32 G  52    300     207.74     55.918		0.6280312256260656 | 0.1292878954119011

 R  32 G  53    298     215.32     55.311		0.6380312256260656 | 0.08928789541190113

 R  32 G  54    298     221.92     47.184		0.6380312256260656 | 0.1292878954119011

 R  32 G  55    300     211.76     57.457		0.6380312256260656 | 0.06928789541190113

 R  32 G  56    302     218.18     49.813		0.6380312256260656 | 0.10928789541190112

 R  32 G  57    300     219.84     54.137		0.6080312256260656 | 0.10928789541190112

 R  32 G  58    302     215.44      53.47		0.6380312256260656 | 0.11928789541190112

 R  32 G  59    302     222.44     56.553		0.6380312256260656 | 0.11928789541190112

 R  32 G  60    308     212.02     53.924		0.6280312256260656 | 0.06928789541190113

 R  32 G  61    308     207.68     57.152		0.6080312256260656 | 0.09928789541190113

 R  32 G  62    308     210.34      50.91		0.6280312256260656 | 0.11928789541190112

 R  32 G  63    298     214.46     49.106		0.6280312256260656 | 0.11928789541190112

 R  32 G  64    296     214.64     47.102		0.6380312256260656 | 0.11928789541190112

 R  32 G  65    296      206.8     54.025		0.6280312256260656 | 0.11928789541190112

 R  32 G  66    294     210.62     50.871		0.6180312256260656 | 0.11928789541190112

 R  32 G  67    294     221.68     51.509		0.6380312256260656 | 0.10928789541190112

 R  32 G  68    296     202.86      50.86		0.5980312256260656 | 0.11928789541190112

 R  32 G  69    296     211.02     51.895		0.6380312256260656 | 0.09928789541190113

 R  32 G  70    292     212.62     45.537		0.6380312256260656 | 0.08928789541190113

 R  32 G  71    300      205.3       51.7		0.5980312256260656 | 0.11928789541190112

 R  32 G  72    306     204.16     54.408		0.6180312256260656 | 0.11928789541190112

 R  32 G  73    304     215.98     54.821		0.6180312256260656 | 0.1292878954119011

 R  32 G  74    290      204.5     44.406		0.6280312256260656 | 0.11928789541190112

 R  32 G  75    302     210.76     54.114		0.6380312256260656 | 0.13928789541190112

 R  32 G  76    310     201.04     50.943		0.6380312256260656 | 0.11928789541190112

 R  32 G  77    296     212.22     52.312		0.6280312256260656 | 0.11928789541190112

 R  32 G  78    302     208.36     50.032		0.6280312256260656 | 0.1292878954119011

 R  32 G  79    296     205.08      54.41		0.6280312256260656 | 0.09928789541190113

 R  32 G  80    308     210.28     53.787		0.6280312256260656 | 0.09928789541190113

 R  32 G  81    304     210.54     54.215		0.6180312256260656 | 0.11928789541190112

 R  32 G  82    298     208.94     53.776		0.6180312256260656 | 0.1292878954119011

 R  32 G  83    298     202.08     52.448		0.6180312256260656 | 0.1292878954119011

 R  32 G  84    308     215.36     52.721		0.6080312256260656 | 0.1292878954119011

 R  32 G  85    302     211.94     51.824		0.6180312256260656 | 0.1292878954119011

 R  32 G  86    302     208.98     53.303		0.6180312256260656 | 0.1292878954119011

 R  32 G  87    298     221.64      49.47		0.6080312256260656 | 0.13928789541190112

 R  32 G  88    300      219.0     50.981		0.6180312256260656 | 0.13928789541190112

 R  32 G  89    300      216.2     49.385		0.6080312256260656 | 0.13928789541190112

 R  32 G  90    298     206.86     52.093		0.6180312256260656 | 0.11928789541190112

 R  32 G  91    298     215.22     50.995		0.5980312256260656 | 0.1292878954119011

 R  32 G  92    300     211.96     52.181		0.6080312256260656 | 0.11928789541190112

 R  32 G  93    300     207.64     55.732		0.5880312256260656 | 0.13928789541190112

 R  32 G  94    296      207.7     47.641		0.5980312256260656 | 0.1292878954119011

 R  32 G  95    300     211.62      51.61		0.6180312256260656 | 0.11928789541190112

 R  32 G  96    300     209.36     50.839		0.6080312256260656 | 0.11928789541190112

 R  32 G  97    304     213.38     54.875		0.6080312256260656 | 0.1292878954119011

 R  32 G  98    304     215.28      56.76		0.6180312256260656 | 0.1292878954119011

 R  32 G  99    308     214.08     51.219		0.5880312256260656 | 0.13928789541190112

32     0###################### RawFitness
           0          0          348

 R  33 G   0    344     211.38     70.941		0.09483532409939877 | 0.44505264463120553

 R  33 G   1    348     211.22     74.324		0.09483532409939877 | 0.44505264463120553

 R  33 G   2    332      212.6     61.423		0.32324213827781256 | 0.17241378004549246

 R  33 G   3    344     199.08     69.297		0.10688103716963272 | 0.19825139492906918

 R  33 G   4    342     212.96     64.821		0.09483532409939877 | 0.44505264463120553

 R  33 G   5    340     214.86     64.668		0.09483532409939877 | 0.4350526446312055

 R  33 G   6    314     208.66     56.526		0.3604017166810838 | 0.9607743230307216

 R  33 G   7    342      209.6     65.151		0.10483532409939876 | 0.44505264463120553

 R  33 G   8    334     205.78     59.858		0.09483532409939877 | 0.44505264463120553

 R  33 G   9    346     210.04     66.594		0.09483532409939877 | 0.44505264463120553

 R  33 G  10    346      212.2     65.427		0.09483532409939877 | 0.4350526446312055

 R  33 G  11    348      209.1      67.25		0.09483532409939877 | 0.44505264463120553

 R  33 G  12    346     211.16     70.143		0.08483532409939877 | 0.4250526446312055

 R  33 G  13    348      208.9      67.11		0.06483532409939878 | 0.44505264463120553

 R  33 G  14    346     205.78     63.666		0.09483532409939877 | 0.44505264463120553

 R  33 G  15    346     218.54     66.205		0.09483532409939877 | 0.45505264463120554

 R  33 G  16    348     219.62     79.822		0.09483532409939877 | 0.4250526446312055

 R  33 G  17    348     219.12     73.344		0.06483532409939878 | 0.44505264463120553

 R  33 G  18    346     215.28     72.961		0.08483532409939877 | 0.4350526446312055

 R  33 G  19    346      204.2     73.479		0.08483532409939877 | 0.44505264463120553

 R  33 G  20    348      217.1     77.358		0.08483532409939877 | 0.4350526446312055

 R  33 G  21    350      224.9     75.762		0.08483532409939877 | 0.4350526446312055

 R  33 G  22    344     203.22     76.777		0.09483532409939877 | 0.44505264463120553

 R  33 G  23    342     204.36     66.864		0.10483532409939876 | 0.4350526446312055

 R  33 G  24    344      201.8     63.519		0.10483532409939876 | 0.44505264463120553

 R  33 G  25    344     218.32     66.251		0.10483532409939876 | 0.44505264463120553

 R  33 G  26    344     204.04     72.229		0.10483532409939876 | 0.44505264463120553

 R  33 G  27    346     223.96     80.139		0.10483532409939876 | 0.44505264463120553

 R  33 G  28    346     224.82     73.799		0.09483532409939877 | 0.44505264463120553

 R  33 G  29    346      219.0     74.476		0.10483532409939876 | 0.4250526446312055

 R  33 G  30    348     215.44     69.569		0.10483532409939876 | 0.44505264463120553

 R  33 G  31    348      228.8     80.004		0.10483532409939876 | 0.44505264463120553

 R  33 G  32    346     200.74     71.167		0.10483532409939876 | 0.4150526446312055

 R  33 G  33    350      211.8     69.307		0.09483532409939877 | 0.4150526446312055

 R  33 G  34    348     213.18     63.675		0.11483532409939876 | 0.44505264463120553

 R  33 G  35    346      228.4     81.724		0.10483532409939876 | 0.4050526446312055

 R  33 G  36    350     221.48     79.301		0.09483532409939877 | 0.44505264463120553

 R  33 G  37    346     220.04     79.725		0.09483532409939877 | 0.44505264463120553

 R  33 G  38    348     212.96     75.418		0.08483532409939877 | 0.46505264463120555

 R  33 G  39    344      215.2      74.03		0.10483532409939876 | 0.46505264463120555

 R  33 G  40    348     216.34     75.748		0.10483532409939876 | 0.44505264463120553

 R  33 G  41    344     209.62     70.585		0.09483532409939877 | 0.45505264463120554

 R  33 G  42    346     212.12     75.135		0.09483532409939877 | 0.45505264463120554

 R  33 G  43    346     220.82      81.64		0.10483532409939876 | 0.44505264463120553

 R  33 G  44    346     217.86     69.935		0.10483532409939876 | 0.44505264463120553

 R  33 G  45    348      218.7     73.835		0.10483532409939876 | 0.44505264463120553

 R  33 G  46    346      208.3     68.572		0.10483532409939876 | 0.44505264463120553

 R  33 G  47    346     203.54     81.349		0.10483532409939876 | 0.4350526446312055

 R  33 G  48    348     220.74      72.94		0.10483532409939876 | 0.45505264463120554

 R  33 G  49    348      222.6     79.014		0.09483532409939877 | 0.4350526446312055

 R  33 G  50    348     227.42     74.161		0.08483532409939877 | 0.4250526446312055

 R  33 G  51    348     218.16     73.635		0.09483532409939877 | 0.44505264463120553

 R  33 G  52    346     214.28     71.813		0.09483532409939877 | 0.4350526446312055

 R  33 G  53    348     221.96      69.71		0.08483532409939877 | 0.4350526446312055

 R  33 G  54    348     211.16     72.315		0.08483532409939877 | 0.4350526446312055

 R  33 G  55    348     208.36     74.389		0.12483532409939875 | 0.4250526446312055

 R  33 G  56    344     216.56     67.457		0.11483532409939876 | 0.44505264463120553

 R  33 G  57    346     202.74     76.272		0.06483532409939878 | 0.44505264463120553

 R  33 G  58    346     221.38     73.898		0.10483532409939876 | 0.4250526446312055

 R  33 G  59    350     222.12     77.968		0.10483532409939876 | 0.4350526446312055

 R  33 G  60    346      218.0     69.987		0.11483532409939876 | 0.4250526446312055

 R  33 G  61    346     214.62     76.303		0.11483532409939876 | 0.4350526446312055

 R  33 G  62    348     220.34     76.963		0.11483532409939876 | 0.4250526446312055

 R  33 G  63    346      206.4     70.315		0.12483532409939875 | 0.4350526446312055

 R  33 G  64    346     204.74     68.881		0.10483532409939876 | 0.4250526446312055

 R  33 G  65    348     213.36     73.334		0.11483532409939876 | 0.4350526446312055

 R  33 G  66    348     213.02     71.005		0.11483532409939876 | 0.4250526446312055

 R  33 G  67    348     229.94     68.938		0.11483532409939876 | 0.44505264463120553

 R  33 G  68    344      208.4     72.875		0.10483532409939876 | 0.4250526446312055

 R  33 G  69    344     215.22      69.11		0.09483532409939877 | 0.4250526446312055

 R  33 G  70    344     213.88     80.803		0.11483532409939876 | 0.44505264463120553

 R  33 G  71    346     217.46     72.959		0.11483532409939876 | 0.48505264463120557

 R  33 G  72    348     220.66     73.624		0.10483532409939876 | 0.4250526446312055

 R  33 G  73    346      202.6     72.709		0.11483532409939876 | 0.44505264463120553

 R  33 G  74    340      211.8     69.661		0.10483532409939876 | 0.4950526446312056

 R  33 G  75    344     219.86     72.287		0.10483532409939876 | 0.46505264463120555

 R  33 G  76    350     213.32     84.294		0.10483532409939876 | 0.46505264463120555

 R  33 G  77    346      208.6     81.332		0.11483532409939876 | 0.44505264463120553

 R  33 G  78    346      197.0      74.64		0.10483532409939876 | 0.44505264463120553

 R  33 G  79    348     233.48     74.653		0.10483532409939876 | 0.4350526446312055

 R  33 G  80    346     218.62     77.446		0.11483532409939876 | 0.4350526446312055

 R  33 G  81    346     210.84     74.998		0.10483532409939876 | 0.47505264463120556

 R  33 G  82    346     212.78     77.925		0.11483532409939876 | 0.48505264463120557

 R  33 G  83    344     209.42     76.465		0.11483532409939876 | 0.48505264463120557

 R  33 G  84    346     219.34      77.23		0.09483532409939877 | 0.44505264463120553

 R  33 G  85    346     214.42     79.532		0.10483532409939876 | 0.4250526446312055

 R  33 G  86    344      228.7     76.385		0.10483532409939876 | 0.4350526446312055

 R  33 G  87    346     221.18     74.739		0.11483532409939876 | 0.48505264463120557

 R  33 G  88    346     204.86     67.499		0.10483532409939876 | 0.4150526446312055

