Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  100
Generations per Run          :  100
Population Size              :  100
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.1
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    348      205.0     73.314		0.10070556186895041 | 0.06107305562731147

 R   1 G   1    350     217.24     65.932		0.0035138532294655134 | 0.10398404434718655

 R   1 G   2    350     219.44     74.729		0.0035138532294655134 | 0.10398404434718655

 R   1 G   3    350     206.86     71.621		0.0035138532294655134 | 0.10398404434718655

 R   1 G   4    340     202.62     76.471		0.11426529760879411 | 0.223439337404433

 R   1 G   5    348     222.42     59.247		0.030430337224557458 | 0.6157911538337644

 R   1 G   6    348     209.32     69.892		0.030430337224557458 | 0.6157911538337644

 R   1 G   7    342      212.6     69.837		0.11426529760879411 | 0.213439337404433

 R   1 G   8    350     206.48     75.011		0.020430337224557456 | 0.6157911538337644

 R   1 G   9    348     213.56      76.83		0.04043033722455746 | 0.6157911538337644

 R   1 G  10    348      219.9     74.937		0.030430337224557458 | 0.6157911538337644

 R   1 G  11    348     194.32      82.95		0.030430337224557458 | 0.6057911538337644

 R   1 G  12    350     210.44     73.472		0.04043033722455746 | 0.6157911538337644

 R   1 G  13    348     203.06      69.88		0.04043033722455746 | 0.6257911538337644

 R   1 G  14    348     209.34     74.978		0.04043033722455746 | 0.6157911538337644

 R   1 G  15    350     212.56     65.233		0.04043033722455746 | 0.6157911538337644

 R   1 G  16    348     207.44      70.16		0.04043033722455746 | 0.6157911538337644

 R   1 G  17    348     212.06     65.714		0.04043033722455746 | 0.6157911538337644

 R   1 G  18    350     216.22     70.236		0.04043033722455746 | 0.6157911538337644

 R   1 G  19    346     212.36     77.507		0.04043033722455746 | 0.6157911538337644

 R   1 G  20    350     211.44     69.237		0.04043033722455746 | 0.6157911538337644

 R   1 G  21    346     203.76     68.209		0.04043033722455746 | 0.6257911538337644

 R   1 G  22    350     205.86     70.456		0.04043033722455746 | 0.6257911538337644

 R   1 G  23    300     204.72     65.189		0.5664306944932048 | 0.5419783972101158

 R   1 G  24    348      211.9     72.038		0.04043033722455746 | 0.6257911538337644

 R   1 G  25    346      213.6     63.357		0.04043033722455746 | 0.6257911538337644

 R   1 G  26    304     202.24     69.413		0.5564306944932048 | 0.5419783972101158

 R   1 G  27    294     208.68     67.126		0.5564306944932048 | 0.5419783972101158

 R   1 G  28    302      204.7     73.388		0.5564306944932048 | 0.5519783972101158

 R   1 G  29    298     209.38     68.653		0.5564306944932048 | 0.5419783972101158

 R   1 G  30    302      203.6     69.542		0.5564306944932048 | 0.5519783972101158

 R   1 G  31    306     204.16     73.801		0.5564306944932048 | 0.5519783972101158

 R   1 G  32    306     205.14     66.684		0.5664306944932048 | 0.5319783972101157

 R   1 G  33    304     202.32     76.066		0.5564306944932048 | 0.5319783972101157

 R   1 G  34    306     187.78     75.982		0.5464306944932048 | 0.5419783972101158

 R   1 G  35    300     205.86      68.27		0.5464306944932048 | 0.5419783972101158

 R   1 G  36    304      205.0      70.65		0.5464306944932048 | 0.5519783972101158

 R   1 G  37    304      199.6     71.505		0.5464306944932048 | 0.5519783972101158

 R   1 G  38    296     194.04      70.28		0.5464306944932048 | 0.5419783972101158

 R   1 G  39    304     194.82     78.752		0.5464306944932048 | 0.5519783972101158

 R   1 G  40    298     193.68     71.904		0.5364306944932048 | 0.5419783972101158

 R   1 G  41    302      214.2     69.744		0.5364306944932048 | 0.5419783972101158

 R   1 G  42    276      204.4     69.489		0.7831978421818024 | 0.7790200820104827

 R   1 G  43    280      206.6     73.808		0.7831978421818024 | 0.7790200820104827

